,0304b12d-7640-4150-a581-2eea2b1f2ad5_01,075dbfd0-9cf4-4877-884f-ae858902c79e_01,0824b246-9fa2-4a8b-ad4c-1ffc7731bf7d_01,08e0d412-d4d8-4d13-b792-a4dd0bd9ec2b_01,0acc28bc-d348-41df-8f49-bc0332eb9be4_01,0b73cbba-5520-4610-b649-912d76114033_01,15fb07ae-101c-4553-891d-539cee89a5e9_01,199560cb-15e5-4276-865a-7d44d47c856c_01,1ae9cd13-73ef-4b1a-a734-4c465c73bc8e_01,1d5602a7-72e7-4dc6-b2db-2f778fcbf475_01,202f7a77-9e5a-4f12-8ffe-78ae5527a746_01,240dca72-76e0-4d57-978d-1242e6e7ed68_01,28153e3e-8515-4852-aaa0-247f86399f27_01,2f04e760-8a64-49f2-a1d6-3d390604745c_01,33c02ece-911b-4f45-b410-9df07e9b189e_01,344f7ea4-2bd4-4f2d-89f2-9fc7f572a3d6_01,388b8788-a635-4bc9-9b73-d204b2256747_01,424a497a-48b9-4507-b234-c4fd08c8acad_01,42ef34cc-ffb4-432c-82bb-7aa56639ff51_01,42f69b2b-f3aa-4f4e-ac3a-149e14789927_01,48402d61-3a6b-4603-bfa0-b1a38a47d34d_01,4fbbbe43-3c0e-4475-bcf8-3745bd7195eb_01,56cdbba2-327e-4acd-a1eb-0f313a77834f_01,5e086192-ab74-4aa3-bf6b-b34ab19995db_01,5eb5ee1f-ecff-4427-b717-b91380c043ae_01,5f3e2974-f1df-47a2-8a8a-29bb525eeef6_01,5f461197-15ed-43cf-9331-9e0efc4622a4_01,63b7b596-cb55-41dc-b862-a6c3a058dfe2_01,69f4f19c-08c8-4001-92a8-fed155c3b4fe_01,6d980941-219e-40a0-9b41-e84c3fb0bd1a_01,70f1569e-f8f5-4f1d-bf18-d0586b29077d_01,71892706-f8b6-44e6-8de4-6cbb43f612e0_01,723eb689-7b4f-4758-bcdf-426b12508935_01,802dbd0d-ef07-4c91-ab8d-1dd39532e947_01,82940e94-ac74-4a9b-9da5-9e4b7d4d45c0_01,83e7b9f8-04a4-440f-aafc-7a8e9ddff284_01,888a7158-2319-4563-849b-573705c72ab7_01,8b3649e3-16e2-4044-8ab8-f4d28a87e513_01,8e7c2e31-d085-4b75-a970-162526dd07a0_01,905368c2-ba60-4dda-b32d-a51a203b5e4d_01,94cdac79-2b4e-483a-8f17-3e0c9be589d0_01,99f86b57-3894-45c5-bfbe-c757c69a3050_01,9a8ea017-0152-48b2-accb-d040deb1c6b6_01,9c87dcee-d422-4df1-82e1-3fa201473e31_01,9ec86c06-e7a9-4ea6-b36d-6f832909054b_01,a19104d6-b6a6-4878-af2c-783679070a05_01,a477b55d-a591-482f-a554-d8ef7298c23d_01,a53e9117-0a49-40d8-af40-7867370b671a_01,a5be4e42-cb6c-4e67-8547-45dbd058bb95_01,a9a57127-94d3-425f-a4c5-5cbcf24a9a35_01,b3164f7b-c826-4e08-9ee6-8ff96d29b913_01,b4b41a43-ee45-4aa3-abf0-100db752a6ac_01,b7adb786-1f81-43ca-ac72-7243966cd439_01,bafe2638-4adc-4957-9d62-d7eebe5dd2f9_01,bdfcd747-f6a2-42e2-bc9b-483112205fa8_01,c0e1a036-be4c-4fb5-bb50-e2431be60ed4_01,c4dd9501-c193-45fb-8535-a9d901520bdd_01,c6312de5-dd56-4025-80d1-dbdd8568d047_01,c72b973b-4719-46ab-ac99-05d14088d3bc_01,c8898b42-b704-45a0-9829-144b98f416e0_01,cf327482-199b-4604-ac19-c8b68d91c5d9_01,cf332daa-f335-4af1-81de-cbfdafb0f764_01,d63f2f1e-1970-445f-907b-23cf4d9efd83_01,d885b720-e813-4828-a731-b3cdcbd20687_01,d890cbf7-41d8-4992-99c2-24c60c77b156_01,dafb9844-1a5c-4af8-b382-59c751942bb8_01,de7f06aa-9638-4389-ac8e-711adfa0f2a5_01,dfd687bc-6e69-42f7-af94-d17fc150d1a1_01,dfef51c8-6050-4ebb-b25c-e74919397244_01,e612ef6e-f3f2-44be-ab15-8e4095687cd6_01,e93ca89f-ca48-43ca-bf1c-adc7491c0fe5_01,edc62c30-cacc-457d-96ba-d05ed35432a3_01,f13a3d5e-7f8e-4acb-ad46-f6380a9443e8_01,f63946ec-ddcb-469a-8f5e-74366b7f419b_01,f8954241-e541-406f-a09d-c3c987473732_01,f8e77bb6-e521-4a6a-9cb4-4b58ee38ca7f_01,fad4b7e6-510c-4968-83df-3140ed5a0549_01,fb504e55-1859-48ee-aec7-a3fcb082785e_01,fb54458d-c373-46c2-841e-82663e13efaa_01,fc83ab27-929e-4ad4-ba18-abb0694f1e43_01
MIMAT0000062,236434.0,145329.0,79787.0,92095.0,82894.0,214155.0,157277.0,204606.0,193336.0,233872.0,150900.0,73684.0,47229.0,170905.0,247662.0,59390.0,78674.0,80430.0,93223.0,179027.0,83620.0,250587.0,263647.0,549806.0,302760.0,277406.0,231314.0,424406.0,230884.0,395069.0,429586.0,101289.0,186310.0,282405.0,232849.0,628396.0,112925.0,117384.0,181797.0,167968.0,269833.0,199743.0,182359.0,295797.0,288818.0,125632.0,157379.0,300811.0,193521.0,96205.0,304644.0,331717.0,141893.0,277656.0,212607.0,201649.0,478510.0,307476.0,134236.0,142267.0,246167.0,109925.0,165779.0,154090.0,218249.0,166421.0,262093.0,143659.0,63699.0,46338.0,215523.0,230460.0,243994.0,168135.0,108092.0,169799.0,312497.0,156931.0,400457.0,100528.0
MIMAT0000063,59129.0,37210.0,20177.0,25301.0,30383.0,41542.0,26461.0,39864.0,27775.0,73365.0,31574.0,14994.0,37175.0,30868.0,80787.0,3758.0,21614.0,34594.0,18293.0,24484.0,51286.0,68863.0,39624.0,105749.0,65701.0,90402.0,59935.0,78069.0,58071.0,102638.0,107282.0,35151.0,48012.0,73028.0,59495.0,99553.0,41408.0,25381.0,114462.0,21412.0,74810.0,46699.0,54427.0,60929.0,83879.0,30551.0,74505.0,65266.0,45849.0,21628.0,85843.0,69703.0,16199.0,65289.0,28687.0,52040.0,115944.0,98118.0,16611.0,42168.0,40018.0,19468.0,65919.0,36681.0,77600.0,26562.0,106650.0,54387.0,15186.0,10443.0,57961.0,68103.0,24816.0,35794.0,45702.0,40568.0,108937.0,44615.0,85735.0,16128.0
MIMAT0000064,17585.0,680.0,1082.0,11570.0,7119.0,7934.0,17606.0,21504.0,2433.0,3202.0,2751.0,5977.0,1315.0,11307.0,1589.0,1756.0,1626.0,1693.0,9014.0,9112.0,3976.0,30300.0,6123.0,30661.0,898.0,24239.0,4120.0,12639.0,6501.0,3461.0,26745.0,1976.0,10517.0,2751.0,3550.0,30890.0,2784.0,4302.0,16734.0,8091.0,24808.0,12879.0,1827.0,12048.0,5630.0,15780.0,12646.0,12928.0,4983.0,4817.0,11023.0,3470.0,12692.0,9303.0,4755.0,24312.0,14762.0,30301.0,6064.0,21874.0,5422.0,2108.0,853.0,964.0,19553.0,7117.0,6486.0,3767.0,2828.0,1680.0,13806.0,693.0,15888.0,1568.0,3783.0,7583.0,17817.0,3333.0,1493.0,1553.0
MIMAT0000065,827.0,1351.0,545.0,1538.0,377.0,1830.0,926.0,1130.0,1093.0,1907.0,853.0,474.0,427.0,690.0,3155.0,129.0,1246.0,757.0,673.0,1463.0,1446.0,643.0,1329.0,1032.0,3008.0,2852.0,1932.0,533.0,701.0,2002.0,1589.0,377.0,1568.0,2189.0,657.0,1331.0,561.0,725.0,3313.0,1032.0,1148.0,3898.0,1579.0,1243.0,1028.0,1374.0,1044.0,2507.0,665.0,462.0,2114.0,1127.0,788.0,2629.0,1306.0,633.0,4228.0,2062.0,1392.0,604.0,395.0,249.0,1792.0,5613.0,777.0,465.0,701.0,520.0,431.0,406.0,642.0,2074.0,1231.0,645.0,831.0,997.0,1660.0,778.0,1817.0,475.0
MIMAT0000066,16872.0,12407.0,4510.0,15579.0,12441.0,38020.0,42953.0,39178.0,27545.0,34341.0,15344.0,15027.0,2113.0,21852.0,27544.0,15205.0,16726.0,12655.0,34674.0,46040.0,6938.0,16388.0,40300.0,55974.0,39058.0,17756.0,31957.0,38531.0,63769.0,43162.0,53890.0,5994.0,26350.0,17440.0,14216.0,63116.0,14704.0,25121.0,13675.0,41518.0,34820.0,20342.0,14048.0,35968.0,15646.0,32763.0,13450.0,71653.0,27621.0,9608.0,15079.0,32916.0,50528.0,30363.0,76992.0,27859.0,45903.0,84051.0,51191.0,23006.0,21510.0,30578.0,12583.0,27928.0,17748.0,20372.0,14241.0,16163.0,16041.0,16487.0,23218.0,12552.0,38587.0,15987.0,13566.0,16382.0,27356.0,11451.0,33716.0,11476.0
MIMAT0000067,89666.0,78931.0,28800.0,55489.0,33274.0,106713.0,116118.0,100077.0,121345.0,227591.0,79081.0,61735.0,8516.0,75787.0,83243.0,13579.0,23534.0,42680.0,58994.0,105385.0,22488.0,89124.0,111705.0,194471.0,109435.0,120288.0,98980.0,249625.0,110291.0,133862.0,173524.0,48854.0,69065.0,158468.0,95410.0,204945.0,52429.0,65633.0,29060.0,111948.0,130080.0,93862.0,74577.0,110655.0,147847.0,63033.0,39784.0,181966.0,127967.0,42375.0,95208.0,167941.0,106972.0,130368.0,147603.0,84442.0,236854.0,116818.0,132144.0,57333.0,80192.0,12989.0,57289.0,70469.0,88288.0,92438.0,95065.0,68196.0,31201.0,32405.0,98154.0,101067.0,144636.0,87544.0,42706.0,69759.0,111176.0,105941.0,147168.0,81588.0
MIMAT0000068,1658.0,487.0,1988.0,1236.0,427.0,500.0,891.0,1082.0,1333.0,733.0,227.0,590.0,772.0,421.0,908.0,591.0,698.0,360.0,261.0,1780.0,583.0,3071.0,2540.0,1678.0,968.0,848.0,828.0,1329.0,680.0,471.0,633.0,806.0,509.0,1029.0,1431.0,1520.0,315.0,1356.0,591.0,744.0,798.0,836.0,721.0,1091.0,557.0,832.0,1527.0,753.0,895.0,631.0,912.0,1345.0,1060.0,862.0,1076.0,239.0,1110.0,758.0,1200.0,488.0,751.0,129.0,1039.0,755.0,1726.0,807.0,2376.0,650.0,914.0,125.0,889.0,142.0,939.0,925.0,1233.0,823.0,1609.0,919.0,857.0,337.0
MIMAT0000069,2922.0,1073.0,4914.0,3400.0,968.0,611.0,828.0,1874.0,2474.0,1240.0,234.0,780.0,2735.0,542.0,1242.0,724.0,1420.0,1767.0,715.0,3303.0,1122.0,3160.0,2564.0,2256.0,1692.0,1884.0,1583.0,1951.0,803.0,918.0,787.0,1496.0,944.0,1939.0,2636.0,1378.0,502.0,1756.0,1993.0,748.0,839.0,1340.0,776.0,1842.0,774.0,1378.0,2662.0,1071.0,2150.0,1203.0,1885.0,2157.0,1135.0,937.0,1161.0,241.0,1084.0,1857.0,1938.0,707.0,1351.0,219.0,3424.0,1928.0,2669.0,1642.0,3499.0,1047.0,767.0,222.0,860.0,1728.0,943.0,2558.0,2178.0,1077.0,2817.0,1777.0,906.0,898.0
MIMAT0000070,765.0,509.0,3665.0,1396.0,327.0,852.0,535.0,700.0,1028.0,625.0,221.0,626.0,678.0,325.0,1083.0,1635.0,884.0,583.0,238.0,1021.0,1631.0,1428.0,872.0,468.0,999.0,560.0,715.0,787.0,500.0,379.0,642.0,261.0,1058.0,480.0,888.0,810.0,382.0,910.0,1825.0,657.0,637.0,1975.0,503.0,723.0,393.0,497.0,1019.0,1446.0,440.0,322.0,1085.0,801.0,609.0,542.0,913.0,374.0,838.0,1113.0,977.0,412.0,934.0,184.0,3041.0,582.0,510.0,793.0,1178.0,451.0,506.0,152.0,465.0,930.0,565.0,853.0,1029.0,480.0,598.0,505.0,1287.0,326.0
MIMAT0000071,527.0,279.0,1283.0,370.0,215.0,556.0,268.0,402.0,764.0,890.0,234.0,490.0,287.0,236.0,786.0,371.0,380.0,186.0,88.0,1194.0,841.0,1212.0,677.0,1304.0,414.0,526.0,421.0,532.0,771.0,269.0,406.0,316.0,380.0,558.0,803.0,991.0,376.0,653.0,726.0,500.0,305.0,1259.0,443.0,295.0,476.0,227.0,1041.0,1374.0,362.0,240.0,765.0,730.0,415.0,330.0,544.0,196.0,994.0,546.0,429.0,223.0,702.0,99.0,1182.0,339.0,731.0,492.0,877.0,578.0,377.0,110.0,549.0,581.0,272.0,465.0,1212.0,308.0,650.0,321.0,453.0,443.0
