,0775583e-c0a0-4f18-9ca2-8f89cedce3d6_01,180a2b9c-9cac-4d96-86e8-cd6b3b9386b5_01,1d136284-bdf5-498e-9506-4893801a337c_01,20bf79af-3b0f-477d-b619-5597d42f5d5e_01,20bf79af-3b0f-477d-b619-5597d42f5d5e_11,20ec1cd9-7bdb-4eb9-9d20-65795580f1f5_01,22bf93b3-c8dc-4669-862f-3e4ae478849b_01,2d6e20b2-82c7-4c12-92d0-93282b0a9031_01,2d6e20b2-82c7-4c12-92d0-93282b0a9031_11,32e9558c-946b-4288-91e1-504e47c308ac_01,3824cd6d-c85c-4b21-819a-932d1afef976_01,3c8ca064-a4a7-416f-a069-4324d4a72038_01,3c8ca064-a4a7-416f-a069-4324d4a72038_11,41b97b11-acaa-4fbc-b3b0-0abc1bcac13b_01,4290b3b3-94f6-43e4-8309-430dd973ae2d_01,47a9ef9b-04f0-4e8d-bfdb-0846ba30d08b_01,48d17b17-348c-405a-ae92-f190372a3aac_01,5166d82f-7b22-4101-bea9-6056e5a74c48_01,5cf3911a-f3ea-4c0e-851d-5bb57ca7190f_01,5fb3affa-3661-48e8-a1cc-b533c862e8c5_01,6e534dd3-81ac-4575-ab1e-02c21e10916d_01,6e534dd3-81ac-4575-ab1e-02c21e10916d_11,7047dc12-e2ed-40b7-86fd-c5c53a2766fd_01,779ce92d-1abd-44fc-9021-eda4d7f08fff_01,8944fe2a-e32f-4898-a2c5-fb6751f602a4_01,95b69517-4971-450e-9ed0-43bc8b2c0534_01,9d9109f5-5917-4126-8e34-8a7e4632e913_01,aaacf22c-2362-4613-b024-88fb7dd1cca1_01,aaacf22c-2362-4613-b024-88fb7dd1cca1_11,adc9a685-5b4a-4c29-881a-da1895c47520_01,adc9a685-5b4a-4c29-881a-da1895c47520_11,b10c64c2-7fd2-4210-b975-034affb14b57_01,b16e9c3f-c7df-46c2-bee3-ecaebbab025f_01,b4f7f9e4-5fc5-4461-8e0b-0b6c384863c6_01,b4f7f9e4-5fc5-4461-8e0b-0b6c384863c6_11,bc15cec4-1f82-47fe-ae69-3853194fab7e_01,ccb028ae-777c-4af6-b92e-40848f1cf774_01,dcc87c59-fd8c-4511-9983-96d5b9784cb0_01,e76cf9a0-061e-4a7d-ba28-5a40b8da54b8_01,e76cf9a0-061e-4a7d-ba28-5a40b8da54b8_11,f2d42e03-ca8d-4b57-ae39-0cc8f37b1b67_01,f47dbd99-920b-4b39-a1b0-6c152ad24884_01,f47dbd99-920b-4b39-a1b0-6c152ad24884_11,fe57b639-db7a-460f-adfe-552f1e034e46_01,ff4131c9-537c-46cc-b495-9af60d431f5e_01
MIMAT0000062,15050.446177,19648.389766,31652.59169,26181.243364,22727.539194,25494.418886,16415.09099,16074.138959,18980.058505,20508.401462,28861.420733,23376.617931,19727.490569,19490.987802,22021.883199,21211.298515,24122.507642,21566.586451,17534.209769,31754.167124,28960.912412,22988.35922,24600.758021,27093.785378,24783.442573,14839.493443,33154.012824,14688.679265,23069.14672,23067.465755,16103.323918,25211.685871,28473.486418,20719.099091,22227.288051,34588.654475,16050.993736,25526.842841,32195.6526,28296.982516,28123.654699,39441.120165,29286.988352,24355.337848,19908.306521
MIMAT0000063,14777.64824,10822.002479,22558.046129,11676.257915,10829.52681,10328.47691,9847.215653,6907.386667,8974.192234,9813.071085,18945.733652,13753.820651,11014.212814,7542.473251,9342.581498,24644.500139,15510.483274,4280.993721,7342.026978,24465.731503,28895.135505,12560.281893,9343.275769,19028.619876,15945.299985,8961.992347,40542.816915,5980.660612,12866.360041,10249.982153,8330.896844,18552.588486,32312.580403,10271.146073,12537.929871,19315.70323,14420.12156,21986.337701,23023.16665,12063.888,11907.567318,52013.582856,14234.627737,7175.471127,13089.259466
MIMAT0000064,380.932917,883.929134,477.954,1669.605542,5856.435625,1832.513836,1609.391032,843.411019,4612.625601,1407.946423,1508.965599,955.430729,4824.394755,1681.63929,1641.915506,1018.652105,439.079203,882.007487,701.51583,2090.063821,807.411481,4818.147223,792.430985,1940.344596,372.942449,644.011442,641.602672,890.757742,6841.090048,1330.747377,4100.605175,1621.525674,2188.075615,1116.062863,5427.228284,2367.127831,823.196671,1123.296272,1460.827832,6183.166314,890.781011,1454.327572,5888.711545,684.967373,216.100702
MIMAT0000065,65.739004,135.492787,133.111406,158.839804,88.126419,87.497496,116.360621,102.220844,99.051682,107.852071,99.929679,115.166076,120.597253,53.46593,107.737238,133.426973,129.699783,51.784531,54.176747,166.920195,228.245854,129.336902,118.935442,172.523138,195.277873,85.497315,236.730329,150.081382,99.279689,130.978145,109.824599,224.738016,140.044984,145.358087,121.64378,320.681085,144.672598,139.437702,120.790134,103.883157,247.869498,205.224318,119.847357,136.624718,169.306317
MIMAT0000066,624.70979,507.775351,655.932899,717.843557,344.562956,1000.054268,1398.229797,1701.246933,320.477467,370.145373,995.590602,1112.414759,452.113555,1078.64272,954.551929,858.898733,1219.54972,786.373151,1015.935683,555.265141,1056.705939,566.486353,916.086089,1474.848224,1489.472417,630.103488,1251.930305,1238.583715,451.794531,1754.070629,339.112659,963.102501,1161.660773,895.178,487.724514,780.935152,1013.666291,623.355815,1022.343102,579.904703,1708.273687,925.411997,593.060806,1271.845208,1460.031835
MIMAT0000067,3042.542354,5493.909919,5838.1959,6343.122065,5807.455491,6380.061834,3604.959817,5433.732482,4442.783517,3339.012076,6270.038266,5752.112117,4499.438137,6746.267561,6373.147336,3863.249325,6218.774211,2427.191054,5593.696806,5425.370883,6320.502565,5418.242626,7942.95252,6080.567146,5627.73604,3385.049457,4288.550274,3704.206422,5163.98271,8485.781919,3963.616512,5943.150308,4103.623398,4373.371689,4601.008398,9151.197952,3283.780571,4294.637928,5317.83879,7927.702007,6356.124713,4764.045312,6888.218469,7975.859651,5127.394774
MIMAT0000068,139.805788,207.110403,137.584603,138.665617,172.659703,80.387417,167.090046,115.399143,191.792593,174.984483,159.914938,273.674224,168.02881,128.058577,210.969101,88.103683,149.733031,305.904586,144.2395,187.049719,177.268753,218.111153,198.697704,94.995865,161.774315,103.504454,165.974435,99.944304,264.170305,237.927925,163.276466,152.128181,158.514052,194.636213,189.074664,338.268028,141.989929,128.178757,169.957154,236.695799,172.495721,225.51844,305.460533,178.663093,268.068336
MIMAT0000069,406.799511,763.921238,480.529471,895.580699,308.820694,214.898491,465.125427,256.086369,372.06117,420.402969,200.408421,487.050577,363.810125,182.468719,537.902648,326.686667,534.701816,469.401713,209.821876,842.962471,487.735738,488.837859,295.214759,427.564577,524.76142,353.115621,475.008927,445.62626,471.074934,607.776282,419.144414,420.99606,373.744139,511.848664,441.174215,1204.14438,493.994652,638.512086,385.299249,355.335915,581.242054,649.665607,477.720245,312.890884,764.229903
MIMAT0000070,169.331557,620.040802,218.237646,318.956456,568.661259,161.355245,358.910688,327.142323,538.336294,421.136659,203.565538,402.366838,482.389016,186.36359,277.570303,264.011888,165.84224,122.361834,204.953617,264.161275,1292.516137,518.042962,527.422052,259.699728,344.033667,378.442733,400.227534,211.928106,677.116262,350.76701,589.430961,246.168493,300.304144,406.11118,605.728559,472.228156,173.223881,332.355393,295.002125,420.938639,577.369096,318.871406,583.713379,482.335032,602.683457
MIMAT0000071,141.193751,362.604507,333.185176,306.698724,690.827928,112.600422,223.843593,344.238492,685.404721,414.533471,164.856516,313.491778,538.90321,164.41069,211.752645,286.449159,210.0393,102.942636,200.91992,256.728835,785.047333,619.333689,226.779684,282.991183,278.079521,360.728393,283.178398,205.496047,604.311155,275.619478,662.744721,326.532776,242.279276,150.063034,515.884571,513.014899,130.876007,289.051759,289.329008,550.829111,467.436591,386.603038,698.553183,235.451772,506.743213
