,0775583e-c0a0-4f18-9ca2-8f89cedce3d6_01,180a2b9c-9cac-4d96-86e8-cd6b3b9386b5_01,1d136284-bdf5-498e-9506-4893801a337c_01,20bf79af-3b0f-477d-b619-5597d42f5d5e_01,20bf79af-3b0f-477d-b619-5597d42f5d5e_11,20ec1cd9-7bdb-4eb9-9d20-65795580f1f5_01,22bf93b3-c8dc-4669-862f-3e4ae478849b_01,2d6e20b2-82c7-4c12-92d0-93282b0a9031_01,2d6e20b2-82c7-4c12-92d0-93282b0a9031_11,32e9558c-946b-4288-91e1-504e47c308ac_01,3824cd6d-c85c-4b21-819a-932d1afef976_01,3c8ca064-a4a7-416f-a069-4324d4a72038_01,3c8ca064-a4a7-416f-a069-4324d4a72038_11,41b97b11-acaa-4fbc-b3b0-0abc1bcac13b_01,4290b3b3-94f6-43e4-8309-430dd973ae2d_01,47a9ef9b-04f0-4e8d-bfdb-0846ba30d08b_01,48d17b17-348c-405a-ae92-f190372a3aac_01,5166d82f-7b22-4101-bea9-6056e5a74c48_01,5cf3911a-f3ea-4c0e-851d-5bb57ca7190f_01,5fb3affa-3661-48e8-a1cc-b533c862e8c5_01,6e534dd3-81ac-4575-ab1e-02c21e10916d_01,6e534dd3-81ac-4575-ab1e-02c21e10916d_11,7047dc12-e2ed-40b7-86fd-c5c53a2766fd_01,779ce92d-1abd-44fc-9021-eda4d7f08fff_01,8944fe2a-e32f-4898-a2c5-fb6751f602a4_01,95b69517-4971-450e-9ed0-43bc8b2c0534_01,9d9109f5-5917-4126-8e34-8a7e4632e913_01,aaacf22c-2362-4613-b024-88fb7dd1cca1_01,aaacf22c-2362-4613-b024-88fb7dd1cca1_11,adc9a685-5b4a-4c29-881a-da1895c47520_01,adc9a685-5b4a-4c29-881a-da1895c47520_11,b10c64c2-7fd2-4210-b975-034affb14b57_01,b16e9c3f-c7df-46c2-bee3-ecaebbab025f_01,b4f7f9e4-5fc5-4461-8e0b-0b6c384863c6_01,b4f7f9e4-5fc5-4461-8e0b-0b6c384863c6_11,bc15cec4-1f82-47fe-ae69-3853194fab7e_01,ccb028ae-777c-4af6-b92e-40848f1cf774_01,dcc87c59-fd8c-4511-9983-96d5b9784cb0_01,e76cf9a0-061e-4a7d-ba28-5a40b8da54b8_01,e76cf9a0-061e-4a7d-ba28-5a40b8da54b8_11,f2d42e03-ca8d-4b57-ae39-0cc8f37b1b67_01,f47dbd99-920b-4b39-a1b0-6c152ad24884_01,f47dbd99-920b-4b39-a1b0-6c152ad24884_11,fe57b639-db7a-460f-adfe-552f1e034e46_01,ff4131c9-537c-46cc-b495-9af60d431f5e_01
MIMAT0000062,119279.0,30453.0,233510.0,102523.0,120180.0,175698.0,51773.0,90261.0,69174.0,55905.0,210259.0,245405.0,39096.0,165141.0,112422.0,141804.0,116800.0,103284.0,252122.0,102537.0,88058.0,99179.0,104248.0,162855.0,258904.0,101363.0,214136.0,89063.0,80166.0,97921.0,55132.0,178819.0,195794.0,83670.0,116030.0,92436.0,83765.0,117897.0,136203.0,193671.0,94400.0,155478.0,175457.0,132094.0,84663.0
MIMAT0000063,117117.0,16773.0,166417.0,45723.0,57265.0,71180.0,31058.0,38787.0,32707.0,26750.0,138022.0,144386.0,21828.0,63905.0,47694.0,164756.0,75101.0,20502.0,105570.0,79002.0,87858.0,54189.0,39593.0,114377.0,166575.0,61216.0,261859.0,36263.0,44711.0,43511.0,28522.0,131588.0,222193.0,41478.0,65450.0,51620.0,75254.0,101545.0,97399.0,82568.0,39969.0,205039.0,85279.0,38917.0,55664.0
MIMAT0000064,3019.0,1370.0,3526.0,6538.0,30968.0,12629.0,5076.0,4736.0,16811.0,3838.0,10993.0,10030.0,9561.0,14248.0,8382.0,6810.0,2126.0,4224.0,10087.0,6749.0,2455.0,20787.0,3358.0,11663.0,3896.0,4399.0,4144.0,5401.0,23773.0,5649.0,14039.0,11501.0,15046.0,4507.0,28331.0,6326.0,4296.0,5188.0,6180.0,42319.0,2990.0,5733.0,35279.0,3715.0,919.0
MIMAT0000065,521.0,210.0,982.0,622.0,466.0,603.0,367.0,574.0,361.0,294.0,728.0,1209.0,239.0,453.0,550.0,892.0,628.0,248.0,779.0,539.0,694.0,558.0,504.0,1037.0,2040.0,584.0,1529.0,910.0,345.0,556.0,376.0,1594.0,963.0,587.0,635.0,857.0,755.0,644.0,511.0,711.0,832.0,809.0,718.0,741.0,720.0
MIMAT0000066,4951.0,787.0,4839.0,2811.0,1822.0,6892.0,4410.0,9553.0,1168.0,1009.0,7253.0,11678.0,896.0,9139.0,4873.0,5742.0,5905.0,3766.0,14608.0,1793.0,3213.0,2444.0,3882.0,8865.0,15560.0,4304.0,8086.0,7510.0,1570.0,7446.0,1161.0,6831.0,7988.0,3615.0,2546.0,2087.0,5290.0,2879.0,4325.0,3969.0,5734.0,3648.0,3553.0,6898.0,6209.0
MIMAT0000067,24113.0,8515.0,43070.0,24839.0,30709.0,43969.0,11370.0,30512.0,16192.0,9102.0,45678.0,60385.0,8917.0,57159.0,32535.0,25827.0,30111.0,11624.0,80431.0,17519.0,19218.0,23376.0,33659.0,36549.0,58791.0,23122.0,27699.0,22460.0,17945.0,36022.0,13570.0,42153.0,28218.0,17661.0,24018.0,24456.0,17137.0,19835.0,22497.0,54259.0,21335.0,18780.0,41267.0,43258.0,21805.0
MIMAT0000068,1108.0,321.0,1015.0,543.0,913.0,554.0,527.0,648.0,699.0,477.0,1165.0,2873.0,333.0,1085.0,1077.0,589.0,725.0,1465.0,2074.0,604.0,539.0,941.0,842.0,571.0,1690.0,707.0,1072.0,606.0,918.0,1010.0,559.0,1079.0,1090.0,786.0,987.0,904.0,741.0,592.0,719.0,1620.0,579.0,889.0,1830.0,969.0,1140.0
MIMAT0000069,3224.0,1184.0,3545.0,3507.0,1633.0,1481.0,1467.0,1438.0,1356.0,1146.0,1460.0,5113.0,721.0,1546.0,2746.0,2184.0,2589.0,2248.0,3017.0,2722.0,1483.0,2109.0,1251.0,2570.0,5482.0,2412.0,3068.0,2702.0,1637.0,2580.0,1435.0,2986.0,2570.0,2067.0,2303.0,3218.0,2578.0,2949.0,1630.0,2432.0,1951.0,2561.0,2862.0,1697.0,3250.0
MIMAT0000070,1342.0,961.0,1610.0,1249.0,3007.0,1112.0,1132.0,1837.0,1962.0,1148.0,1483.0,4224.0,956.0,1579.0,1417.0,1765.0,803.0,586.0,2947.0,853.0,3930.0,2235.0,2235.0,1561.0,3594.0,2585.0,2585.0,1285.0,2353.0,1489.0,2018.0,1746.0,2065.0,1640.0,3162.0,1262.0,904.0,1535.0,1248.0,2881.0,1938.0,1257.0,3497.0,2616.0,2563.0
MIMAT0000071,1119.0,562.0,2458.0,1201.0,3653.0,776.0,706.0,1933.0,2498.0,1130.0,1201.0,3291.0,1068.0,1393.0,1081.0,1915.0,1017.0,493.0,2889.0,829.0,2387.0,2672.0,961.0,1701.0,2905.0,2464.0,1829.0,1246.0,2100.0,1170.0,2269.0,2316.0,1666.0,606.0,2693.0,1371.0,683.0,1335.0,1224.0,3770.0,1569.0,1524.0,4185.0,1277.0,2155.0
