,0030a28c-81aa-44b0-8be0-b35e1dcbf98c_01,0bf573ac-cd1e-42d8-90cf-b30d7b08679c_01,0e251c03-bf86-4ed8-b45d-3cbc97160502_01,0e9fcccc-0630-408d-a121-2c6413824cb7_01,1843c82e-7a35-474f-9f79-c0a9af9aa09c_01,1d0db5d7-39ca-466d-96b3-0d278c5ea768_01,1ea575f1-f731-408b-a629-f5f4abab569e_01,1f971af1-6772-4fe6-8d35-bbe527a037fe_01,25ff86af-beb4-480c-b706-f3fe0306f7cf_01,29aff186-c321-4ff9-b81b-105e27e620ff_01,29e3d122-15a1-4235-a356-b1a9f94ceb39_01,31bbad4e-3789-42ec-9faa-1cb86970f723_01,33365d22-cb83-4d8e-a2d1-06b675f75f6e_01,3622cf29-600f-4410-84d4-a9afeb41c475_01,3f5a897d-1eaa-4d4c-8324-27ac07c90927_01,45b0cf9f-a879-417f-8f39-7770552252c0_01,4dd86ebd-ef16-4b2b-9ea0-5d1d7afef257_01,58e66976-4507-4552-ac53-83a49a142dde_01,5eff68ff-f6c3-40c9-9fc8-00e684a7b712_01,67325322-483f-443f-9ffa-2a20d108a2fb_01,69f23725-adca-48ac-9b33-80a7aae24cfe_01,6a21c948-cd85-4150-8c01-83017d7dc1ed_01,6e9437f0-a4ed-475c-ab0e-bf1431c70a90_01,a43e5f0e-a21f-48d8-97e0-084d413680b7_01,a468e725-ad4b-411d-ac5c-2eacc68ec580_01,a5b188f0-a6d3-4d4a-b04f-36d47ec05338_01,a6923479-4e68-4ea8-87ed-e9642b9d43d5_01,a8e2df1e-4042-42af-9231-3a00e83489f0_01,b56bdbdb-43af-4a03-a072-54dd22d7550c_01,c1c06604-5ae2-4a53-b9c0-eb210d38e3f0_01,c3d662ee-48d0-454a-bb0c-77d3338d3747_01,c85f340e-584b-4f3b-b6a5-540491fc8ad2_01,c8cde9ea-89e9-4ee8-8a46-417a48f6d3ab_01,d7df78b5-24f1-4ff4-bd9b-f0e6bec8289a_01,dc87a809-95de-4eb7-a1c2-2650475f2d7e_01,e56e4d9c-052e-4ec6-a81b-dbd53e9c8ffe_01,e6365b38-bc44-400c-b4aa-18ce8ff5bfce_01,ea54dbad-1b23-41cc-9378-d4002a8fca51_01,ed746cb9-0f2f-48ce-923a-3a9f9f00b331_01,eda9496e-be80-4a13-bf06-89f0cc9e937f_01,f0a326d2-1f3e-4a5d-bca8-32aaccc52338_01,f553f1a9-ecf2-4783-a609-6adca7c4c597_01,f784bc3a-751b-4025-aab2-0af2f6f24266_01,f855dad1-6ffc-493e-ba6c-970874bc9210_01,f8cf647b-1447-4ac3-8c43-bef07765cabf_01,f978cb0f-d319-4c01-b4c5-23ae1403a106_01,fdecb74f-ac4e-46b1-b23a-5f7fde96ef9f_01
MIMAT0000062,176380.0,119407.0,34163.0,121458.0,93049.0,110013.0,252496.0,114091.0,72998.0,63432.0,154166.0,119655.0,158155.0,70754.0,97982.0,65534.0,75530.0,308610.0,69359.0,70397.0,179663.0,143496.0,44133.0,68839.0,42432.0,65195.0,73723.0,104596.0,150020.0,247314.0,81465.0,103286.0,79818.0,115894.0,101654.0,67569.0,446128.0,86421.0,103300.0,48000.0,76493.0,79627.0,273618.0,241346.0,112977.0,93580.0,84602.0
MIMAT0000063,24367.0,29458.0,13772.0,47154.0,21016.0,22368.0,69667.0,35328.0,10563.0,7769.0,26012.0,33011.0,25985.0,15785.0,27509.0,11341.0,27127.0,46057.0,9617.0,23729.0,17544.0,91467.0,11194.0,39578.0,24773.0,13287.0,66439.0,24727.0,41341.0,32427.0,23943.0,19957.0,26176.0,31305.0,28336.0,13412.0,130967.0,29282.0,27170.0,14495.0,16754.0,10591.0,62723.0,38422.0,51686.0,17416.0,21722.0
MIMAT0000064,2677.0,1899.0,606.0,4553.0,1294.0,1223.0,2328.0,674.0,1467.0,308.0,1881.0,949.0,631.0,1778.0,281.0,248.0,4648.0,1265.0,1299.0,2081.0,1741.0,1277.0,226.0,1939.0,449.0,820.0,2142.0,1377.0,1697.0,2667.0,1090.0,859.0,1327.0,1922.0,2774.0,1648.0,24004.0,693.0,1496.0,287.0,523.0,503.0,1872.0,3051.0,2393.0,821.0,775.0
MIMAT0000065,1938.0,1106.0,618.0,944.0,609.0,1014.0,1731.0,553.0,663.0,320.0,2458.0,1738.0,757.0,521.0,1062.0,738.0,317.0,2004.0,319.0,374.0,545.0,1131.0,281.0,870.0,976.0,453.0,726.0,2073.0,1314.0,1425.0,484.0,584.0,969.0,1049.0,1486.0,567.0,2039.0,898.0,1248.0,330.0,762.0,574.0,2103.0,913.0,1410.0,822.0,847.0
MIMAT0000066,2437.0,3355.0,1141.0,3197.0,6193.0,1437.0,4942.0,3943.0,2092.0,2169.0,2345.0,1405.0,2836.0,1495.0,2288.0,735.0,2621.0,5048.0,2024.0,1584.0,3933.0,2214.0,1171.0,3117.0,1176.0,4018.0,1562.0,2037.0,3873.0,6780.0,2682.0,2006.0,1298.0,4421.0,2778.0,1873.0,18016.0,2615.0,919.0,1089.0,2116.0,653.0,5317.0,13377.0,3305.0,783.0,2160.0
MIMAT0000067,106687.0,62667.0,15544.0,33700.0,59522.0,52328.0,100045.0,31375.0,48186.0,26579.0,80117.0,43570.0,80350.0,33805.0,47414.0,29218.0,30435.0,151062.0,56951.0,25877.0,138388.0,45174.0,25657.0,22349.0,12338.0,44578.0,24375.0,53124.0,73870.0,191902.0,16344.0,51446.0,31970.0,61182.0,50748.0,34312.0,211363.0,26076.0,52856.0,17852.0,34013.0,51921.0,179315.0,177176.0,65136.0,34330.0,42982.0
MIMAT0000068,4325.0,1788.0,2088.0,1276.0,599.0,4006.0,4531.0,1539.0,1529.0,1529.0,7948.0,1006.0,6274.0,1343.0,1555.0,2844.0,1163.0,3758.0,871.0,677.0,2002.0,1956.0,1003.0,1220.0,618.0,484.0,1656.0,1480.0,4864.0,2200.0,977.0,2040.0,2075.0,1638.0,1812.0,1042.0,7479.0,1095.0,5417.0,1286.0,1599.0,3079.0,8228.0,1417.0,2807.0,1527.0,2682.0
MIMAT0000069,8146.0,4315.0,6567.0,5652.0,2095.0,5016.0,9485.0,5214.0,3749.0,2883.0,30106.0,7396.0,6911.0,2265.0,7204.0,5449.0,1748.0,9419.0,1789.0,2551.0,4569.0,11933.0,2527.0,3597.0,3811.0,1730.0,3899.0,8356.0,9016.0,7307.0,6324.0,3334.0,6926.0,5265.0,6760.0,2477.0,9276.0,4024.0,7440.0,3485.0,5291.0,3212.0,10301.0,2937.0,11826.0,6241.0,5656.0
MIMAT0000070,15043.0,6079.0,4752.0,3669.0,3121.0,8101.0,7701.0,3668.0,3704.0,3830.0,14678.0,1626.0,18571.0,2704.0,3391.0,12140.0,4506.0,11801.0,3283.0,4599.0,2253.0,1833.0,1917.0,6277.0,8123.0,3695.0,6171.0,12764.0,8927.0,3831.0,11899.0,2698.0,17519.0,2171.0,3614.0,1889.0,10480.0,2782.0,13963.0,1267.0,4573.0,6397.0,14229.0,3915.0,2330.0,4125.0,3810.0
MIMAT0000071,15409.0,4542.0,1915.0,4305.0,1537.0,5912.0,6178.0,5163.0,2232.0,2502.0,16436.0,2239.0,12914.0,2615.0,3530.0,8901.0,3026.0,11268.0,1850.0,4860.0,1879.0,1967.0,935.0,3508.0,5211.0,1700.0,5570.0,10867.0,5294.0,1956.0,9450.0,1622.0,18657.0,1861.0,2146.0,1680.0,11488.0,2852.0,12385.0,741.0,5494.0,5708.0,13270.0,2644.0,2760.0,4961.0,2393.0
MIMAT0000072,295.0,293.0,470.0,97.0,185.0,217.0,134.0,95.0,104.0,109.0,447.0,30.0,266.0,54.0,137.0,347.0,107.0,199.0,89.0,122.0,33.0,64.0,39.0,169.0,431.0,80.0,254.0,346.0,443.0,38.0,322.0,75.0,346.0,99.0,169.0,40.0,381.0,90.0,584.0,23.0,83.0,205.0,331.0,144.0,254.0,62.0,84.0
MIMAT0000073,1058.0,545.0,863.0,145.0,196.0,618.0,401.0,163.0,211.0,265.0,793.0,74.0,645.0,90.0,189.0,814.0,668.0,768.0,172.0,134.0,150.0,107.0,254.0,239.0,442.0,307.0,609.0,739.0,954.0,205.0,202.0,393.0,474.0,186.0,306.0,42.0,822.0,112.0,954.0,194.0,119.0,560.0,1092.0,376.0,303.0,113.0,377.0
MIMAT0000074,3225.0,2033.0,2584.0,591.0,983.0,2891.0,1664.0,478.0,676.0,893.0,5358.0,424.0,3690.0,428.0,859.0,4043.0,1543.0,3505.0,547.0,405.0,622.0,655.0,612.0,684.0,1637.0,1005.0,2533.0,3504.0,2473.0,1057.0,1315.0,1113.0,1892.0,823.0,1076.0,390.0,2622.0,478.0,2454.0,653.0,558.0,1064.0,3615.0,977.0,1579.0,707.0,1093.0
MIMAT0000075,18319.0,6446.0,3698.0,2451.0,2547.0,9410.0,9247.0,2585.0,3562.0,3707.0,14222.0,885.0,22277.0,2215.0,2147.0,10552.0,6904.0,15610.0,2381.0,3439.0,2116.0,1339.0,2247.0,3694.0,4385.0,2989.0,4824.0,9040.0,9182.0,2974.0,5278.0,3147.0,10418.0,1985.0,2494.0,1407.0,12879.0,1574.0,14517.0,1463.0,2778.0,7832.0,18805.0,3931.0,1760.0,2582.0,3658.0
MIMAT0000076,1214129.0,1163061.0,1739693.0,1262875.0,1182032.0,1282185.0,2799431.0,3333433.0,1754911.0,2098868.0,2087002.0,369577.0,1846712.0,1035195.0,1872512.0,579259.0,816089.0,3422456.0,648104.0,361765.0,1340466.0,1096705.0,1201616.0,1588262.0,1066607.0,1229110.0,1113792.0,1039160.0,3746585.0,785423.0,629632.0,2996481.0,1143270.0,1072170.0,1244681.0,466886.0,7959411.0,2487144.0,2933143.0,2549371.0,1439342.0,1822235.0,7273602.0,2000893.0,5325083.0,338659.0,2265506.0
MIMAT0000077,411265.0,237440.0,233037.0,446809.0,228833.0,187830.0,765100.0,442301.0,237442.0,208223.0,389799.0,154226.0,218160.0,276351.0,371525.0,162802.0,112600.0,286222.0,100167.0,153142.0,140504.0,209662.0,133021.0,300561.0,277763.0,177963.0,321256.0,435127.0,431854.0,153683.0,226522.0,319374.0,348231.0,430029.0,286624.0,114043.0,1406914.0,674786.0,245325.0,253008.0,419795.0,152407.0,706417.0,305213.0,881433.0,126169.0,376933.0
MIMAT0000078,17632.0,10525.0,7170.0,22485.0,6854.0,8075.0,22765.0,16428.0,4414.0,8399.0,16211.0,8284.0,10516.0,11029.0,19062.0,9736.0,3121.0,16984.0,2571.0,4231.0,5952.0,15530.0,4591.0,9650.0,9996.0,9158.0,6072.0,13912.0,11375.0,7883.0,10753.0,9875.0,11427.0,8855.0,7570.0,6842.0,34803.0,23267.0,5038.0,9316.0,18177.0,4156.0,23272.0,10071.0,24210.0,6705.0,14020.0
MIMAT0000079,23.0,14.0,22.0,16.0,15.0,9.0,18.0,12.0,10.0,8.0,44.0,22.0,3.0,11.0,23.0,15.0,11.0,14.0,2.0,8.0,5.0,32.0,3.0,16.0,12.0,8.0,87.0,45.0,18.0,12.0,16.0,5.0,20.0,13.0,22.0,9.0,96.0,7.0,15.0,7.0,16.0,3.0,14.0,5.0,60.0,7.0,9.0
MIMAT0000080,5970.0,2825.0,6816.0,5514.0,2172.0,2999.0,9970.0,3205.0,2181.0,3691.0,13585.0,1913.0,2601.0,2459.0,3658.0,1458.0,1443.0,4710.0,794.0,2274.0,1182.0,8390.0,1421.0,3103.0,3079.0,1586.0,4273.0,4867.0,4153.0,1667.0,3731.0,2543.0,3825.0,3343.0,4065.0,928.0,17847.0,5585.0,3419.0,2467.0,5731.0,2238.0,8349.0,3195.0,27740.0,1049.0,3427.0
MIMAT0000081,69809.0,32131.0,31757.0,38556.0,19375.0,40317.0,63603.0,54041.0,26440.0,12304.0,69278.0,63239.0,29186.0,17528.0,39073.0,80930.0,37500.0,62469.0,14658.0,18211.0,30742.0,47549.0,18194.0,35235.0,36841.0,18672.0,58505.0,56659.0,46862.0,74229.0,88718.0,21202.0,35829.0,158403.0,53853.0,32991.0,74264.0,32489.0,49871.0,14347.0,74828.0,13054.0,44153.0,42695.0,44130.0,32670.0,22609.0
MIMAT0000082,23075.0,10068.0,15985.0,18444.0,4784.0,6457.0,22821.0,17008.0,3921.0,6997.0,31259.0,8908.0,8234.0,3073.0,19265.0,3579.0,6900.0,29302.0,1687.0,7182.0,5215.0,41056.0,3548.0,5542.0,7237.0,1655.0,11818.0,6869.0,21050.0,12327.0,11336.0,12030.0,8225.0,4985.0,7441.0,3498.0,27477.0,11325.0,8341.0,12932.0,6514.0,3839.0,19244.0,9766.0,38706.0,13500.0,11531.0
MIMAT0000083,4076.0,3884.0,11453.0,3045.0,1555.0,1603.0,4191.0,1587.0,1261.0,1573.0,8743.0,4174.0,1698.0,692.0,2032.0,1411.0,1034.0,5221.0,654.0,958.0,1026.0,4969.0,761.0,1030.0,1160.0,681.0,6441.0,3611.0,5564.0,2986.0,1477.0,2409.0,1957.0,2448.0,2348.0,979.0,6220.0,2161.0,1954.0,1297.0,1310.0,1210.0,3337.0,2313.0,11323.0,814.0,2781.0
MIMAT0000084,5665.0,4180.0,8041.0,5803.0,2279.0,2961.0,5388.0,4202.0,1836.0,3342.0,8884.0,1635.0,2221.0,2561.0,4227.0,1992.0,879.0,3993.0,651.0,1687.0,1349.0,6157.0,1034.0,3538.0,3315.0,1731.0,4846.0,5224.0,4486.0,1769.0,2890.0,2890.0,3865.0,2366.0,3103.0,965.0,14372.0,7376.0,2684.0,2521.0,4812.0,1323.0,7316.0,2696.0,20322.0,1440.0,3883.0
MIMAT0000085,308.0,310.0,195.0,595.0,174.0,351.0,821.0,917.0,330.0,250.0,396.0,1470.0,311.0,391.0,462.0,847.0,254.0,1927.0,91.0,168.0,264.0,744.0,46.0,485.0,599.0,100.0,367.0,2195.0,445.0,402.0,652.0,271.0,440.0,653.0,871.0,1092.0,1664.0,349.0,536.0,206.0,294.0,143.0,1038.0,326.0,876.0,161.0,300.0
