,16242ba1-42fd-4fae-bd2e-433b97fc95c6_11,1d26c6ae-f2fc-49e4-83a4-b79398c3d8f8_11,25fb2523-3f46-45c4-b54d-16aafdeb4904_11,680b2e96-f00b-4012-8728-b0ec20c50ce0_11,a2b0094b-8a0c-4505-a1fa-7e1e47d0374d_11
MIMAT0000062,116001.0,191321.0,272352.0,137903.0,290145.0
MIMAT0000063,42307.0,119570.0,62215.0,37765.0,72364.0
MIMAT0000064,46131.0,29586.0,75097.0,30548.0,61875.0
MIMAT0000065,1352.0,2078.0,1933.0,1360.0,1853.0
MIMAT0000066,15500.0,10867.0,41612.0,16003.0,32653.0
MIMAT0000067,32701.0,37482.0,111505.0,56381.0,112990.0
MIMAT0000068,450.0,897.0,958.0,805.0,995.0
MIMAT0000069,1117.0,1850.0,1888.0,3042.0,2594.0
MIMAT0000070,484.0,1442.0,991.0,1065.0,1129.0
MIMAT0000071,419.0,1156.0,841.0,664.0,1095.0
MIMAT0000072,8.0,42.0,31.0,46.0,31.0
MIMAT0000073,42.0,129.0,91.0,86.0,134.0
MIMAT0000074,191.0,544.0,344.0,409.0,469.0
MIMAT0000075,349.0,832.0,825.0,789.0,1141.0
MIMAT0000076,39511.0,43602.0,39374.0,42923.0,46683.0
MIMAT0000077,314403.0,303630.0,512181.0,266536.0,456414.0
MIMAT0000078,1815.0,1794.0,3246.0,1638.0,2260.0
MIMAT0000079,61.0,280.0,71.0,64.0,96.0
MIMAT0000080,6467.0,8085.0,9320.0,7966.0,11107.0
MIMAT0000081,7134.0,20635.0,11727.0,21574.0,15962.0
MIMAT0000082,10107.0,12226.0,13053.0,12893.0,17073.0
MIMAT0000083,1628.0,4369.0,2137.0,3407.0,3004.0
MIMAT0000084,638.0,455.0,1141.0,756.0,1018.0
MIMAT0000085,165.0,194.0,258.0,169.0,257.0
MIMAT0000086,71805.0,50339.0,101034.0,60092.0,110032.0
MIMAT0000087,84142.0,69406.0,129991.0,69451.0,101032.0
MIMAT0000088,19890.0,22828.0,24731.0,15720.0,17218.0
MIMAT0000089,11.0,8.0,20.0,9.0,25.0
MIMAT0000090,36.0,104.0,84.0,118.0,160.0
MIMAT0000091,179.0,561.0,339.0,187.0,324.0
MIMAT0000092,10716.0,48906.0,19121.0,21613.0,25036.0
MIMAT0000093,6859.0,14475.0,11746.0,10752.0,12416.0
MIMAT0000094,167.0,80.0,247.0,128.0,185.0
MIMAT0000095,3.0,0.0,5.0,34.0,8.0
MIMAT0000096,713.0,678.0,1395.0,658.0,1312.0
MIMAT0000097,8365.0,7974.0,15968.0,5433.0,12648.0
MIMAT0000098,31283.0,150711.0,63638.0,31212.0,77911.0
MIMAT0000099,62699.0,62838.0,118395.0,57079.0,117693.0
MIMAT0000100,9133.0,7254.0,12964.0,7863.0,15039.0
MIMAT0000101,266406.0,181391.0,382459.0,228376.0,372723.0
MIMAT0000102,1199.0,467.0,1211.0,712.0,972.0
MIMAT0000103,106.0,88.0,148.0,137.0,159.0
MIMAT0000104,836.0,471.0,1642.0,825.0,1599.0
MIMAT0000222,1522.0,2331.0,1982.0,1553.0,1861.0
MIMAT0000226,0.0,0.0,3.0,0.0,0.0
MIMAT0000227,6238.0,5074.0,6003.0,5551.0,6797.0
MIMAT0000231,132.0,76.0,208.0,91.0,179.0
MIMAT0000232,302.0,134.0,471.0,221.0,299.0
MIMAT0000242,25768.0,7462.0,27876.0,10780.0,22377.0
MIMAT0000243,6352.0,3366.0,10150.0,5649.0,7977.0
MIMAT0000244,4807.0,3676.0,6916.0,4058.0,6280.0
MIMAT0000245,29077.0,10558.0,43740.0,22505.0,36447.0
MIMAT0000250,17824.0,5706.0,22283.0,9822.0,18277.0
MIMAT0000252,217.0,47.0,449.0,234.0,704.0
MIMAT0000253,530.0,302.0,493.0,405.0,441.0
MIMAT0000254,453.0,331.0,731.0,994.0,381.0
MIMAT0000255,374.0,315.0,684.0,440.0,592.0
MIMAT0000256,18637.0,98650.0,35886.0,24956.0,56218.0
MIMAT0000257,3576.0,31196.0,7449.0,5223.0,11870.0
MIMAT0000258,1005.0,339.0,1862.0,836.0,1484.0
