,02979422-5149-4750-ad5f-483e0bec6ac5_01,02ec7a3a-2812-4a65-93cd-07bf655cc91b_01,03f3dd32-e1d1-485b-a968-3f55798f4d46_01,03f3dd32-e1d1-485b-a968-3f55798f4d46_11,04e9a63a-d742-488c-8564-bf9d79aa2091_01,04e9a63a-d742-488c-8564-bf9d79aa2091_11,0697436f-e487-45db-b0bc-ad9246f70196_01,0697436f-e487-45db-b0bc-ad9246f70196_11,08a96dec-e658-493a-9308-83f7ace3b3b6_01,0b77657a-0297-4cee-b9f2-5de72e182016_01,0ec3caa1-7c51-417b-a89c-18e9fceb80c4_01,0f3c4f8f-0766-46b0-81b4-18ca4f6ea20a_01,11a33d4a-4839-468f-9d61-5630586ed978_01,151f07f5-1529-4fcd-912c-e55b2ff8abef_01,222a2e5b-9d55-4477-8a54-7776bd44f8a7_01,222a2e5b-9d55-4477-8a54-7776bd44f8a7_11,23656226-2d99-4548-959f-5c2eed803e33_01,2a05f855-83cc-4276-befd-5d6d4ec18f82_01,2ea84e23-6a0a-4c5d-9c70-d5355a85df35_01,2f1c4db6-88a7-4a5d-a5fe-94d85f569440_01,2fc175d1-9d95-44fd-a53e-820f6f404551_01,3129e869-bb2f-423a-bd20-d0daae33b11a_01,366219b9-fde3-4d2d-82d3-15fe6245aa98_01,366219b9-fde3-4d2d-82d3-15fe6245aa98_11,39034b58-1fe1-4cae-ad3e-3ee291f1b4d0_01,3ec3bcb3-492c-4942-be02-76a67f57e38f_01,3ec3bcb3-492c-4942-be02-76a67f57e38f_11,40f79cfe-a51f-497b-b06e-7a4f9004f092_01,452135f2-6de6-4593-a091-ddf6344ee431_01,452e96b0-dd23-4f5a-bc05-625763b0ee12_01,455fd7d4-5ff4-423f-83ce-4630aef89bb7_01,455fd7d4-5ff4-423f-83ce-4630aef89bb7_11,4a88bc85-4c6e-4fac-8dbb-d3fc5f36b35e_01,4a88bc85-4c6e-4fac-8dbb-d3fc5f36b35e_11,4e4faf51-2cbf-4910-a093-186660e4a19b_01,5f633c79-fcf8-47da-b349-ada3fb794819_01,6101ffe6-2ef6-4256-9d6b-a7c545836995_01,63643ba6-bed9-4c36-91dd-a18105fadc06_01,63643ba6-bed9-4c36-91dd-a18105fadc06_11,648fecca-4946-4880-8359-6801cbb4fc0d_01,648fecca-4946-4880-8359-6801cbb4fc0d_11,70e306ee-9584-49d6-81a1-a49d837ab6aa_01,739deed4-d1dc-458f-bd0f-1e24d2bfd305_01,83b3060c-2449-4581-88ef-817d126e4525_01,872092b3-d31e-44d7-bd03-e29f52f8ab5a_01,8ac7f218-bd7b-4dda-8879-2cec49748e42_01,8c9e1f60-1838-4aa4-a667-c1cef7dddbdf_01,8c9e1f60-1838-4aa4-a667-c1cef7dddbdf_11,955d428c-8fe8-456b-b86d-65ea6c2a1b18_01,955d428c-8fe8-456b-b86d-65ea6c2a1b18_11,9680b5ff-1882-434f-9981-e8ac33764b93_01,9aa02d46-294b-4e99-b9ee-56edcbfb5275_01,9aabcbd7-a26a-49b1-abf1-02c0dc3adcf2_01,9f8aa332-e625-46f7-b77b-1fcb3ca99ee2_01,9f8aa332-e625-46f7-b77b-1fcb3ca99ee2_11,a122d361-835e-4cf2-850f-af7864aa112c_01,a5af1391-89d3-4f41-930e-7e8272afec98_01,af1111af-9384-4e37-9b16-227d38007ebd_01,af1111af-9384-4e37-9b16-227d38007ebd_11,b08dfba8-6afb-4217-9259-72be6f1f3363_01,b08dfba8-6afb-4217-9259-72be6f1f3363_11,b4a0bf74-1381-4c17-b97d-206810d9e59a_01,b5f6a0e3-f9ac-475f-9a34-b8b8834f1779_01,baaf32ff-b31b-4c42-bbf6-8ff7ab569ab6_01,c689ae1d-4a6b-45db-b4d1-6b34c5c61522_01,cc316faf-dcb1-4dea-b8b0-a17d000ff40f_01,cc316faf-dcb1-4dea-b8b0-a17d000ff40f_11,d52c3cb6-921e-4f26-b49c-e6e4f11f9c06_01,d542c363-fd6c-447d-b71a-0e94fec125e4_01,d542c363-fd6c-447d-b71a-0e94fec125e4_11,dc04b82c-e1e8-4917-ba19-c2fea4a1b69a_01,dc04b82c-e1e8-4917-ba19-c2fea4a1b69a_11,dc8dbf62-b687-4362-8839-2fac69703f64_01,e0e38071-877f-4ebf-955f-483eb4865351_01,e0e38071-877f-4ebf-955f-483eb4865351_11,e1e15226-9f8e-4035-8f08-eb1fed57080e_01,e1e15226-9f8e-4035-8f08-eb1fed57080e_11,e562c60c-8e6e-481f-ad4f-28b067437ece_01,e8c2a8c6-5c2b-460b-b536-60bc537e6be3_01,e8c2a8c6-5c2b-460b-b536-60bc537e6be3_11,edcbbfd8-9fc9-4774-bfbd-d1a30dc2f46a_01,edcbbfd8-9fc9-4774-bfbd-d1a30dc2f46a_11,ee8c1919-17a9-4df1-8aa5-79546621b23c_01,f1c1502e-1bd6-425a-b651-454363809668_01,f1c1502e-1bd6-425a-b651-454363809668_11,f2b58595-dec0-4194-ab33-7c7dc6c058a6_01,f2b58595-dec0-4194-ab33-7c7dc6c058a6_11,f31ba8ec-a3dd-4dd8-8d15-f6c5975ebe44_01,f3ba1cf8-ac67-4da8-96f3-8680dc55f247_01,fb322d32-d753-41cc-a21e-e47bf063d5bb_01,fb322d32-d753-41cc-a21e-e47bf063d5bb_11
MIMAT0000062,22423.574168,41487.52352,12048.631585,19441.653916,14811.676446,22546.005125,18079.231442,26152.412841,25544.058405,19710.509102,23068.447166,14177.616556,17581.025846,22907.262272,28407.301026,27121.758759,20199.14943,22769.846903,40737.13505,22958.914233,36534.565466,32274.308311,20843.053479,24840.421223,42676.34202,30168.793549,22953.151074,20202.710494,20436.386149,37664.532649,28728.624365,27756.229626,18320.199026,21354.057201,25283.593813,36319.640835,18575.712192,40186.047851,25473.606376,26965.899199,33481.931734,52808.468082,15162.194028,41709.726911,24574.564415,24738.85536,25468.037794,21881.91322,18698.901671,45532.492025,13822.497547,33581.101831,32564.731486,15217.393187,37625.3028,39344.238796,23325.064337,23342.347793,47161.437328,21959.629298,23651.895387,13041.826649,32743.541917,38412.686838,38596.420709,25080.95616,29081.459144,23841.811136,20919.840981,32513.04768,26630.40843,29072.570283,23205.993355,19672.741218,30300.705889,22463.631185,18359.626785,20612.156825,17093.333074,18527.169076,26576.415151,25587.854367,24296.239327,15704.040025,28936.851298,14129.146268,39612.134201,17427.603526,22930.719691,28411.019563,22182.421115
MIMAT0000063,15389.180959,11344.135741,2251.651212,10551.830654,5447.751059,12543.561465,10321.992129,14017.542127,9144.032091,5062.244624,8917.67011,3983.00471,6600.080595,6300.439335,13818.916053,20259.181905,5337.636404,17394.66109,10424.198662,8211.117766,16585.113263,8337.308216,8156.356619,18699.215267,17490.629898,16132.894915,8870.284312,12314.188862,9001.0034,14794.579815,11580.878235,13048.890148,7354.334034,12338.488389,8648.863677,10841.267389,10452.993138,11231.245595,21667.677341,11057.742231,13998.432162,16949.700425,1439.4488,12753.512888,7196.204262,4860.499031,6581.257225,15137.329305,12063.273067,20439.655192,2261.376657,17748.988147,11846.880998,5670.2823,16520.955255,18105.398635,4344.456035,7157.338187,25419.965504,7231.722467,12975.190088,3683.399899,20086.068086,11837.268443,19296.511804,9825.75697,12712.973783,11261.955341,12862.982742,14287.644071,8413.177023,14196.228263,7275.600884,6852.427188,12112.763263,5900.492514,9619.192925,10234.353844,5972.721735,10157.554182,14148.293434,11773.566286,13583.474345,1899.803552,30504.030869,6043.894418,15879.153114,2435.879617,10481.419935,17491.702644,12617.135068
MIMAT0000064,2097.660944,1479.921032,779.142804,2035.056858,188.689325,2569.373299,808.533445,2602.442968,1211.167473,1022.896167,737.219273,727.827469,3186.345054,860.342053,1141.435393,2827.683048,895.530369,1510.154914,4452.401987,744.23926,2743.573675,290.402418,927.216177,3497.072138,946.06791,1383.122426,2339.998728,3099.655745,282.763018,2317.591978,1169.349739,2513.881203,209.158539,2835.05457,1352.774318,2527.993436,169.659631,890.310759,3324.814888,1476.621932,2729.099314,1083.585719,562.646495,904.535107,460.521024,1167.552815,516.755165,2606.328611,640.141224,4658.473639,909.690638,1513.714223,1564.054947,727.577279,3469.791009,1833.849227,1232.423095,842.95273,4860.582607,1177.927582,2280.147375,612.298553,478.891422,2069.205854,1987.019687,1479.794978,2609.451424,1755.12219,1064.684688,2841.471186,1442.391332,3317.062973,731.604956,171.739442,2461.05702,745.669583,1981.115555,1796.514929,669.173763,2278.642389,6383.133753,3414.044726,1248.624688,1056.954487,4730.015023,645.319121,2897.273329,628.115982,988.586297,1555.411134,2499.989609
MIMAT0000065,173.496965,138.073362,87.989698,172.467185,195.220877,179.466514,136.551488,165.296719,210.330948,168.751525,181.174511,225.600123,272.005065,206.911391,136.493164,145.385642,283.565935,117.155571,205.535723,106.943859,232.566134,200.377666,180.335294,191.279364,205.760983,195.513759,154.621447,144.857289,155.112033,96.530416,241.167965,180.506606,234.175035,172.071466,159.379332,174.385846,163.31901,236.738925,260.217988,149.375311,164.165229,185.869699,188.470449,183.21157,237.470235,159.502881,148.198552,195.511722,141.207623,200.988068,132.959688,105.476654,216.078396,137.157679,167.484042,184.7284,86.706197,188.279457,205.382567,163.203964,156.558025,58.148481,172.979755,180.631222,124.135652,155.386825,155.658651,177.609521,148.492942,178.090496,156.502667,169.907764,106.143799,160.227496,189.079027,167.252989,169.287625,264.020608,139.620842,162.605538,138.589215,203.092349,106.904178,211.659904,188.336488,136.979083,154.873646,188.658944,227.399447,191.581326,180.247755
MIMAT0000066,469.598456,1167.283487,1273.552986,984.727491,1442.892741,1519.505229,1127.525157,1273.058059,1171.359871,952.143964,1289.686544,812.034757,2069.746786,1436.399334,1908.305518,1801.2417,1388.048056,731.241936,2423.433391,844.168239,1772.834928,1734.718843,1281.190376,1354.968459,1926.609573,2123.431212,1080.525696,1144.873911,901.280307,1262.077791,724.430039,1358.322992,1569.720652,991.531318,1514.753639,1747.225912,1153.416499,2128.341433,1300.126177,1420.841221,2052.951158,1177.790486,2175.819888,1490.034343,1209.881554,1703.912242,1542.118455,814.556112,1198.946856,2203.524777,1760.122883,1246.747614,1818.028268,1479.430252,2191.785438,1901.247106,2080.095064,1022.282681,2019.940419,1699.227247,1568.735085,1261.706107,1160.37781,1007.381789,1471.509947,1616.060128,1505.040534,1355.689713,769.639889,2208.703682,1926.872257,1315.699127,886.884372,818.287925,1734.21135,1663.684793,1246.21123,1436.65546,1141.809178,1267.890218,1935.341886,2350.704856,916.436568,2070.011863,776.617994,548.326448,2125.177373,1554.350462,861.084083,1377.911852,1161.585101
MIMAT0000067,4582.467979,14128.004713,3968.896923,5309.555518,6938.251567,6172.610582,5600.283129,6146.162226,7939.922705,8600.005152,7541.357107,6065.564053,7115.512716,8547.512002,7271.085821,7418.310081,9774.778834,4670.904365,15411.312018,7009.587622,9962.921122,13095.842235,8257.425362,5531.714095,13681.753458,8416.252192,6328.228647,6354.19533,5429.350326,9038.378883,7975.954334,7897.487177,8706.643283,4077.431463,6813.531384,14883.531298,4534.696453,15090.79815,4136.116754,7871.974294,8498.798531,13624.595384,6452.923978,9817.230617,9259.08611,11589.371822,9798.75645,3839.740628,4888.043068,12097.624254,4362.394584,8417.353277,11716.336854,5097.722682,10455.388105,10345.014435,8347.087221,7072.374534,12210.527819,7841.176099,5177.65392,3723.490876,5363.269825,11961.460729,10206.300146,10396.065612,6560.629381,8347.647588,4664.425357,9172.094205,7667.739486,7094.614609,6977.122352,7597.884435,8036.47834,8072.90515,4734.225059,3559.640832,6366.112892,5580.304527,6471.462073,6644.816425,6401.164465,6763.946257,3755.241116,4592.285254,9478.386757,6766.692015,7044.053176,7603.158768,5576.668149
MIMAT0000068,96.993066,145.822377,42.207824,95.675227,69.379615,64.457838,64.838734,66.902986,75.803838,49.225467,121.379255,57.939644,221.222562,85.859492,57.851406,48.080292,100.71314,75.734459,123.412429,68.031118,94.279225,100.334035,97.019764,63.676387,194.134541,154.814442,51.996594,82.587123,97.615455,173.524919,181.894734,103.392804,68.215084,58.790116,48.619796,143.357191,126.428129,208.570378,133.578566,154.180391,67.811656,145.694136,57.600992,185.948221,66.014022,142.147645,149.168438,50.303774,139.324856,103.032035,53.311313,110.445576,130.389469,120.858286,111.595639,150.917504,89.145191,49.845345,80.612036,83.865394,59.54726,71.236032,103.765416,93.177493,146.641432,83.912599,52.736812,174.586382,106.177303,121.559335,149.729204,61.181277,76.418107,111.360459,56.324339,110.965927,83.716572,27.824186,112.105474,78.89736,120.893812,80.836099,169.113952,70.064196,78.65356,69.514836,63.982552,94.765314,54.663327,274.599904,69.294093
MIMAT0000069,456.544873,278.682767,151.982205,428.86001,265.471364,240.944279,151.228451,268.206108,221.906208,207.439431,441.564956,272.856751,590.886286,347.431434,140.899812,198.565357,372.11024,220.463254,284.132946,228.843977,296.007862,297.952876,347.90073,283.228566,619.716385,351.898591,233.376524,245.386664,384.8838,410.828867,728.875535,369.772879,277.631522,226.678886,269.098872,384.250189,328.175142,769.478463,493.257654,525.007209,219.674332,522.282314,200.221051,904.39107,264.281392,484.293721,696.378013,255.054963,540.354506,214.704073,137.84479,329.529848,432.00212,533.718511,260.601181,384.458988,271.094059,213.768553,267.436435,381.444591,244.498679,185.876347,580.413263,276.870261,256.76405,237.999893,265.725479,502.03032,543.309467,278.147181,361.667327,180.88902,264.27363,487.025798,216.346069,304.486216,297.511737,178.383948,361.787793,279.267791,299.483564,421.327549,494.65831,257.146606,245.387323,482.297611,190.034154,508.44519,252.271259,1063.194494,270.735241
MIMAT0000070,152.512094,172.873486,131.048483,157.08082,107.843208,193.704631,106.640209,144.263275,169.676376,105.074545,130.578527,97.026906,239.315112,152.250844,131.747541,149.236227,159.155584,123.160407,164.0191,118.326497,126.24101,153.913282,188.433251,182.272095,182.508097,152.458856,140.634062,126.123468,135.374402,197.657526,336.190364,179.932201,104.579269,191.009783,98.279588,163.080832,231.528715,236.123216,278.144116,159.194386,193.396088,187.716851,103.566585,280.290657,149.827047,196.279452,219.194193,189.694279,593.448571,270.216094,96.002843,98.474991,201.075099,174.958408,213.046221,128.97401,116.46191,123.593796,194.446505,192.747455,179.430484,116.296966,182.290597,130.049156,201.702739,124.38372,237.315648,185.356319,157.421928,190.922723,148.124962,200.920758,78.318381,156.233554,146.525917,139.645526,165.313736,137.575141,158.802987,256.897504,244.76164,250.079724,173.94578,109.192544,140.51591,147.232011,140.761609,204.224863,93.747607,388.56623,183.052763
MIMAT0000071,108.394295,199.361029,99.052232,189.671942,94.925244,198.229925,153.643648,167.079215,175.181682,76.623126,148.72153,106.830142,178.047156,153.24921,137.623075,239.985173,192.940122,136.15046,136.379265,117.532361,86.569853,127.48666,162.270618,202.53845,203.597923,155.992235,135.616846,148.419353,116.924011,228.685162,451.773168,202.190375,101.355494,208.205311,72.279697,206.015829,209.624754,198.103378,268.699167,134.124404,271.049786,237.589964,63.591496,203.952503,132.028043,216.114006,177.683082,196.310191,538.095182,362.124127,83.259101,112.026597,211.747549,128.140993,329.442645,220.778429,106.34009,78.053277,323.193781,205.374915,158.726966,119.278939,134.390237,140.698011,217.555867,109.903227,206.0138,213.131427,133.93481,226.818277,149.907452,207.316435,105.600866,129.215722,155.752644,153.315242,203.463058,83.781716,189.934658,240.300194,246.992153,211.777219,164.684779,67.374123,229.283477,101.093844,196.013828,110.829346,96.480774,294.413015,156.976574
