,02979422-5149-4750-ad5f-483e0bec6ac5_01,02ec7a3a-2812-4a65-93cd-07bf655cc91b_01,03f3dd32-e1d1-485b-a968-3f55798f4d46_01,03f3dd32-e1d1-485b-a968-3f55798f4d46_11,04e9a63a-d742-488c-8564-bf9d79aa2091_01,04e9a63a-d742-488c-8564-bf9d79aa2091_11,0697436f-e487-45db-b0bc-ad9246f70196_01,0697436f-e487-45db-b0bc-ad9246f70196_11,08a96dec-e658-493a-9308-83f7ace3b3b6_01,0b77657a-0297-4cee-b9f2-5de72e182016_01,0ec3caa1-7c51-417b-a89c-18e9fceb80c4_01,0f3c4f8f-0766-46b0-81b4-18ca4f6ea20a_01,11a33d4a-4839-468f-9d61-5630586ed978_01,151f07f5-1529-4fcd-912c-e55b2ff8abef_01,222a2e5b-9d55-4477-8a54-7776bd44f8a7_01,222a2e5b-9d55-4477-8a54-7776bd44f8a7_11,23656226-2d99-4548-959f-5c2eed803e33_01,2a05f855-83cc-4276-befd-5d6d4ec18f82_01,2ea84e23-6a0a-4c5d-9c70-d5355a85df35_01,2f1c4db6-88a7-4a5d-a5fe-94d85f569440_01,2fc175d1-9d95-44fd-a53e-820f6f404551_01,3129e869-bb2f-423a-bd20-d0daae33b11a_01,366219b9-fde3-4d2d-82d3-15fe6245aa98_01,366219b9-fde3-4d2d-82d3-15fe6245aa98_11,39034b58-1fe1-4cae-ad3e-3ee291f1b4d0_01,3ec3bcb3-492c-4942-be02-76a67f57e38f_01,3ec3bcb3-492c-4942-be02-76a67f57e38f_11,40f79cfe-a51f-497b-b06e-7a4f9004f092_01,452135f2-6de6-4593-a091-ddf6344ee431_01,452e96b0-dd23-4f5a-bc05-625763b0ee12_01,455fd7d4-5ff4-423f-83ce-4630aef89bb7_01,455fd7d4-5ff4-423f-83ce-4630aef89bb7_11,4a88bc85-4c6e-4fac-8dbb-d3fc5f36b35e_01,4a88bc85-4c6e-4fac-8dbb-d3fc5f36b35e_11,4e4faf51-2cbf-4910-a093-186660e4a19b_01,5f633c79-fcf8-47da-b349-ada3fb794819_01,6101ffe6-2ef6-4256-9d6b-a7c545836995_01,63643ba6-bed9-4c36-91dd-a18105fadc06_01,63643ba6-bed9-4c36-91dd-a18105fadc06_11,648fecca-4946-4880-8359-6801cbb4fc0d_01,648fecca-4946-4880-8359-6801cbb4fc0d_11,70e306ee-9584-49d6-81a1-a49d837ab6aa_01,739deed4-d1dc-458f-bd0f-1e24d2bfd305_01,83b3060c-2449-4581-88ef-817d126e4525_01,872092b3-d31e-44d7-bd03-e29f52f8ab5a_01,8ac7f218-bd7b-4dda-8879-2cec49748e42_01,8c9e1f60-1838-4aa4-a667-c1cef7dddbdf_01,8c9e1f60-1838-4aa4-a667-c1cef7dddbdf_11,955d428c-8fe8-456b-b86d-65ea6c2a1b18_01,955d428c-8fe8-456b-b86d-65ea6c2a1b18_11,9680b5ff-1882-434f-9981-e8ac33764b93_01,9aa02d46-294b-4e99-b9ee-56edcbfb5275_01,9aabcbd7-a26a-49b1-abf1-02c0dc3adcf2_01,9f8aa332-e625-46f7-b77b-1fcb3ca99ee2_01,9f8aa332-e625-46f7-b77b-1fcb3ca99ee2_11,a122d361-835e-4cf2-850f-af7864aa112c_01,a5af1391-89d3-4f41-930e-7e8272afec98_01,af1111af-9384-4e37-9b16-227d38007ebd_01,af1111af-9384-4e37-9b16-227d38007ebd_11,b08dfba8-6afb-4217-9259-72be6f1f3363_01,b08dfba8-6afb-4217-9259-72be6f1f3363_11,b4a0bf74-1381-4c17-b97d-206810d9e59a_01,b5f6a0e3-f9ac-475f-9a34-b8b8834f1779_01,baaf32ff-b31b-4c42-bbf6-8ff7ab569ab6_01,c689ae1d-4a6b-45db-b4d1-6b34c5c61522_01,cc316faf-dcb1-4dea-b8b0-a17d000ff40f_01,cc316faf-dcb1-4dea-b8b0-a17d000ff40f_11,d52c3cb6-921e-4f26-b49c-e6e4f11f9c06_01,d542c363-fd6c-447d-b71a-0e94fec125e4_01,d542c363-fd6c-447d-b71a-0e94fec125e4_11,dc04b82c-e1e8-4917-ba19-c2fea4a1b69a_01,dc04b82c-e1e8-4917-ba19-c2fea4a1b69a_11,dc8dbf62-b687-4362-8839-2fac69703f64_01,e0e38071-877f-4ebf-955f-483eb4865351_01,e0e38071-877f-4ebf-955f-483eb4865351_11,e1e15226-9f8e-4035-8f08-eb1fed57080e_01,e1e15226-9f8e-4035-8f08-eb1fed57080e_11,e562c60c-8e6e-481f-ad4f-28b067437ece_01,e8c2a8c6-5c2b-460b-b536-60bc537e6be3_01,e8c2a8c6-5c2b-460b-b536-60bc537e6be3_11,edcbbfd8-9fc9-4774-bfbd-d1a30dc2f46a_01,edcbbfd8-9fc9-4774-bfbd-d1a30dc2f46a_11,ee8c1919-17a9-4df1-8aa5-79546621b23c_01,f1c1502e-1bd6-425a-b651-454363809668_01,f1c1502e-1bd6-425a-b651-454363809668_11,f2b58595-dec0-4194-ab33-7c7dc6c058a6_01,f2b58595-dec0-4194-ab33-7c7dc6c058a6_11,f31ba8ec-a3dd-4dd8-8d15-f6c5975ebe44_01,f3ba1cf8-ac67-4da8-96f3-8680dc55f247_01,fb322d32-d753-41cc-a21e-e47bf063d5bb_01,fb322d32-d753-41cc-a21e-e47bf063d5bb_11
MIMAT0000062,135707.0,294465.0,70794.0,138992.0,102047.0,204271.0,97313.0,220077.0,180956.0,130935.0,90275.0,112805.0,85512.0,91779.0,251412.0,260611.0,126153.0,185804.0,358147.0,173463.0,227471.0,222273.0,133841.0,198563.0,315674.0,230532.0,150971.0,153134.0,95257.0,262203.0,155098.0,193287.0,142071.0,183792.0,97245.0,301994.0,96678.0,261073.0,132156.0,129075.0,340193.0,228713.0,131614.0,289582.0,109073.0,119737.0,131294.0,191833.0,49658.0,421597.0,65079.0,148681.0,210539.0,87760.0,415378.0,175712.0,191268.0,206050.0,569246.0,92169.0,119953.0,78724.0,291887.0,288577.0,272678.0,135100.0,170948.0,126183.0,107774.0,187494.0,149400.0,240920.0,170967.0,83736.0,220029.0,83809.0,69301.0,66672.0,108715.0,77023.0,178724.0,114904.0,120681.0,128431.0,294690.0,68903.0,331223.0,139950.0,167796.0,173508.0,213520.0
MIMAT0000063,93135.0,80517.0,13230.0,75437.0,37533.0,113647.0,55559.0,117960.0,64777.0,33628.0,34898.0,31691.0,32102.0,25243.0,122301.0,194669.0,33336.0,141942.0,91646.0,62038.0,103262.0,57419.0,52375.0,149473.0,129377.0,123278.0,58343.0,93340.0,41955.0,102993.0,62522.0,90869.0,57032.0,106196.0,33265.0,90144.0,54403.0,72965.0,112411.0,52929.0,142231.0,73409.0,12495.0,88545.0,31940.0,23525.0,33928.0,132705.0,32036.0,189256.0,10647.0,78584.0,76593.0,32701.0,182389.0,80859.0,35625.0,63180.0,306823.0,30353.0,65805.0,22234.0,179054.0,88928.0,136327.0,52927.0,74730.0,59604.0,66267.0,82393.0,47199.0,117642.0,53602.0,29167.0,87957.0,22014.0,36309.0,33104.0,37987.0,42228.0,95146.0,52870.0,67470.0,15537.0,310650.0,29474.0,132776.0,19561.0,76698.0,106823.0,121448.0
MIMAT0000064,12695.0,10504.0,4578.0,14549.0,1300.0,23279.0,4352.0,21900.0,8580.0,6795.0,2885.0,5791.0,15498.0,3447.0,10102.0,27171.0,5593.0,12323.0,39144.0,5623.0,17082.0,2000.0,5954.0,27954.0,6998.0,10569.0,15391.0,23495.0,1318.0,16134.0,6313.0,17506.0,1622.0,24401.0,5203.0,21020.0,883.0,5784.0,17249.0,7068.0,27729.0,4693.0,4884.0,6280.0,2044.0,5651.0,2664.0,22849.0,1700.0,43134.0,4283.0,6702.0,10112.0,4196.0,38306.0,8190.0,10106.0,7441.0,58668.0,4944.0,11564.0,3696.0,4269.0,15545.0,14038.0,7971.0,15339.0,9289.0,5485.0,16386.0,8092.0,27488.0,5390.0,731.0,17871.0,2782.0,7478.0,5811.0,4256.0,9473.0,42926.0,15331.0,6202.0,8644.0,48170.0,3147.0,24226.0,5044.0,7234.0,9499.0,24064.0
MIMAT0000065,1050.0,980.0,517.0,1233.0,1345.0,1626.0,735.0,1391.0,1490.0,1121.0,709.0,1795.0,1323.0,829.0,1208.0,1397.0,1771.0,956.0,1807.0,808.0,1448.0,1380.0,1158.0,1529.0,1522.0,1494.0,1017.0,1098.0,723.0,672.0,1302.0,1257.0,1816.0,1481.0,613.0,1450.0,850.0,1538.0,1350.0,715.0,1668.0,805.0,1636.0,1272.0,1054.0,772.0,764.0,1714.0,375.0,1861.0,626.0,467.0,1397.0,791.0,1849.0,825.0,711.0,1662.0,2479.0,685.0,794.0,351.0,1542.0,1357.0,877.0,837.0,915.0,940.0,765.0,1027.0,878.0,1408.0,782.0,682.0,1373.0,624.0,639.0,854.0,888.0,676.0,932.0,912.0,531.0,1731.0,1918.0,668.0,1295.0,1515.0,1664.0,1170.0,1735.0
MIMAT0000066,2842.0,8285.0,7483.0,7040.0,9941.0,13767.0,6069.0,10713.0,8298.0,6325.0,5047.0,6461.0,10067.0,5755.0,16889.0,17308.0,8669.0,5967.0,21306.0,6378.0,11038.0,11947.0,8227.0,10831.0,14251.0,16226.0,7107.0,8678.0,4201.0,8786.0,3911.0,9459.0,12173.0,8534.0,5826.0,14528.0,6003.0,13827.0,6745.0,6801.0,20859.0,5101.0,18887.0,10345.0,5370.0,8247.0,7950.0,7141.0,3184.0,20403.0,8287.0,5520.0,11754.0,8532.0,24197.0,8491.0,17057.0,9024.0,24381.0,7132.0,7956.0,7616.0,10344.0,7568.0,10396.0,8705.0,8847.0,7175.0,3965.0,12737.0,10810.0,10903.0,6534.0,3483.0,12593.0,6207.0,4704.0,4647.0,7262.0,5271.0,13015.0,10556.0,4552.0,16929.0,7909.0,2674.0,17770.0,12482.0,6301.0,8415.0,11181.0
MIMAT0000067,27733.0,100276.0,23320.0,37959.0,47802.0,55925.0,30144.0,51721.0,56247.0,57129.0,29512.0,48261.0,34609.0,34246.0,64351.0,71282.0,61048.0,38115.0,135491.0,52960.0,62031.0,90191.0,53024.0,44218.0,101203.0,64312.0,41623.0,48164.0,25307.0,62921.0,43060.0,54996.0,67519.0,35094.0,26206.0,123755.0,23601.0,98039.0,21458.0,37680.0,86352.0,59008.0,56014.0,68159.0,41096.0,56093.0,50515.0,33662.0,12981.0,112015.0,20539.0,37268.0,75749.0,29399.0,115426.0,46201.0,68447.0,62430.0,147383.0,32911.0,26259.0,22476.0,47810.0,89861.0,72106.0,55999.0,38565.0,44180.0,24030.0,52893.0,43017.0,58792.0,51403.0,32340.0,58357.0,30119.0,17870.0,11514.0,40489.0,23199.0,43520.0,29839.0,31795.0,55317.0,38243.0,22395.0,79255.0,54339.0,51545.0,46433.0,53679.0
MIMAT0000068,587.0,1035.0,248.0,684.0,478.0,584.0,349.0,563.0,537.0,327.0,475.0,461.0,1076.0,344.0,512.0,462.0,629.0,618.0,1085.0,514.0,587.0,691.0,623.0,509.0,1436.0,1183.0,342.0,626.0,455.0,1208.0,982.0,720.0,529.0,506.0,187.0,1192.0,658.0,1355.0,693.0,738.0,689.0,631.0,500.0,1291.0,293.0,688.0,769.0,441.0,370.0,954.0,251.0,489.0,843.0,697.0,1232.0,674.0,731.0,440.0,973.0,352.0,302.0,430.0,925.0,700.0,1036.0,452.0,310.0,924.0,547.0,701.0,840.0,507.0,563.0,474.0,409.0,414.0,316.0,90.0,713.0,328.0,813.0,363.0,840.0,573.0,801.0,339.0,535.0,761.0,400.0,1677.0,667.0
MIMAT0000069,2763.0,1978.0,893.0,3066.0,1829.0,2183.0,814.0,2257.0,1572.0,1378.0,1728.0,2171.0,2874.0,1392.0,1247.0,1908.0,2324.0,1799.0,2498.0,1729.0,1843.0,2052.0,2234.0,2264.0,4584.0,2689.0,1535.0,1860.0,1794.0,2860.0,3935.0,2575.0,2153.0,1951.0,1035.0,3195.0,1708.0,4999.0,2559.0,2513.0,2232.0,2262.0,1738.0,6279.0,1173.0,2344.0,3590.0,2236.0,1435.0,1988.0,649.0,1459.0,2793.0,3078.0,2877.0,1717.0,2223.0,1887.0,3228.0,1601.0,1240.0,1122.0,5174.0,2080.0,1814.0,1282.0,1562.0,2657.0,2799.0,1604.0,2029.0,1499.0,1947.0,2073.0,1571.0,1136.0,1123.0,577.0,2301.0,1161.0,2014.0,1892.0,2457.0,2103.0,2499.0,2352.0,1589.0,4083.0,1846.0,6493.0,2606.0
MIMAT0000070,923.0,1227.0,770.0,1123.0,743.0,1755.0,574.0,1214.0,1202.0,698.0,511.0,772.0,1164.0,610.0,1166.0,1434.0,994.0,1005.0,1442.0,894.0,786.0,1060.0,1210.0,1457.0,1350.0,1165.0,925.0,956.0,631.0,1376.0,1815.0,1253.0,811.0,1644.0,378.0,1356.0,1205.0,1534.0,1443.0,762.0,1965.0,813.0,899.0,1946.0,665.0,950.0,1130.0,1663.0,1576.0,2502.0,452.0,436.0,1300.0,1009.0,2352.0,576.0,955.0,1091.0,2347.0,809.0,910.0,702.0,1625.0,977.0,1425.0,670.0,1395.0,981.0,811.0,1101.0,831.0,1665.0,577.0,665.0,1064.0,521.0,624.0,445.0,1010.0,1068.0,1646.0,1123.0,864.0,893.0,1431.0,718.0,1177.0,1640.0,686.0,2373.0,1762.0
MIMAT0000071,656.0,1415.0,582.0,1356.0,654.0,1796.0,827.0,1406.0,1241.0,509.0,582.0,850.0,866.0,614.0,1218.0,2306.0,1205.0,1111.0,1199.0,888.0,539.0,878.0,1042.0,1619.0,1506.0,1192.0,892.0,1125.0,545.0,1592.0,2439.0,1408.0,786.0,1792.0,278.0,1713.0,1091.0,1287.0,1394.0,642.0,2754.0,1029.0,552.0,1416.0,586.0,1046.0,916.0,1721.0,1429.0,3353.0,392.0,496.0,1369.0,739.0,3637.0,986.0,872.0,689.0,3901.0,862.0,805.0,720.0,1198.0,1057.0,1537.0,592.0,1211.0,1128.0,690.0,1308.0,841.0,1718.0,778.0,550.0,1131.0,572.0,768.0,271.0,1208.0,999.0,1661.0,951.0,818.0,551.0,2335.0,493.0,1639.0,890.0,706.0,1798.0,1511.0
