,00397ce0-a931-46dd-9407-c1c6a14c39f1_01,04a1f2dc-1b1a-4328-b35d-cdc1b99e7b5b_01,0ab19ae8-c095-48d6-b1aa-0f5ae75c6e68_01,0ac27bc8-346e-4006-a701-d9676fb91cb7_01,0c5ae0f7-b2ac-4b1b-aabb-83994ebb9326_01,0c7b4b9c-d497-41fc-a2b9-014bb5e07985_01,0c8bd0eb-9c26-4fb0-a365-26354129f0da_01,10981cf9-c8e6-48c0-bc34-f06db6e1ac28_01,1c848577-c3a4-4830-abfa-549992172396_01,1f91f13c-bc22-4a5b-9c8f-54782d3909a0_01,24ea3cd5-c2e6-44f7-9658-78af7befeef7_01,28c6d24e-be1e-484d-948d-55ea51bd8ec0_01,2b3b0ca8-14c6-493e-921a-cd43ba7d080a_01,2b715eb2-055e-4bc5-bc98-128e8bf6954f_01,2b740646-7cd4-4c7f-890a-7b3db6ebc1b8_01,2d2d8421-18a7-4822-ba37-69fbf48da225_01,2dd1ecd8-a8d8-4a6a-8cf2-e847557ab04c_01,3210027d-a9c7-4ebb-8497-e3705bed7e40_01,340fef21-55d8-433f-b00a-51276b849356_01,36606c1f-9a12-465a-a2d9-2491fdc54a88_01,3d8b4046-822a-4a00-b79e-393bd3f5f5b5_01,4d9f1899-4a41-4e57-bdad-b12eb0d47629_01,500b86b2-3ac3-4745-af84-3dd28f38daeb_01,50921ca1-5d70-4162-8847-74e874114284_01,54d21956-25e4-42df-adbe-6907721fc4b5_01,554f4424-bb94-4958-a316-6d7d4eb4181b_01,5a197d56-e835-4f96-ad85-04ae9f6aff32_01,676ea428-80ef-4371-b90b-95e46708278c_01,6821f2b2-1b21-4046-b7d6-8979fe36add6_01,74f63637-cc7c-4539-a57e-783c8f62fb95_01,77c64e5d-da34-467a-a8d3-c79060700e4f_01,7a92421e-4860-41c7-afd2-fa715357f023_01,7d93f1b4-3460-4917-9f33-2a9c6df773f2_01,827d74a2-0331-434c-aef6-2d15b634ccb8_01,83b97927-a1be-441a-97a1-4363e1f2d530_01,880befcf-2bb1-4d37-b65b-5f2970bfb18b_01,894b5569-4e33-4e8d-a70c-63dd4c74c3cf_01,8ba34bcc-daad-4d69-9f02-e6a1c18de68b_01,92c1f122-2f48-47a7-b3b8-c1792a1f4f32_01,97408569-ef36-46d6-941a-aca9e0ab297e_01,98889636-e53c-44df-951e-01a70033e754_01,99826daa-eb83-40ba-950d-0bb7084d960d_01,9ad7575d-2ad4-4fda-8176-55145396f04a_01,a20fb646-2a9e-42ac-a2cc-ff3d6a0625fa_01,a3c28058-d305-4f85-b42b-a221e5234ec8_01,a48996be-7dae-451a-8129-9de8dfe7221a_01,a61ea4c7-2506-4d56-aeb5-edf83199d421_01,aaace369-0a47-4176-811b-61cd42bf647f_01,af5bde54-d20c-41a1-9537-69aed5562f08_01,b100c424-90c6-4e16-9d9e-40ad38606b5d_01,b106d71c-7809-4efa-a969-ee1f93a44720_01,b1f27fa2-133c-42c0-b69e-815af67e2a7e_01,bbabcd40-0a6c-430f-8325-ee1ed1d08afa_01,c328f661-c109-4e01-b819-299a75bd4348_01,c5ad9aef-27c6-4101-befb-6227cd1266ba_01,c5d4d4b4-2c9e-4865-8860-68327356d461_01,c61937ab-01ff-42e5-a534-3b33d6a9f582_01,c739fd61-22b2-412d-bcf3-89bda45a2c0f_01,c9c7366b-8826-4bd2-a3dc-5883e34c1502_01,c9ce1f62-2df1-4974-868b-d075781ce282_01,ca9031aa-87e5-4d5b-a526-3615efac3077_01,caa9b7d9-e900-4e18-a5f0-6dd4c202b40c_01,cb245767-f9d2-4cca-95f0-f3d247c05f01_01,cb94a8ae-2b0c-4d0b-ada3-4c82dd765567_01,ccf7073e-b224-497a-a476-c67aff5226bd_01,d3a6accc-5c45-4e70-baf5-2188af53e0db_01,d4d2b087-b7b4-4e53-a0b6-0190380c5a48_01,d4d3c554-bab2-47e7-a1c8-8890db28abf8_01,d940e476-fb0a-4cc3-8ab5-691156e7c09b_01,dc6720dd-5028-49d3-8508-a7936e7b3faa_01,de7c2f09-b840-4071-a1f1-558d1fb28576_01,e0df1fef-c650-4088-a974-26f712ed4f64_01,e23bc730-b369-4d6a-90ce-7223e234cd4d_01,e4469259-2504-4987-88a4-02cae33f46f2_01,e611ee05-92c8-41d6-a052-18dd749f8779_01,e656cf38-2f5d-4306-90d9-ecb504d86351_01,e6633347-a907-4a6c-9343-a207fdb05169_01,e90bfe17-2e5b-47ed-b986-b3d4181f2bf6_01,e93761b9-e0a2-48d5-8b21-a6670021cae4_01,e9c61bd8-8e3b-4e2d-b878-1ef285fc6292_01,eb5a5b41-b493-408c-902e-c625f5ba7d2f_01,ebe927e6-0a7e-4c97-ad73-f3c302cca7bc_01,ef8b1e2c-9623-44fe-b591-8c8e6a232da5_01,f15667dc-8376-40b6-84b2-8f5370c3d66a_01,f235c37f-ce8d-42ea-9b3f-065fc7e0c8b8_01,f544c652-8ee2-4bfe-a42c-41ab4b3697d1_01,f8970455-bfb2-4b1d-ab71-3c5d619898ad_01
MIMAT0000062,75130.044687,44929.193189,26618.08682,21011.96666,33402.179198,30385.01606,45939.040168,37176.581905,26903.465018,47139.913466,38283.650541,41261.031485,75165.013834,18818.618648,17505.404796,38234.009771,25968.061621,15396.908654,44053.694285,20998.710756,25486.255363,65281.98627,71225.364828,56159.368627,26771.75961,19568.28332,30546.451608,26725.358779,65517.68398,66086.894489,20762.596351,45180.450761,39736.583137,31685.74526,34297.117418,35292.632112,25291.800065,22179.193667,32181.896396,31668.742319,27767.384614,47472.001104,42500.241657,38220.172602,72135.655221,20513.478506,28544.369142,18086.94149,38144.4812,39467.935591,48601.39997,40367.126797,35064.476367,54277.958228,24826.867835,34280.083908,40041.882653,29573.094494,34486.411752,27766.409499,36360.296192,50265.947669,26333.39276,44975.300659,27562.385621,40279.493808,84639.108684,54193.895986,67353.354353,70501.157572,42257.977053,32284.082975,37758.281115,50103.553709,225460.611895,48815.676284,51246.597194,28900.504076,23496.85675,30152.245434,27983.950739,27435.145363,19911.895684,22532.562584,42671.321016,39212.513826,43146.838748
MIMAT0000063,18623.732282,12533.78667,6894.198344,6571.75136,9407.079923,10919.969565,18258.388626,12288.045844,10228.664432,11827.177483,18194.324992,11119.578314,16520.132364,6501.789196,4461.537554,15945.659035,9094.632346,4993.95626,7948.89702,7449.30916,9170.548696,12713.924618,13538.817227,14445.16238,5439.046587,5760.355446,15944.558941,3336.850192,20178.504599,13220.672687,7367.724183,23345.8018,15404.659423,6728.282677,8223.978565,19432.430214,14739.981812,8265.297018,9173.605307,9735.566074,5618.867265,6974.859155,9958.077,17487.160615,17992.582168,5680.532651,5602.248946,7388.245071,12380.038604,9546.3918,13184.630247,11737.192493,12581.240792,14788.222184,8476.393098,11174.350499,11383.407715,7436.605487,8622.086684,12134.421702,5787.760338,10032.451717,8760.697348,23012.836834,7701.731945,8966.984371,13309.188282,21227.708435,21940.38393,19424.506459,11475.768781,10695.092725,11199.83232,15887.246178,68450.202784,14465.938962,17124.345723,9551.688616,9976.635173,13128.284882,9315.088176,9852.206734,4868.242043,5617.389275,13420.630133,5203.335874,7872.949328
MIMAT0000064,3604.819881,4483.240851,814.866891,1124.616693,915.911585,1655.338574,1896.853891,1424.823406,786.482234,849.14203,32092.185295,3011.533367,6622.687279,1571.627914,422.296053,4348.966684,2248.618219,197.180867,4160.90353,2046.971346,2174.551533,977.444191,2617.876351,5771.865248,398.949901,296.190915,3753.460953,209.900432,2510.925239,4241.096919,9158.726478,7472.908436,2642.279635,870.718934,3370.483021,5976.571841,7208.107914,785.217337,3217.660483,1073.280566,689.077132,6489.959982,3311.628684,2395.523423,5697.679381,806.155732,2932.184221,501.020901,1290.660221,774.391005,6918.968959,6340.464172,1369.886913,3035.048798,1449.890996,1670.527962,4971.985827,1820.281403,1677.155132,894.651816,3504.188415,3608.295722,963.354246,7833.390189,2643.963885,1227.246298,3183.549732,3827.706247,5414.886046,345.25821,3396.508168,720.793543,2646.674725,5760.554259,1707.260172,8722.499276,2350.493846,621.246381,1196.118447,5290.94615,1144.313708,2650.827074,1416.818341,444.338701,775.12097,4228.634309,642.303945
MIMAT0000065,203.77908,210.180753,169.104251,90.757038,139.994478,111.426572,269.474924,155.925747,220.648703,208.599994,327.134433,252.946807,334.871066,120.881394,78.237063,267.928149,166.167865,111.14502,225.31969,144.138094,88.075909,210.446168,184.608103,214.650102,159.757666,132.096515,143.908653,137.229769,230.388593,164.397198,81.486005,234.039142,244.423142,200.069278,259.036653,264.364285,158.03606,152.078254,177.169272,213.901509,107.708168,139.39301,261.141791,103.070054,388.641767,88.126909,123.350351,157.820134,115.708814,154.878201,177.647927,220.570174,121.589703,146.058105,138.872341,138.63049,231.14139,103.824855,150.203827,170.826246,180.510488,229.47588,163.429439,190.410831,211.4022,295.523766,129.921418,223.37284,269.901783,238.38693,714.363278,274.996487,158.276474,176.819197,286.354383,265.042699,392.496587,225.648113,142.182857,170.057573,163.034767,132.611726,153.630905,214.81871,142.247016,111.75095,254.988021
MIMAT0000066,4531.066023,1470.919208,2323.667555,1800.585383,2588.754096,1276.190212,2667.840759,1626.696859,1482.419383,3215.609471,3712.381027,2398.4123,6507.591625,839.039121,1061.630923,3341.64794,1103.538128,1016.736925,3869.06089,1947.652833,1485.925789,5187.720303,5732.785926,2413.497689,1448.836764,1582.632056,2124.853819,1787.653877,2306.855202,3951.866996,1954.913081,1935.419725,3639.795213,2805.690245,1873.229014,1534.16412,1650.645066,1425.194743,2172.871348,2370.620787,2320.008442,5026.829432,3255.112923,1406.628258,3716.771394,1095.422035,1687.965945,1305.787533,2017.421016,5212.69169,2451.352705,1754.721138,2880.590011,2692.423511,1402.072685,2479.348331,1881.336005,1380.441559,1821.070234,1669.234747,2359.660521,3190.352155,1025.464762,2727.037059,1663.165828,1863.955247,6467.574842,3189.980155,4291.822657,7177.200161,7195.267103,1391.381307,3406.702462,3525.625819,4144.468343,2891.051172,4663.420161,1869.655777,1068.029522,2092.905725,3864.630175,1868.136406,1952.392745,825.671916,1995.216215,3146.657256,2562.569175
MIMAT0000067,30494.541276,16159.808431,15446.595234,8230.207797,9702.62382,11871.482943,18154.654428,9813.687997,8061.296387,20547.468106,13496.971928,18438.539198,29829.825081,10583.743384,5521.511692,12715.199205,9256.212754,5646.056281,20153.355683,6577.326301,10726.082865,24516.302332,33795.590053,16032.959023,11359.143232,8572.590299,7368.353897,12494.687209,24038.019651,31596.712907,7264.834023,11389.829307,13242.860394,17028.401122,10273.485425,11299.090358,7653.935958,7806.237734,15907.213475,15561.697523,10639.234312,7841.228879,15921.074379,7367.6913,33339.677616,7569.781782,11149.878774,6524.586004,10683.995197,21142.608149,20290.143008,13091.619611,13893.804302,15130.525759,8654.914787,12327.731763,16096.735315,11534.684105,6680.079391,9764.394135,18742.929529,24113.559113,7730.285734,10780.989193,10824.265799,19092.978006,36552.774164,18569.099204,25020.456961,30509.26178,18508.503154,8767.08983,11350.807029,16780.445175,31637.685004,19600.950489,16484.29593,8894.534399,9518.789797,10011.999834,10071.925654,9869.40873,7412.691137,8243.818034,15105.463915,9099.022868,14859.223999
MIMAT0000068,180.863174,320.692917,187.126318,195.64135,292.570157,341.895795,126.352931,300.735119,281.598146,241.032504,767.873732,251.572096,106.762937,504.917511,271.160457,71.22665,418.987687,278.231804,99.665217,156.132067,282.340107,210.059674,276.096617,140.22442,175.395791,210.301865,197.603755,257.014137,271.283581,150.169581,129.551482,358.663284,238.967268,204.063402,97.158525,276.660301,203.991285,179.877504,234.004545,586.850543,276.46919,428.348272,165.064998,259.278924,178.809247,212.326489,280.674318,181.609198,269.236227,152.566586,217.54458,310.432095,441.14097,359.676125,250.64764,321.964737,118.016635,192.719526,311.533863,392.836387,337.486065,213.327577,297.177747,688.887379,219.175582,282.131448,110.290725,166.551109,197.47469,253.789665,240.605217,305.77591,101.365667,104.822613,392.458908,359.155749,180.268075,570.240932,311.931774,420.593091,280.935617,276.952081,161.663892,256.222317,173.702814,301.483452,304.103859
MIMAT0000069,306.90066,380.217211,461.668078,273.34136,500.731881,478.488547,684.801691,526.768168,577.115035,705.7756,817.836083,558.590867,400.751611,1114.417804,474.392731,253.848462,700.351679,479.474449,340.721518,200.320388,473.408003,547.275987,493.029677,364.378785,288.416787,244.0891,386.69135,294.571754,693.460218,315.541272,219.110984,1101.414085,721.266502,420.472278,327.237507,514.06794,558.532711,291.520484,788.638434,585.109148,347.181154,391.143733,465.378055,441.362226,562.084117,565.290737,322.22666,452.862554,312.365522,275.082177,409.884181,561.08002,328.630442,550.774174,396.891969,311.460576,349.565681,255.01444,494.148825,725.958231,592.714183,426.867631,657.382091,839.315214,419.424668,592.960721,217.204126,560.929022,425.39832,549.048227,484.049434,655.450341,231.723633,241.919557,635.987971,716.276623,438.474758,1126.608381,571.63311,576.758635,489.411334,371.719426,321.696086,641.455872,172.032595,288.192683,532.850728
MIMAT0000070,289.898534,317.578275,295.258715,346.546331,1213.285475,197.521397,253.875799,410.564949,496.239813,351.966422,1073.000941,230.493197,177.070238,378.093914,395.419319,158.396471,470.978858,377.19149,226.511855,355.821192,320.695742,352.869334,288.403825,357.067816,452.439397,235.668606,200.63493,173.67622,362.386273,153.385412,369.691112,370.013388,498.121266,236.379493,165.201139,333.884053,315.448293,241.273708,291.231788,753.734352,495.530474,854.464271,440.433169,274.996039,130.507187,486.524458,359.597636,308.097392,483.756187,270.458947,255.14987,348.122119,251.902533,678.816298,212.791478,386.211114,141.049244,386.46872,405.622895,473.024487,356.451091,284.401354,321.179154,601.055877,266.998783,201.777558,219.63158,343.359824,202.500244,270.140259,688.989719,238.162095,365.088204,292.675769,226.910282,556.030078,199.051843,483.735689,307.579237,451.09168,387.169193,429.580672,467.545032,167.714608,239.815665,565.264522,249.895166
MIMAT0000071,371.952264,237.289687,327.597377,163.105809,725.592294,122.850693,154.43136,317.780232,286.286565,185.749818,579.920131,248.822674,120.824397,207.128233,192.187044,177.652514,251.290668,253.307256,158.796732,201.582911,177.927539,305.91027,262.751454,482.962732,224.620345,172.409636,282.621003,118.006491,356.44773,145.199659,246.335572,231.769123,282.432394,189.176215,218.052844,283.044767,182.989123,159.659867,282.216538,352.052278,308.726967,428.596303,419.385919,167.007702,141.240979,283.558601,160.459991,252.68628,282.593436,234.628916,309.468621,235.794714,160.220692,510.881651,89.659331,209.10608,175.292412,315.078406,242.115991,196.63146,206.101849,394.146071,222.974917,567.627471,329.18584,449.981805,203.27267,305.703619,257.781331,193.837484,437.205942,203.598316,391.503411,244.402198,209.013132,544.838255,277.551157,352.345649,204.154682,301.951988,295.980256,277.57761,222.6644,115.210033,135.566138,292.668147,197.671823
