,0011a67b-1ba9-4a32-a6b8-7850759a38cf_01,016c9c14-4c88-49f5-a11a-dd4bc282f11e_01,03a9dd9d-62ae-4acd-9272-389274858f3d_01,04178a4f-14b0-45ba-aa3e-f21638e23765_01,065b26fc-6827-44d5-83d8-1100c63fcda6_01,093ca3a7-f545-468a-85ed-a35c3da03628_01,09daff79-6493-45c1-8cba-9381259e2bea_01,0a2cb2f9-972c-450c-8b7a-115a4cb93658_01,0b6b1937-4024-4f2c-aeca-46387277755f_01,0cb21fb0-520f-4105-99ec-697a335115b5_01,0eda7373-8335-455f-b90a-8c3540f28088_01,10290e91-9784-4f94-8daa-b5d9a8b0efb9_01,107cb92b-6231-4e7a-af05-1f5de5981947_01,1118490d-75aa-43cc-b2a2-c2af61829ffc_01,12f1d449-4da3-460d-b4f3-9e1232440a8b_01,1388bba1-02ba-40df-93e5-c3d58b7bbae0_01,1543c1da-bde4-41c1-a510-56b62db8cca8_01,156cb6c6-b5d4-4ea9-9495-fc972cf9c84a_01,1586cb0a-081a-4364-9470-46f9d0f0167d_01,16a9e1c5-85c2-4930-a16c-af59114bac9a_01,17878cb0-a8f9-43a4-911c-0f94c2a5e3df_01,17a8d208-fcf6-4480-945c-848d4234aafd_01,17e286b7-7793-446d-b556-1108addb5ba2_01,182fe81e-9c96-4824-8a8a-28f7c498020f_01,19e46a3d-18c5-4927-8501-2265e2d617b8_01,1e89c189-7c8a-44c9-9b0f-2f625a285003_01,205f30ff-fb10-44a8-a1c6-c538de100db5_01,21e8c2b7-3a80-4b7e-acec-6ff863f15324_01,25b43e40-e1f9-42a0-8052-5138f381eed9_01,261925e3-96e4-440c-8e95-c003d44ab2f2_01,26964b56-583f-46cc-ab2e-a948bf3e5432_01,2a7903cc-345d-48f7-9fec-b4a5f09f8002_01,2b1783da-9ede-4590-b96a-6b0eabc8777f_01,2bd23664-453b-4fbf-823e-6dbcde0c4a2a_01,2cf90e4e-b952-4a77-aaa9-39e4e2e5c4b3_01,2cf90e4e-b952-4a77-aaa9-39e4e2e5c4b3_02,2faf928d-453a-4d07-b058-b5d4e1d13845_01,3124e819-292b-48e7-baac-8c5c4a86dc20_01,3165bf70-df19-4043-bcfc-9ae92197ef72_01,31bd8589-378c-40e5-8b7f-3b4c81f304be_01,335d0351-3740-4847-9ff4-be2f078c70f7_01,335d0351-3740-4847-9ff4-be2f078c70f7_11,33e91116-8844-4861-843d-784c70b4a6fc_01,3546a93b-b279-4615-9d5f-5baa787e487e_01,368fd5c9-cd4b-4326-a47b-4d72938cfb8f_01,375436b3-66ac-4d5e-b495-18a96d812a69_01,398da5c2-d9f2-4eb4-9813-21009d3ad048_01,3aecf83e-c614-4ffa-8c82-1b5dadf6509e_01,3b55aa84-9fdc-4125-8d39-d8949de2a1b3_01,3be106bc-ba42-4c70-9b50-697d89db617d_01,3e97286f-8aa8-4b6a-b339-d7a8e30f60c2_01,3f10de1e-c8ce-415e-b4e1-e50901686a2f_01,40974ab3-e532-4d6e-9c98-ee640f3976d6_01,468c2ecb-a21f-49a7-91f3-63d3ef266cf8_01,4d5437b3-b6a0-4d17-a7aa-4f2b790e4532_01,5555fbdd-962f-4d79-b36c-ae3c3cc4aff4_01,594a52b0-c929-4e50-ae27-7542e32667ae_01,5a7d19f9-6be2-45ac-9ffc-11e28594eeee_01,5af7b4eb-8314-41ce-ab2b-f98054a78a8b_01,5bc1db25-3e25-44d7-99cb-e31f00cf1d58_01,5d4b9087-fa7b-47b8-9b12-adc0dd1cf17c_01,5daa9f6b-eeba-466f-992b-2bd29fa60e93_01,5f10f8e4-a6f9-4643-b210-390bc8fd32bd_01,60778da8-d99e-4e51-96a2-3e900b3978d9_01,6221496d-40cc-4071-969f-6fbcba4f573c_01,634d542b-a72f-408b-9fef-65ef6c45f882_01,644571e9-b8e6-42f3-a2e4-33bad0fac661_01,652e503a-1be8-445b-96d6-ff114f911e76_01,6bc056f2-f06e-428f-aebc-85b780d880ed_01,6dafce6c-b2a9-4b23-b9f8-b71e01616389_01,71a32fca-d48f-4ea3-8df7-69f9dda8fa91_01,71a32fca-d48f-4ea3-8df7-69f9dda8fa91_11,72756208-a5ed-47d2-8c4c-19a8d39f7b9d_01,72802851-9340-4c5f-a90b-23b7afd7577a_01,72e640f2-869f-4aef-8ebe-b127f3e7048a_01,74543fa4-ce73-46e4-9c59-224e8242b4a2_01,769880ae-34d9-405e-8ea7-33ba47cf2dd2_01,78499f63-fe28-4b99-9f0e-6002203c4596_01,7a285463-76f4-447d-bb04-336bb5ec1009_01,811f3feb-a5a9-48b1-acda-fbb23fcbcf16_01,813bb368-9389-4528-9b18-387374bc912f_01,81dac02c-6e5f-4afe-9c90-12b5a4f26594_01,830fd359-abd4-4c99-89e4-2d6bb9ce5637_01,830fd359-abd4-4c99-89e4-2d6bb9ce5637_11,835cbd02-4dbb-4273-9704-4b5d272493d7_01,848a5838-8a06-45a9-a3d6-e4ed47b824ab_01,856a490c-c6da-48fe-88b5-9fde0f481365_01,85947797-54b8-44fb-910b-5cd689542994_01,866de12b-e4df-4f19-b62e-e3fd85d4ec08_01,89e4905e-31bb-4125-9262-93f600aed7e5_01,8ad1c98b-5395-477e-87a8-19dff3a59c26_01,8b4383b1-a684-41ea-bfb0-c84e6f5b287d_01,8c7ccdb0-7653-4a8d-86b6-de39afc40765_01,8e00e7e7-ffaf-44f0-91a7-172671f18e08_01,8feb0e8f-d09b-437d-8651-0cdecfe776bf_01,9084b672-8e65-4b7f-a256-32fd35aa8ab5_01,92c65e5a-3f07-49d9-ab69-46a0eb86ae88_01,99d2c035-06a2-4bc3-8ff9-db875d232c93_01,9af35239-ffb9-4d4f-889e-f743da271eef_01,9c7b5e85-5579-4d0f-a7ea-b9d081ac0037_01,9d7e0672-0a9e-4dbf-a583-80f4eb086ec6_01,9df9af6b-00b0-47af-aac7-b52dac399ba5_01,a2b6246d-2b80-49c5-968b-694b4e8171dc_01,a2e47568-eb43-4c89-ad7c-dfbaa2ba7e27_01,a424bfe7-5518-4c80-83c8-709a34320bc7_01,a46be4e1-260c-4ce9-8b0f-1326d90c697f_01,a744d4a3-f99a-46ce-9b3f-8ee8835e67ec_01,a83923fd-276c-4526-9922-5ef741f551fd_01,a8a5553c-bfe1-4d5f-aacc-5549ded3f91f_01,a8b974f4-aabf-484d-bfa2-a286b39681e0_01,a91f7a8c-e0fe-403a-9ef0-f7679b2761cc_01,acccb105-6439-4b30-a0b9-bb94c7873d4a_01,add567b7-29ef-4122-8a54-57d36f735e78_01,b1a787b6-8e94-4b1b-b063-3338c80eef78_01,b26143d3-d458-4d5c-8446-fd2f05707352_01,b2b125c7-8993-4424-b390-048ccccc9d08_01,b2c48624-a483-4b1d-9155-c0c80ed2f7a0_01,b2db7f47-540f-4bd3-81bb-d686b0225201_01,b6ba7313-8e91-4c39-8629-db3e96f4c556_01,b6e6e715-ccc5-474f-860a-a10bf1962936_01,ba902e78-752f-4248-9a59-ea08475c961b_01,bcb21cdd-2f57-4df0-bbbe-a74fa5a654d6_01,bcfe4fe9-d090-49f9-85a7-2b472e0f7453_01,bd0ddc1e-ba3b-4719-a2fa-776f0475dd8a_01,bd6877a8-06b4-4b95-bed2-15c524068f21_01,bd818ae4-b31a-4616-9303-b8aee56a848f_01,bf65c2cd-8348-488f-8485-9196ba42d17e_01,c2395f04-e248-4091-855d-802b1b871f29_01,c2ea7b58-cabd-407e-98ce-6cbf9e4d93e1_01,c3760fb2-3b8a-4251-a189-21d56fba5017_01,c3f0608b-d493-4c74-930a-d7998a48a659_01,c69dec57-7a84-481b-bcfe-61a771d0a9d1_01,c7162d11-4bdc-41cd-a964-46fc416829db_01,c8fd1040-82a2-4cda-ac49-c2f82b20cbab_01,c9632a8b-dcfe-4480-a8ad-482f55b8cfa2_01,ca8374a4-ce94-4091-aa9e-44339a7c4b22_01,cb005c69-7301-41ce-b534-c9751f1436c5_01,cbcb2141-b415-4410-8dd7-2a3cd3980a19_01,cc2a014b-fb3c-4839-a5fb-6c40e745df1b_01,cd05d121-f107-4c8e-95a8-153a84f5134a_01,ce2e0f1c-60ff-4f93-8bba-4f4d3ccac37c_01,d004a083-6dc6-4db6-96d0-88a8ca3b1b93_01,d7cb062c-898d-4452-8e87-57262162bafa_01,d846228f-67af-4b3b-9796-dbc263c2054c_01,d8bfcc67-f5c3-42cd-9fc4-bd483f896da1_01,d9121e5a-88f2-47a6-a0b1-25735c209e54_01,db1e3104-8bfd-4353-854a-c478ba1f7d07_01,ded3feb2-1079-4520-a7ca-f5b5fc73d7c5_01,e2d395f8-bf13-4fe4-8031-683b0eedd875_01,e3a80e41-2e46-4b04-86c6-fd444d616ab5_01,e5d7bbd4-4f38-4a5a-9966-f44f8a15a10e_01,e5e4aa9f-6015-4d62-a088-69920d7f2500_01,e6827400-0d95-46b0-8874-6ce9e9d5011b_01,e7503a51-6647-4cc2-80dd-645d0df4db43_01,eb75ca70-e60f-453f-820c-485390abad88_01,f1ce4b5f-55d0-4989-a5f3-6b6e591538b2_01,f2a8deb2-0e2c-4bbd-8fa1-99b7abb2f3aa_01,f49a8e1e-d247-4c76-ac3b-ad8e5d6b8d18_01,f9204a59-6877-4d06-a20e-fd7ab0859ed5_01,fb632146-92c7-40d9-acc3-6dc4a2d499be_01,fbcd7e69-533f-4b6c-9868-162139135b58_01,fd798ddf-7273-49b8-b13c-d9909c8c87ff_01,fdeeff8e-1328-42a4-aca0-a03b97421f1e_01,ff004403-8cc5-43e6-bd1c-dde4eb1e6193_01,ff427104-0727-483c-8513-243dec80db9d_01
MIMAT0000062,16836.616182,32261.118851,10387.891665,12870.691717,9947.903329,31027.57072,10402.05954,30661.829811,25963.627295,29867.864344,9380.843908,15106.054332,30343.136349,10610.416273,38792.122219,8998.798779,11938.564082,35390.150146,10460.009861,20912.481982,8084.705236,15414.438597,30435.264202,28478.462395,10648.038407,23300.910997,26800.89004,10194.600291,26642.161805,27860.347058,32660.547551,8734.489263,17360.805359,18664.522961,51073.7709,46445.151935,35946.978922,13840.866383,37505.85404,12197.73774,10616.718667,44326.476436,20891.78971,32698.603265,60093.738229,34561.640848,25023.964704,29654.40666,34232.23151,16105.411383,26278.270514,26952.177126,29965.121714,27835.585103,15433.651346,29759.132376,10708.60295,14013.171299,8272.759046,27391.161831,20446.587509,14892.355433,46186.565993,8543.237804,25518.177645,16701.437874,35851.58289,62623.869071,10840.634275,42123.159192,8757.615853,29971.552845,46600.258787,12392.308263,18543.436517,12216.851065,10589.182444,23624.750761,18056.145937,20946.849144,16734.429028,12148.975757,12882.836213,41006.27944,33203.985081,10546.677769,12534.789968,31352.761269,10530.647631,33091.029254,13074.201391,48092.807328,9323.924718,8593.956154,35273.154113,39221.482157,11437.529676,41568.56589,10411.743266,11178.337658,18916.536499,51930.630311,58017.415976,39826.960551,11122.465943,22540.747869,12450.6904,30040.352514,50890.129745,8030.155078,13148.040591,27737.253131,11826.894856,25884.66363,41000.577599,23121.307996,10844.259786,45091.725392,10781.724799,11080.945394,11717.923205,23629.521296,15264.054691,36136.391389,37209.913382,18166.996758,32863.124695,21428.870677,17201.435791,10596.193972,64716.608103,13130.043365,27728.989921,20384.367203,10868.250484,13434.177368,16498.157858,11672.001522,47711.866352,23478.801614,43310.213711,32656.284794,40138.735278,9452.073168,40042.085529,41119.90873,9757.438327,10390.132131,11349.493528,30227.548855,24134.18025,11325.861904,15839.684782,8932.689996,20579.078402,32043.544922,12542.163766,19143.97791,51896.084086,17211.279408,15589.45758,40185.972515,11367.912268,13431.470148,23962.594693
MIMAT0000063,8529.128081,14910.309182,10632.240488,7953.689934,6742.175326,5018.283852,10652.911254,7461.353434,12538.298136,15331.709644,8930.474443,10391.596828,7219.968615,10069.595936,8505.299508,6296.451797,8347.591032,6546.834351,8961.539016,4258.119072,7409.210948,17339.942989,7360.951526,13096.621482,4456.560389,9730.343377,6762.838043,5522.466226,7588.703279,13441.308264,7254.583653,6695.107199,5499.055998,7564.477363,16099.778612,14949.274651,9146.802318,9938.063941,16718.997068,6599.830112,6142.106434,82115.495651,9725.783554,7541.650943,23614.642782,6639.483067,5823.638334,9616.005933,5887.826123,12450.206541,6334.978553,22159.563233,4990.416008,9056.384393,10893.401602,6369.258987,6044.012541,13007.219318,8282.438983,6938.779898,7570.461883,16501.985607,9385.792812,8351.732678,5897.32733,7906.826673,4529.189902,15846.542798,7087.321404,5660.538476,9099.319895,128464.783979,8370.712041,8747.882985,15326.92721,7024.884867,4060.684408,12210.139962,9222.068782,7671.889521,3226.603,17457.526112,19002.538247,106883.830457,7998.421302,9531.30052,11645.969914,4892.10282,7523.704479,5818.265051,11576.630859,8676.984674,5318.501598,5108.899485,20269.923277,7833.305226,10387.144295,8287.272829,5809.369214,9414.72763,30627.159181,8744.928465,8529.472752,11391.893897,6851.771402,5546.75435,6416.962443,13665.623197,9616.42475,7594.628363,4713.121088,9692.841856,6188.079584,4490.442196,10368.944047,15254.2661,5895.852486,18459.364585,10030.94389,14416.78887,12642.140277,6082.117172,11491.268754,9881.606019,9143.236776,8521.23319,9133.49598,5233.593149,5215.375671,6705.691268,16686.01354,14453.76204,5986.546457,11605.112684,5894.825219,8792.399922,21919.581277,17598.828398,11866.472278,12746.391773,10825.048241,5568.214467,9049.963448,6208.036072,8410.70077,9926.868629,12160.224142,9247.327732,6561.278625,16924.774884,5745.271262,7206.608262,15748.468359,3221.246831,12073.387657,10719.890859,9623.637494,8533.458111,14397.460451,31076.292949,4813.942563,5945.398825,8905.272496,16492.272956,5019.537706
MIMAT0000064,855.193201,1723.875386,1297.276013,123.487394,422.133785,107.603954,705.096697,426.116809,1423.913146,615.688323,518.944245,117.959273,1130.139566,109.076202,316.53908,84.968988,408.33329,245.42973,1289.052167,621.800376,108.628471,265.287863,739.694823,190.736276,151.120068,220.602663,531.901864,143.599138,114.694687,1173.952601,794.679818,145.491412,911.56768,83.17812,3610.417869,3820.937173,213.879927,355.626163,265.225479,103.549059,147.43089,3871.974076,477.455249,936.930247,4845.823595,1065.560109,345.573447,127.914507,209.740604,288.075161,1241.838166,1049.240114,1069.063178,796.409773,327.158725,511.43034,191.707432,667.617172,99.308958,198.879723,479.335777,321.518311,426.626945,322.463348,223.38086,619.045249,440.113194,528.900632,201.992347,560.61081,398.803413,4793.949045,1162.606439,535.960363,1326.661932,118.505078,329.290509,849.446358,518.008877,693.455507,379.054645,409.474957,635.744077,4117.739405,160.239786,557.359883,861.851089,1432.270182,310.648426,225.178726,67.880925,2316.968627,125.436357,194.395231,481.663218,704.426068,182.950008,1561.208196,219.402392,1001.37463,1649.566058,368.121115,133.58135,399.368914,198.264025,451.731878,136.790344,312.170493,321.807261,117.596413,188.720071,618.815915,574.993593,662.143947,462.119734,381.110633,344.525521,1466.479848,420.27206,282.941179,530.586797,64.435078,242.478628,221.311251,306.185887,824.031341,586.495068,532.536391,226.08695,186.543235,295.061866,464.703117,773.664832,894.861875,450.383148,141.539734,158.952729,227.911486,1699.524876,1501.749088,1639.22676,132.13397,1239.671725,613.566668,782.417052,958.039825,272.640825,69.75355,389.051763,97.562315,2173.076949,180.967368,193.71735,27.866483,225.002946,1286.808888,1254.83275,648.703055,2678.419614,138.631014,518.903342,145.612086,739.301795,664.125888,152.021496
MIMAT0000065,156.202552,295.633287,259.196976,328.687637,514.505465,205.211913,146.141835,327.170853,202.727922,183.124225,223.331362,429.349383,324.132776,245.136417,206.769515,367.365913,204.166645,316.448313,193.845927,213.774668,168.561423,188.99593,158.406846,301.923772,320.018965,191.730902,364.046602,329.433316,274.756623,169.08703,394.835668,150.853504,111.242914,245.300748,280.056404,336.403703,208.242235,183.004705,149.917395,378.352331,423.651983,233.542171,293.322719,149.840119,175.65077,267.809121,235.94112,202.421411,308.386588,277.356083,205.225977,346.893958,181.813467,228.524702,194.942323,186.787458,338.973597,335.505918,88.553476,262.552679,253.299792,281.328521,153.033287,280.964898,278.076497,167.718881,226.511133,247.855255,160.572566,216.729849,233.750547,133.280946,319.913664,329.781304,246.768173,600.345531,287.578114,253.951992,164.123892,368.247338,228.012603,244.953765,171.503055,175.824176,286.301954,273.470972,225.768771,182.85998,225.804661,458.128328,284.094242,258.257842,337.343738,258.658117,269.471804,162.108824,168.75561,228.228863,307.952967,278.940025,179.864277,198.230975,177.906071,240.456266,347.690955,305.360652,183.863944,149.097402,298.497734,118.856373,113.882801,260.848258,334.853596,298.288341,324.49713,229.918857,177.366842,140.246161,271.167493,258.720531,203.998174,191.919535,416.397809,274.419248,258.553512,230.183962,230.896536,536.393419,269.233317,297.751702,245.767101,205.565721,204.906631,238.779113,150.839223,183.880679,497.294966,146.675707,221.480189,220.012246,362.277743,230.123234,305.50981,197.049296,273.488099,192.935603,220.550911,377.613204,381.111931,167.685228,288.689778,147.597498,409.063337,105.536894,261.215867,214.181915,167.961649,206.022974,178.121869,196.951648,158.012489,253.09238,305.917985,348.30211,287.308843
MIMAT0000066,585.151166,576.71183,283.728694,101.911531,509.719367,525.083777,405.656594,590.765567,589.491177,935.632182,178.850425,419.286508,1893.912407,530.558819,843.531221,254.490446,343.972524,1017.592777,373.746103,762.406254,322.139607,160.386455,554.370561,747.577718,279.27581,760.756832,913.23828,390.439487,631.409965,1136.774701,809.287904,225.922782,635.355316,514.259944,2131.315851,2166.362672,825.217113,229.729309,3462.619077,533.106967,371.119136,1478.813157,665.012563,1741.292229,1771.83429,1267.72689,1048.455636,1008.480602,3499.574767,856.186179,1027.771685,1469.734926,2152.509822,785.538901,691.830011,1100.306194,124.609831,333.808586,149.85973,797.091062,567.784641,622.941728,1206.474625,234.364184,344.38891,543.870508,584.178405,2628.175762,246.816491,1309.744635,210.553928,1368.906387,1674.794184,560.154845,1253.816717,422.287136,329.629632,968.705579,675.494564,656.714751,701.50476,283.951383,193.384478,1698.587126,1067.921746,295.423064,255.434633,978.493099,453.613508,1304.623724,201.128667,2245.159099,152.124945,140.976706,1884.327461,1166.838607,283.88794,1606.371642,269.035836,658.887114,682.187928,717.34834,361.428628,2067.255952,390.696754,807.355068,186.079173,456.983891,2905.543911,258.712108,252.16906,1022.199118,448.957386,605.245723,1581.599482,653.0769,179.918882,2668.086949,236.614295,299.455255,242.30769,593.634147,230.379904,623.558271,1005.883688,484.884559,608.193472,973.701028,613.933546,141.701112,871.050899,203.696941,854.204519,679.492476,335.119213,147.58844,458.69216,264.016273,1663.450449,487.136982,1102.560231,916.452135,2610.687482,412.190942,1268.55533,1432.991176,162.919517,180.93966,352.330042,774.781972,1291.675799,159.148607,218.167111,165.420187,970.989106,1741.751235,556.790298,475.839009,1873.800129,126.202026,408.022685,641.193705,390.555292,477.095495,446.401108
MIMAT0000067,8404.742897,16174.693138,2072.930221,2834.701341,2523.230521,21836.252654,1881.011165,23329.867242,11687.688767,9024.976326,2028.515986,3183.782225,22616.190825,2349.509038,26841.72824,2323.318656,2389.214568,28301.853771,2207.379811,20859.553271,1611.946633,2130.972445,20125.253566,14114.484249,2704.604721,9170.287315,15882.253493,2736.830644,19523.038998,10542.783848,38198.681226,1585.034194,6168.519862,8991.455316,18392.776513,21596.946334,31420.264895,2423.189943,12128.621022,2788.997176,2080.978538,295.590276,7698.109681,13868.303835,23717.088927,27546.642812,22698.52407,13993.780985,30652.495097,2867.352773,15795.832866,5810.4738,18149.670623,7882.566187,6388.819534,17945.248563,2675.190092,3045.579018,2039.956617,19896.095172,13142.106255,2289.361817,27972.99199,2276.632049,20800.43679,9329.03276,23921.021286,35101.363029,2032.973543,31802.102622,1404.287634,285.998697,40276.26093,3104.783147,5132.192097,3355.438245,2457.979003,8765.853461,8692.385819,9527.192671,16954.904023,1993.753065,1825.620431,386.185242,24840.94527,2676.666897,2845.611148,19345.874823,2248.693769,31506.124245,2550.143889,27986.053913,2535.949525,2107.421036,11619.172848,30805.275001,2466.670769,24012.921127,2763.680495,2192.053883,2795.188066,33379.77307,33948.94096,31197.808953,2506.727857,19205.124335,3753.150469,12022.812816,40722.423353,1614.430759,967.461512,16051.716892,3123.684401,20965.653246,21279.187954,5762.285375,2774.706465,12558.136159,1857.234441,2481.51524,2051.474583,16386.46414,3173.899021,27105.015955,21461.809573,7530.012019,21930.575833,25367.964155,17436.779593,2440.3084,36377.241018,2302.959019,20010.982425,6224.541936,1600.887961,2609.412029,2512.588491,1607.791415,28668.932586,10324.255558,30816.711539,27870.772169,18531.20311,1812.774853,28361.582153,23238.782758,1899.619409,2355.362348,2400.806679,8914.375352,17305.817198,2358.993053,2352.819471,1487.595861,9431.775827,16137.572994,2619.071706,13584.555679,33326.467126,1924.580906,9130.886007,29366.158021,2404.515352,2458.273738,31525.251707
MIMAT0000068,101.671365,77.468756,102.968663,123.487397,77.534778,174.341926,129.945704,181.774022,37.577893,110.293372,36.140759,50.873432,128.56758,128.459083,223.959379,243.244551,189.506693,156.474212,85.301505,109.887522,92.396631,123.974396,119.953396,87.684449,200.011854,109.880868,233.17233,152.984701,288.307878,74.645502,207.643493,83.648627,98.089946,160.628409,118.663075,161.019234,114.867968,81.76806,78.841693,244.079924,73.715446,3.447116,118.255794,75.507845,106.882787,75.830735,182.977897,412.425382,190.124577,105.850872,87.520985,47.926139,105.290199,134.704323,89.784162,145.467078,42.698472,122.773666,38.361222,305.525373,49.772299,93.484943,120.187118,117.352167,137.828169,99.63085,211.536613,217.207925,74.328644,71.949463,74.050747,1.388343,119.220798,146.218823,96.416705,237.01016,137.006554,61.132879,145.811602,84.398762,178.29339,185.238669,116.503801,10.989011,186.860544,190.127435,124.442514,171.326964,298.623326,321.078373,175.987583,78.392069,218.312641,120.492911,113.714281,142.103906,133.269618,168.814816,195.149681,117.061159,51.852764,101.12877,100.034215,123.289498,226.691587,225.865937,168.911153,81.396088,219.516908,134.3959,117.136596,299.975498,264.004841,301.829216,142.335707,190.555317,174.17679,57.748419,73.988913,82.570381,92.900576,90.76339,161.316342,165.187654,186.637966,235.802355,216.728756,299.252465,174.938898,108.517938,160.958897,100.291152,126.359089,193.791744,61.189498,82.26241,145.328209,116.212291,116.612675,60.199291,175.502204,234.366067,101.656678,125.466518,94.7414,156.318524,123.020859,183.037512,148.375606,110.900914,119.088992,236.797726,46.078394,180.835688,183.478796,107.704309,111.460787,183.804808,60.97191,102.300127,117.678518,169.123401,125.426378,103.034706,241.82024
MIMAT0000069,325.654831,286.556142,1039.692972,881.397019,523.120441,839.957643,1098.70035,986.661326,106.567051,325.062957,380.868006,638.433592,381.29277,1328.297327,719.027478,1733.950444,935.018872,585.356466,645.920658,552.751254,631.793179,1069.820993,488.679249,224.182921,1122.288732,368.605462,1248.828734,1013.640975,1077.815828,243.635968,878.571968,619.142813,335.512197,577.515162,537.881528,649.865918,725.148086,969.535561,206.136419,1385.964326,783.75617,18.097363,292.113974,168.197116,455.764344,200.274642,796.301284,857.48874,634.125819,1196.516832,345.916276,389.114602,469.725191,498.642324,497.502646,459.236178,462.712028,1309.774369,373.21526,1245.422035,143.293498,919.99669,480.997305,970.4514,814.384174,378.930723,741.496929,799.507178,1014.50089,485.24568,612.033873,18.048461,584.969464,1249.697572,392.192262,1785.997875,1062.479053,205.646996,621.931119,180.554565,748.324896,1607.432942,973.427677,21.978022,856.844903,1770.678031,752.819415,590.577525,1748.315984,1452.623547,1014.023693,227.225871,1790.270407,973.984373,424.664989,565.88626,1480.160177,472.681486,1437.113858,1092.347873,552.556021,535.378501,478.312311,468.110463,1819.363981,993.263337,908.797389,294.332184,915.181832,790.41589,764.641666,1154.253546,1640.335163,878.625824,588.902202,859.139069,987.001814,158.505662,1030.962288,1219.83979,1115.764653,376.079146,1364.635431,722.570345,728.806469,700.937399,969.790976,1785.273715,1174.522498,1421.495333,647.369272,1037.172508,601.770934,383.919358,561.378048,1162.56141,1581.579649,1617.945885,383.731205,232.791123,815.716423,896.248169,418.68158,889.278358,403.639801,456.321608,1158.169358,2060.614267,1349.275182,449.701292,597.346573,1458.648316,363.925311,1740.76582,648.452697,439.404137,997.497009,606.623198,196.698078,1323.20913,413.007785,687.887039,1053.377592,1102.023394,1692.977378
MIMAT0000070,751.989553,598.622186,1534.200766,1943.664045,2125.984442,1112.201524,933.349149,1234.138148,780.271257,657.339196,1027.694938,1472.534218,1611.504729,1397.467604,2548.029092,1858.071804,3034.610001,2127.349303,347.481606,1209.837432,696.720541,777.657562,1386.674105,2619.233896,1370.451584,644.709178,2728.308371,3102.867664,2256.775087,436.285093,2126.728477,1379.48736,685.292017,1572.913217,1518.512019,1034.511073,840.720764,773.551799,958.255773,2550.606758,1496.338802,61.186324,1388.649381,397.252638,727.60962,995.260213,1220.315888,1999.488345,2148.332252,904.422018,626.539117,435.329095,1099.123007,867.070465,440.926326,969.820779,1167.672547,1257.722856,2942.341648,2835.935761,1458.296677,385.006529,892.818598,2914.075423,2006.918512,815.249939,1365.091022,2010.277424,1976.801515,443.596527,1971.712617,62.475444,1057.10011,1207.62021,777.725925,2432.061102,909.872745,626.96277,1673.056512,2537.631453,1594.203812,1347.855066,840.956351,50.235479,1323.99626,1865.555714,822.168185,939.977173,3507.320948,3504.134194,1873.010709,417.093678,3293.371623,1409.767073,937.366848,914.36274,1628.412768,748.046953,1363.791724,1260.247029,523.388838,821.109866,1049.220781,1903.89041,2176.530789,743.002201,3186.052036,189.971021,2089.484142,2746.716221,3701.733348,2891.22348,1604.537899,1112.323691,1691.532606,796.813462,2108.623793,218.014032,756.039012,1377.273987,1191.425948,936.59505,1873.28602,1392.36776,1910.587492,2610.510858,1633.123913,6127.62652,1203.077547,825.991927,1224.771771,855.277989,434.715113,2511.964404,2071.904774,368.971099,731.182555,301.24934,837.597804,683.592979,1723.150494,1118.491845,1176.338716,1358.106223,1482.900685,1163.395256,1845.312903,1052.072339,1085.275777,768.684328,484.913253,1690.953946,2481.650916,1618.627619,876.352675,844.624225,1228.123249,841.092155,924.166374,680.726084,862.724011,1127.950349,560.849638,1385.368844,1931.733623
MIMAT0000071,625.89182,244.300454,239.507041,459.520007,190.965285,311.639867,189.457071,298.29296,232.597531,657.106509,133.442805,187.840356,425.053242,255.397939,584.700967,287.811616,484.493526,405.112172,96.922963,288.018151,136.09774,240.146206,395.32282,802.719485,388.171152,587.526278,512.090621,363.22135,453.279689,325.234217,464.745788,228.782563,559.112677,593.951556,353.679481,359.774006,222.336463,203.771196,666.355801,371.524919,183.017656,57.739208,1198.47311,359.453503,278.500247,224.290139,431.58078,1237.605812,476.820364,121.929486,149.404512,114.680403,275.629214,559.377428,316.089445,256.25886,136.809394,226.310905,178.541017,493.399893,273.589137,211.724467,329.083777,436.414,434.176883,505.79679,378.493906,765.647904,239.440367,128.914044,80.295991,48.592011,357.255026,252.990123,597.410702,609.970309,199.744706,305.463957,1143.144643,474.900499,425.222485,461.877999,173.868614,47.095761,354.14195,488.154986,275.468722,311.75414,596.57859,582.462305,352.813203,183.969175,587.148912,296.412564,797.128642,352.960344,391.923074,233.052142,278.0601,261.882542,126.391113,203.961091,265.341134,375.156305,264.595003,260.566012,564.329397,172.132706,499.910156,365.388855,688.719799,572.468769,244.241766,294.869563,501.238487,602.381435,212.457404,280.272326,194.92511,416.154729,285.405896,340.328071,475.883209,453.009555,405.342173,1000.755417,398.612425,805.587641,300.455595,236.766414,529.874574,322.675891,172.889971,794.098309,471.016814,124.603355,225.939951,141.034336,238.930143,287.909657,501.593924,350.336862,230.30186,326.448931,300.610884,312.208777,215.009431,214.505279,204.94691,726.381917,192.89564,494.772482,181.492469,428.669514,520.500376,286.311909,347.223469,602.415215,225.910664,215.117092,467.239602,314.933062,216.182043,281.105561,671.487198
