,02461e5d-eee8-4222-8b6d-bf141aad9440_01,0556e2d9-4c92-4293-ad66-2d7d24d5d213_01,05fbde79-00b6-4273-a0bc-d616844e0136_01,074c58a6-7304-4f34-babc-c537da15d971_01,07bec7d7-0aab-4b09-a796-bf1602bf682c_01,0b98a1b7-02d6-4b30-a411-f4e4bbd4c41e_01,0bab0c33-1df7-4078-9487-6c8309258564_01,0bd2551f-4060-43b2-bee3-956e7e09db31_01,0cc39a51-865a-44e1-9096-baf710fb3813_01,0cf24a4b-66af-454b-9e74-715cff8b73d4_01,0edeab00-e86e-484e-974f-e0f41efad22c_01,0efd3473-c23d-4788-a601-c600cbe60a32_01,11d10254-3a16-4526-98e8-80838f8427f2_01,18e7182d-16e8-4eff-96ec-56ff241810d3_01,1b1cae14-ad83-4d2a-b152-504392900e30_01,1b1e7d1d-634f-4d39-bea1-3c1d72bb2af4_01,1b67d80c-335e-4094-b973-e8c064c6bf59_01,1b6f6269-64a6-408b-9103-58128615117c_01,1d25c24e-bd3c-4023-85c1-b158f76324f1_01,1d8829fa-246d-49e9-9905-566a785155c7_01,2132f775-5d09-4b7f-b739-883b4aefb264_01,21e8b3c8-0be7-4fb1-b986-9e5403d04e26_01,22a82b1a-c799-40d9-8ff4-09b093947263_01,22a82b1a-c799-40d9-8ff4-09b093947263_05,23592bc3-17ff-44f3-9b17-c8f21d0af6b4_01,23742e7c-4c96-4253-9b6b-baf0e076b6e7_01,24718e25-4434-4054-861b-0b3e63fe506a_01,24718e25-4434-4054-861b-0b3e63fe506a_05,251b5341-405f-4f16-8334-475f2d358c25_01,27b529b8-0a7e-4a1a-9020-d33ee956c920_01,287fc873-3f50-4b7d-89eb-ebbf858ddfcf_01,29b8c1f6-8478-40db-a182-4ef15154a33d_01,2a85e0e7-7829-4637-b2c9-3beb3aeb571e_01,31356d96-f0a1-4a17-895f-89720c264377_01,320995df-9ef7-460c-aa37-e232e2d4e327_01,3290e7d0-64b4-402f-b2c4-0dc999ad3a64_01,34103b46-3d61-44a4-8b52-dcd29b5185a1_01,3713865f-b6d5-44f4-809b-8b17b696ace3_01,399cb248-9d00-41dc-af44-fa96ca9f649a_01,39a18c44-1990-4f01-a126-a6eda1d4ab1d_01,3cdbf331-991d-41cb-a694-a2aa95c4aa26_01,3f0a06d1-4c45-46b8-a06d-036c8998342c_01,43cc3c60-f0a6-4b44-bd7b-8ec4da71991f_01,43cc3c60-f0a6-4b44-bd7b-8ec4da71991f_05,43cdb4df-06db-4252-a25a-04def9d24c6d_01,43e0141d-9bea-4b26-86e0-88a11175053a_01,452a54f2-f389-4f6d-93d3-8350c48c17eb_01,46332d2c-aee8-4a8a-b781-55702082f097_01,485936b6-38dc-481a-9e35-89348b076466_01,4a380e03-667a-4d08-9a8c-e537a5900291_01,4d20edf6-0c1d-4556-b3f5-9d95ceb47c2a_01,4d215c5d-6813-44a6-ba6e-03c24da903b0_01,4e4e6280-713c-41bf-bf3a-e93c2fa44d59_01,4e7eb78e-a4e2-463e-a3a0-54e128108031_01,4efebe0b-ea06-4189-be34-5c191f69d1f6_01,526b0d88-481d-476c-ad83-548967bab58b_01,53670f27-e632-4e0e-be58-f5c6a66d967f_01,56ce11f3-4193-4314-9254-54bc514efbad_01,588cc671-b7d3-492a-843b-f2e99f1e1109_01,59f1f860-2f84-4668-ae62-8ca8fa38e47a_01,5c4f7b1b-1722-4e96-b70c-166f64b8b75e_01,5cea1082-2ad5-4233-a6e3-067566780471_01,606b2512-c27a-4904-87cb-c57eafd098f1_01,61544d30-175b-45bc-86bd-9ad45bebb840_01,626c1cb7-05f6-4db1-a809-f6fcba2cce8e_01,630c683d-d1a2-4bec-aa20-38ef59227d97_01,630c683d-d1a2-4bec-aa20-38ef59227d97_05,646116c6-167e-46c8-b43e-87d2b885c676_01,67dcde6d-e247-402e-ab27-ba2832b2cc3b_01,6939263c-8dad-469c-8905-7063460e4ab3_01,69509852-ed3e-4b5f-afc3-e7f7d88ce936_01,6a32e197-db90-4b3a-adc9-63b4c55d2cda_01,6a7dce9c-1c9d-41a2-a5ca-0a7d36e91fd7_01,6af41619-490e-4ffb-9a7b-ad9b7483b5a2_01,6d952a17-f8d7-4f4c-8b91-b050e84fbe54_01,6df1339c-39b8-45b3-b4ec-ca133ab3311a_01,6dfea807-028d-4ee3-991a-6c2607a8c8df_01,730bf0e5-50a3-4bdd-90ef-bc6d932979ce_01,79dc329e-9cde-4bd4-819c-ee3d45d813ca_01,7b394c92-c818-4d2b-9ed5-d560581190a7_01,7b411b6f-a273-4ea0-b5c8-637520f1fe5f_01,7db75a66-3e9d-40e1-93c0-23f3630d6a9c_01,8062ca27-542f-4a00-a047-c88b9b26f34f_01,8062ca27-542f-4a00-a047-c88b9b26f34f_05,814a95ad-02f8-44fe-9765-2da3183a2ef5_01,894b81b8-e98e-4ecb-b4e0-4c1c9ad97957_01,89d95f32-019c-48e7-b804-566285a8a2a6_01,8b5bb660-c3c6-4ad6-9b32-e12d458b8ad7_01,8ed15b85-5bb3-4317-a93d-67ee376a8244_01,8f734f5c-fe5c-4c81-98c9-f88a8ca4a5ee_01,8faad47d-3686-44ab-a0e3-842f64179229_01,8fb406e7-49b1-4662-860c-5a4d32b9d19c_01,905c998d-4219-46ef-9906-8e92d7416794_01,928ee84c-dd3c-48f0-a9ac-ddc8619317f4_01,97ca0157-0096-4b0c-a3e7-bab59078d2d6_01,9c947fba-e570-4a4b-9d16-9496dae1ee2e_01,9ea1db00-cae9-492c-b63a-bff816c046ed_01,9ed4368b-ac80-419e-b6ad-1c70d56ef4e7_01,a0be056d-792d-40a0-97c6-fbd4976820b3_01,a123784a-0b6b-4f9a-847f-c5a17cb922bb_01,a18378cd-06e4-44ce-9aa5-d78986bcfe32_01,a1a4313c-9c5b-432c-a879-5425898ffaee_01,a1fe45e4-587e-43fc-b53d-85b5a7c4959b_01,a22235ef-0fd3-4087-a36c-bb22704450ea_01,a30fbec8-68c1-41ed-984f-8476f1984085_01,a3a72058-5a59-45ac-b945-3dcaa566cb03_01,a4357b2b-5650-4deb-a300-9e1420e438ed_01,a4bdd4ea-3870-4e60-be7a-cdd44ce22445_01,a554973a-e5ce-4fee-ae98-ace6c4d08565_01,a789b81c-3d8f-42a6-80b9-ae2ab4df34e9_01,a9c10a1d-ef0b-4a4e-8433-522a9e04796e_01,a9d8a9e3-2a0d-4dbd-808f-646a624d2e0a_01,aac5502e-147d-4ff9-9876-d9bffacf3dd0_01,b0df5500-d608-416e-82f4-9a99206d24c8_01,b3f29a2a-5ae2-45b5-8f59-d96ca461637a_01,b8f0d793-c9ac-4964-aded-35bbd30b669b_01,bac49a26-1556-45b8-8729-a05df52623d8_01,bbbd714f-8a2b-452a-939a-d6839eb7865c_01,bd42cf82-4281-41bf-93e5-8403f1a94905_01,be3b6f94-9468-4164-9d96-abc205f53e92_01,be5254df-ebcf-4a63-9f9f-4a73b7a8d9ed_01,be64d20a-bcda-4623-912a-826e86f3225e_01,c08e6d8f-329c-49d5-afc0-ff52e978b915_01,c3515fef-c079-4be0-9005-2fc8a0bdeb39_01,c50d0ef9-1cc7-4bad-b1de-aa866276b977_01,c5a16472-ac62-422b-a799-26d17aeaa38e_01,c8744498-5d0e-4090-a6f1-c84aa6bb2bcb_01,cb342b8c-90db-43d3-83df-db6e728712bf_01,cbdd5d0c-baba-4b67-9740-9605b73adf6c_01,cbf26a55-e2d4-4c90-b7eb-b8161afa9de8_01,cf81c2f5-ac98-4423-9d80-150ce436e003_01,d0f2103b-a525-4ab4-a476-df21623e756c_01,d1e7a280-963a-48b0-b6fb-1acf7c1a435e_01,d4749ab4-c2fb-4384-8576-97dda543357f_01,d5a27462-bc30-4f5f-9572-7bea0844ce38_01,d69f7591-8917-4097-9b16-7977fa6a0dc6_01,d6b67920-f8e8-40fe-a5dd-aa0004d88a21_01,d6c4198b-6c69-40e5-a8eb-b2de3ac0b2b7_01,d7d793f6-eaea-4dd3-8237-c2c02b042340_01,d7d793f6-eaea-4dd3-8237-c2c02b042340_05,dd6e87af-ea8f-41e9-bf7d-0222d88b7873_01,dfdd5d0a-b87a-4b07-8e66-8ff396e86efd_01,e03c99f2-93cb-457f-8a77-d600f292e313_01,e089ebef-a48e-43d1-a21b-000d820453ef_01,e08bddcd-8ea5-4994-af6a-9fe9b7c93da4_01,e2e7d802-c59c-40bf-b3b5-5c3d3d4eb4fe_01,e535d430-ad45-4df6-bccc-6ed718f4237a_01,e6b32289-55a3-4852-88f3-5e483463249e_01,e9844c04-0562-4b01-a008-812365bd4c2c_01,e9d6e631-a4d9-4855-a8b3-b11e3be63cfc_01,eded94bb-625f-4615-81c7-b794c7c9da62_01,f02b66f4-3f20-443e-80c4-70139252959a_01,f18e8e44-6dca-4588-a003-77d70d6e6866_01,f5f4b937-8b81-4be5-b93e-b3224e357c15_01,fec8549c-9328-47b3-8266-f446db5b7ae9_01,ff929d39-66ca-4de0-8902-80361385acf1_01
MIMAT0000062,10554.393336,14833.756798,22411.389285,8684.885544,29336.145862,16020.140067,25858.968303,25420.321781,27702.504904,41975.618368,26668.924797,18993.569133,19294.090303,16827.106923,18622.827866,21606.079881,13435.893797,23582.336513,22851.94769,13213.579876,15008.644269,8473.018789,23577.321703,26678.583727,18523.097885,23976.480749,18824.014462,20102.83179,19549.331029,22678.892915,21764.085118,8657.750401,33073.660155,25648.704201,9303.027162,12965.829655,23460.738967,8583.89263,32042.79628,13965.437344,6347.820807,23433.593126,15841.459239,15450.265077,20904.463763,29801.348955,17519.453387,11807.314426,22943.793535,20195.425372,31255.525808,11187.849863,24702.605662,30605.164112,20197.01784,19969.9621,21102.116926,21852.410328,38726.535891,6901.497984,8029.741565,10557.740325,22522.070494,16435.858851,25160.339096,19700.13308,28551.681432,11881.746015,39421.159524,25883.778358,20945.644121,30294.58243,33165.035918,21492.431088,24597.967806,22099.404139,5883.846643,11695.280299,13689.742934,12023.129266,18137.121236,14306.31689,13908.225575,22407.622591,22274.643939,37353.446925,11118.184254,19657.919985,14834.268677,17556.472695,23184.920372,28921.776716,14623.095222,14676.127944,18058.668221,16191.870843,17246.419537,42826.657594,21122.173634,22798.828275,26482.518267,10702.59734,13574.307814,11378.670892,18147.954672,5638.224255,4616.386158,9168.00465,16206.611494,49249.309409,16672.307636,10310.753859,12937.312464,17349.430961,30652.202915,5876.876527,17787.045919,21794.920235,18376.390747,5365.624124,17179.485711,14192.398159,19983.38795,6535.788232,19757.185254,15011.828409,18537.354791,23715.253761,23529.560968,13754.408502,21146.109498,17314.905019,15136.979531,11539.832979,18237.463475,18675.224836,11965.083958,25891.562081,11334.761971,18633.114898,34988.818814,9181.28507,24859.872476,16175.021272,19573.075107,10936.351093,12875.558942,27177.078995,18667.544838,15593.640933,27804.680659,12475.919154,15308.593841,13918.381202,31356.061441,17931.259251
MIMAT0000063,2531.669808,5649.800211,8278.953086,1682.138277,12481.158678,6866.203712,8218.877512,7891.985308,5452.989404,22837.156977,12276.539175,5547.089445,8277.024362,7999.772145,8867.013001,11275.600276,4004.217394,9745.898411,8008.023057,3603.678558,5581.416171,3355.636883,8398.246947,14103.809174,8453.562918,8380.006303,6748.751349,6926.634365,10975.276973,13504.154479,5664.621227,1031.824717,16284.109606,12611.517809,3396.48119,2831.262549,8482.838702,3537.951397,8650.748735,4117.226632,2107.991244,5191.830628,5389.741559,9562.578207,7694.220498,12849.272588,4321.875234,3282.795733,13212.103956,5346.359802,8142.741104,4964.264645,10058.564092,9584.363214,7929.462764,12175.951468,8221.934108,8442.063277,21796.805438,3791.387986,1998.885246,4076.583736,8586.900793,7212.465543,8623.824023,6248.375968,10785.920447,5417.096779,14992.53725,8158.084526,8089.643295,17497.478338,13518.531513,12331.320913,7051.346874,6124.110606,2369.209168,4343.840819,4459.634864,6860.727923,8067.071014,5586.377832,3659.852016,9674.442598,4692.997919,15154.510967,4995.984175,6067.654243,7611.16327,5847.751374,7406.767642,6233.068238,4394.992442,6351.182177,5624.955686,11539.31053,4590.913358,17592.301239,8429.275209,11767.432563,9913.12867,4051.855841,6553.869858,4807.046572,7237.838086,2301.803284,2251.999127,3558.004588,7614.741155,30490.39045,9495.319403,3120.974645,4369.212118,8542.459051,15712.663542,1576.757798,7515.591422,6355.145653,4323.399117,2395.851013,6747.681929,5218.775675,5668.271206,1802.024664,7219.079215,5232.120884,7672.061782,8862.179882,11971.987567,5717.160816,6415.111869,7218.82614,2676.150106,3784.562253,4782.8731,4921.463378,3674.81447,8913.42361,7113.25293,8662.083423,3622.239169,3238.14364,6275.674927,6775.366101,7501.080941,7948.559111,6614.037024,8643.370629,13754.128595,5618.693247,6898.581718,3863.29268,5343.99196,6581.211578,14162.610841,2326.454165
MIMAT0000064,2825.159382,468.832267,9611.39223,2013.419247,5203.785229,712.035915,12069.416507,977.413368,13112.756718,8955.250743,4603.934228,7662.646806,1286.837085,839.166445,1218.328115,878.100537,6408.508276,1083.57907,1257.006556,498.636053,570.157437,387.536356,779.419671,3505.572843,1329.855951,21118.168931,9452.952763,1204.153099,1174.732122,1964.003974,19095.609489,52.701443,5658.989163,9216.867121,965.250366,4645.624842,7079.463999,188.257372,999.727819,462.29017,76.040666,11355.041617,1068.928721,761.835762,824.421437,16107.865907,5604.099434,746.542389,2886.817079,592.983088,41485.309734,292.070633,1876.911388,985.166789,771.083888,3653.898762,11025.486547,2285.554815,7512.730505,253.717318,1526.547508,288.427299,1851.751329,382.756861,14237.363352,712.640255,2487.476363,525.883978,22072.295392,7069.072895,1587.529689,4965.980136,5246.947164,3575.402332,30679.30299,15519.735203,177.009881,575.174265,398.99338,15141.709891,1697.645667,7236.751721,9192.683811,3004.565613,2949.089954,3822.8388,332.569829,621.594308,1321.392068,9603.29583,1242.229851,27057.007542,409.702684,1044.456537,476.228197,1067.4811,946.051496,34104.771738,657.907226,2532.711957,2056.932686,425.761413,2115.15086,3184.456729,3948.59958,307.732439,153.208039,280.095127,602.501289,30338.778635,1295.81006,417.687762,5435.757898,1463.801092,9616.072407,436.223234,1656.692947,9778.288822,3198.886377,188.086702,963.031462,231.353045,18579.145428,1064.585343,1284.121855,1052.461967,659.891163,2756.6015,1043.808241,283.947516,689.963457,934.789143,5679.359798,261.344363,345.566356,4052.251618,531.592397,1180.265222,846.982317,803.855867,19975.884534,124.979658,1046.975297,1195.614492,1368.477082,1543.209878,1065.396886,9470.482078,5167.051362,2079.084611,963.391136,2363.15987,9364.491206,1559.660807,7661.6237,9428.408504
MIMAT0000065,129.437371,94.596631,233.731964,102.046372,309.387011,108.876037,262.662447,271.394968,272.342965,231.127317,101.986921,234.167512,158.492021,142.937842,98.839121,170.188155,136.354646,144.773739,157.744774,134.438892,135.537429,79.884795,170.806368,165.031349,115.906216,323.453871,159.141122,83.045042,172.348242,98.293178,176.952485,38.790402,253.277432,219.590937,76.764819,112.442322,190.371332,78.521025,225.043407,107.980186,47.694146,134.925989,158.111254,103.990909,247.525705,294.306401,345.487798,95.059732,199.59277,337.676547,283.914415,107.42021,93.566957,143.181482,135.640723,195.835832,109.73007,172.926368,166.791325,51.130396,85.03928,201.248521,137.721589,182.652972,242.613974,104.879131,161.452631,91.335895,493.530091,243.269615,106.522011,144.277118,125.576709,203.334119,97.892184,186.394511,52.792421,65.547526,108.357236,168.553976,95.085807,270.293719,160.171287,128.962578,188.74569,202.572563,221.465329,108.931355,190.244681,220.30961,171.537051,182.846002,107.578595,61.413059,315.901995,134.740764,130.798785,247.871837,116.956076,174.931109,205.024461,86.655901,134.238426,105.418678,209.262991,77.596325,55.663821,68.098959,138.339682,343.432122,136.224031,121.947299,171.628056,206.385343,251.5861,56.045047,110.5019,217.255541,84.851099,86.313761,158.909764,76.333433,258.334537,59.685849,115.533638,124.529384,138.814834,134.440943,220.093606,132.935944,131.998187,126.054708,128.148214,88.142084,223.157895,146.671756,79.426825,267.967942,79.541166,149.38184,299.940082,90.242109,140.909287,73.666542,144.410721,59.596358,88.380428,249.057426,120.12556,242.036638,184.78996,114.494925,299.27153,97.478803,221.158296,188.718459
MIMAT0000066,890.595407,533.280319,3052.038585,702.493126,1621.500798,319.280644,2074.280795,573.427188,2667.062189,1173.525364,1185.29768,4186.680048,597.938224,590.211976,620.792189,662.580979,1829.104741,549.107138,907.386133,371.910866,386.23165,189.488634,511.185845,566.940246,408.737284,2558.226078,2001.615063,664.36033,506.205215,597.197473,3477.07622,516.581158,832.794011,2161.72398,435.345503,856.669947,2069.144754,258.411403,641.915166,357.041627,132.283762,5860.097511,826.258816,582.349091,506.296106,2450.830902,1589.913375,528.552012,624.683433,507.273759,4040.402369,356.429147,969.56729,1080.946893,627.068712,534.21387,1219.544528,711.285929,1267.50453,360.676581,504.227469,253.729279,960.829565,489.789175,2042.502226,481.704473,868.969025,306.150893,4374.214363,2609.039463,990.353226,1066.460755,1325.658191,658.436337,2972.226784,2171.140259,192.059302,491.079531,641.419737,1310.237289,799.514996,1459.058678,1683.655743,749.969869,1743.613204,1530.428538,286.759674,520.788367,428.308546,1580.354257,450.00629,4443.918089,498.839235,741.446819,358.061849,497.531145,715.327398,3606.152499,696.814458,760.66614,701.096017,313.781415,333.804818,941.996025,929.419924,544.279648,124.050801,213.721874,589.037574,3206.719022,515.465002,296.835795,1079.326593,525.270286,3383.626534,309.854148,806.517647,1839.935504,3351.971898,161.355203,388.65882,599.295878,2321.718766,423.056305,745.83589,387.927896,451.362619,867.521542,564.143274,285.091542,742.564234,523.934751,2238.545082,363.046768,332.990142,2659.101763,709.924532,686.377046,465.0099,427.100012,3658.08205,280.543462,514.994487,787.514891,426.953433,618.207274,663.557849,2638.272724,951.255626,506.352801,508.841918,1724.328063,2140.646502,466.704622,2212.813913,4311.755164
MIMAT0000067,4193.918171,5015.587692,6964.377744,3412.489768,10163.537107,4703.043954,10101.125496,10361.432733,11690.637534,10033.954641,7219.669454,7069.540509,5452.322438,5166.332706,5194.774023,5955.608443,2776.065347,8738.22153,9126.560826,4768.172806,5345.225953,2680.420163,8996.130897,8843.377428,5621.01353,8166.772109,5870.855252,5928.822772,5217.870129,5057.582533,4340.288465,2751.443402,9477.644197,7362.329146,3623.258122,4680.411685,8119.139906,3051.700294,13719.09395,4927.881448,1667.945261,7420.640231,5300.887863,3794.767469,7599.281082,9531.531941,5648.871975,4424.507893,5444.26908,9910.508128,7670.180808,3687.391748,6507.663204,12247.636529,7448.820059,4814.495279,4126.179098,6208.654315,9202.827836,2048.532422,2516.515645,3785.120362,6180.236163,5403.968459,7953.795069,7930.13974,10811.133597,3125.444059,9023.911828,8739.786702,6912.122856,7124.399814,7903.661639,5676.226226,5356.562265,7080.619513,2015.428287,3220.259286,5657.992422,4348.360386,4774.807688,5534.033148,3953.968371,6125.909838,7640.417555,11520.416644,4122.616533,6410.699137,4954.274194,4623.564318,8088.803072,10407.518531,5329.750994,3537.334286,7987.926363,3692.662924,7522.101755,9800.572717,6509.226761,6577.283393,9673.510658,3649.835768,4076.043433,3068.654198,7316.898792,1880.21868,1475.886435,3655.706013,5089.284635,11573.773078,4712.342368,3945.761932,4781.849787,4989.16967,8647.865755,2449.918218,5869.133998,8013.192799,5858.968281,1867.018192,5041.316541,4836.454968,6878.831408,2330.375816,6615.467285,5104.949971,5870.531954,6670.808579,6613.240106,4903.986381,8279.362956,5177.782935,4244.557488,3773.775632,8298.203781,6081.545789,4193.925506,7648.201352,2784.523565,4851.608534,13971.148118,3560.221125,10350.462629,5035.238517,6208.233981,1878.963999,2674.96758,10416.032302,3802.048283,5658.593846,11829.479035,4110.885554,5668.202785,3160.302496,9121.24111,10149.14555
MIMAT0000068,257.401772,292.091678,328.226456,267.095282,481.809436,215.080268,433.569837,387.391,290.658645,163.632872,284.231218,618.30205,169.714437,249.481916,168.420359,286.252178,296.715392,251.811606,284.011329,214.330858,365.976058,132.665819,211.257263,231.96499,200.865179,398.231887,348.822969,165.666384,215.164316,187.819667,289.254405,284.106261,216.935808,206.721139,298.16201,242.453758,409.919454,230.092344,450.177816,251.150344,276.266089,754.168316,512.989145,177.685254,340.045375,164.154598,446.191148,264.7737,249.675999,445.243276,371.027208,229.350338,259.805028,436.385884,263.795196,158.238273,161.427558,209.613963,228.687616,169.42126,140.96185,354.353538,259.657546,338.257015,325.156196,344.89099,333.742494,143.854034,214.366865,288.407533,255.753318,251.794381,171.318449,257.379354,270.055654,198.826263,159.810541,128.776648,554.182981,224.76631,263.195749,326.857626,361.876804,197.005332,378.572168,309.246416,286.759674,223.956772,331.29408,321.284847,314.113303,485.722206,210.63708,112.397487,337.872622,220.389933,287.922724,316.505148,331.414613,280.71075,314.801338,271.046997,200.830802,379.010622,250.489366,587.167644,150.027249,226.46554,304.953168,275.003915,209.38138,261.419965,186.234701,206.058781,218.632979,182.771109,263.617008,343.882681,487.422416,152.659414,250.809387,366.635754,276.715153,171.925276,285.38115,180.756286,259.251709,229.529397,310.503805,195.39982,332.278145,438.329487,546.566209,288.773194,395.172524,367.993102,349.478032,417.030491,158.790974,298.763679,742.783146,272.99182,362.117563,165.260781,284.825888,79.32191,86.971175,333.336556,152.346307,312.926031,238.108803,451.459044,354.993039,126.523505,231.552874,438.410799
MIMAT0000069,802.217114,765.074837,661.461454,1113.044903,1194.616249,680.308237,714.093693,913.500653,663.625718,519.871846,437.86676,789.037453,758.005318,814.903937,596.035527,725.693235,1100.439603,692.159088,876.615295,752.086423,991.898893,707.551037,891.89289,695.894978,874.405832,594.718918,851.397514,755.455656,746.02942,636.780404,591.492465,714.545971,902.970936,313.620903,519.973029,604.728864,539.240999,799.047962,763.764387,447.989223,824.29882,1171.817036,1897.871937,669.308413,1347.655761,340.074069,1420.168258,880.92002,915.067477,1186.77571,940.510828,970.994438,715.566663,592.761564,730.099834,850.872928,410.216829,902.556091,612.389828,583.439281,407.63394,1503.291759,583.585168,1180.845639,982.152164,758.356798,787.800375,739.820748,453.968825,718.473459,563.511486,654.665393,366.786267,850.695614,213.186096,378.105229,587.644134,626.179091,1339.772938,566.773119,817.164335,965.278205,976.335736,734.224439,893.225947,749.051568,1262.753962,835.394306,1299.374601,1147.813062,812.958812,702.376711,764.260036,464.508681,1100.075255,694.245696,603.41105,563.673055,865.803101,911.915237,901.046755,712.240283,809.645272,1048.769119,573.255351,1739.395719,798.378225,510.808558,872.785388,451.515483,820.287293,767.829865,422.810154,1086.788634,443.241457,490.840383,660.086964,741.973981,681.519305,747.515817,748.838333,656.284538,513.102685,572.458619,773.272799,721.515696,645.923918,571.012604,1300.311384,609.766417,749.710006,949.41709,857.959326,688.186278,833.523375,888.376456,692.715386,1320.366791,552.417779,1229.305249,1398.731253,1127.082413,758.207775,368.332707,835.356085,403.324641,581.821049,594.713857,470.422926,1602.50535,587.237657,1180.621019,994.15152,703.438854,512.616759,842.470114
MIMAT0000070,1778.613116,1068.963787,1390.872132,2339.671843,686.561063,628.208046,772.120606,614.532166,825.47653,444.9146,1185.516066,3888.919434,550.685943,1897.750392,819.220629,637.57055,1158.694403,579.525406,836.825411,743.821734,1402.51227,1033.271779,577.411851,426.471704,1237.890061,1204.432387,1030.449999,657.581145,923.52643,826.990986,1732.581691,2365.947054,543.59268,355.769493,1570.057831,2101.090213,940.012616,2241.389073,545.09099,1032.881895,1371.431659,3726.444712,1508.365265,672.092426,749.69401,301.918969,1346.384227,2422.281205,704.619227,956.362316,1420.872273,1336.316762,1038.755759,950.470935,605.751929,586.594935,982.252277,763.637894,730.157102,1537.504838,1889.813127,1200.117799,1203.090698,1405.962517,1886.440619,768.105178,626.347744,798.486495,1066.839878,1196.867497,1248.116391,624.705045,687.262573,613.693972,175.871053,572.923887,1392.191069,828.301524,2232.342706,747.864845,1456.952823,545.993313,974.647351,681.739667,1001.108697,751.027005,523.544636,669.838962,984.593621,1143.77405,819.984802,472.418859,708.933903,948.715894,718.38014,948.059697,900.56825,485.448683,1647.229068,742.03629,690.256701,1221.887776,956.738558,2217.178279,611.350611,2367.019571,1907.943705,1733.403868,996.651574,399.502669,993.510438,1554.645536,1514.395891,738.023529,304.39897,2685.521602,1276.098499,891.231915,3150.804086,2232.563411,863.234217,1478.045316,995.936785,2194.862661,1299.053503,799.25222,612.721075,968.553026,812.464498,481.406585,993.261543,1308.882879,2515.96484,1005.312871,510.31473,2860.794747,1667.963336,809.245945,1659.875559,1104.270173,1401.854816,1290.953021,940.810766,695.920651,817.946886,872.121327,682.079488,2173.757525,597.653568,1029.313977,543.900883,2036.168508,2981.599506,726.117594,762.223372,1446.626813
MIMAT0000071,835.911339,364.404576,856.627645,1272.769652,476.073608,314.604987,578.36512,328.499397,707.209561,440.08573,843.848963,1808.05654,390.421961,1146.667413,482.942566,492.979007,737.307338,418.825118,613.825233,444.364614,1070.795677,457.673301,540.537409,365.371728,650.476192,501.830599,560.96123,543.182361,644.950969,510.061899,707.140689,1573.552756,421.340024,242.19352,1227.616382,1180.468699,383.14999,1486.750541,470.106854,811.136872,901.689319,1567.628867,1050.406349,315.248031,381.038705,233.867243,744.535274,1429.379829,612.594377,589.643762,505.656067,691.795508,616.195302,561.975103,483.180424,341.66326,455.031749,439.014496,445.050747,878.613677,1410.080668,650.587893,825.685223,616.017504,997.524401,355.647825,393.679019,612.301786,499.970296,568.262615,1202.392322,413.495245,467.645389,394.559743,179.638436,309.076285,812.191084,563.582259,1203.867251,356.371259,828.636403,393.310322,618.736169,526.722154,624.206847,489.550364,346.699587,452.738009,404.570965,700.584557,678.77948,469.818205,445.321142,924.961784,403.665745,631.923742,778.45263,487.208511,887.834905,549.422617,438.415633,792.56516,420.838524,1053.058101,301.109094,1045.008079,1454.151039,1172.682631,685.639736,407.618144,528.498784,525.030597,807.277864,444.446913,289.460221,1632.088896,702.700173,511.561013,1382.601492,1588.752931,434.129989,911.295714,316.951328,943.149039,610.704463,340.380313,491.059004,656.142473,454.096472,328.793376,769.956341,600.127253,1315.279457,495.259898,288.414459,993.936846,1032.170511,628.302965,442.866573,654.06137,725.369284,698.526788,547.036873,342.419037,581.92383,642.129757,399.825815,804.991678,383.344287,380.777308,361.058644,627.516563,882.138463,552.247246,422.484837,1063.178389
