,0050d8be-1db6-4c17-8bef-3ae2eaaa63ce_01,0477055e-a57e-4bdb-89ab-2999881bdd6c_01,056386db-d338-4fc8-8bb1-249be72fd6cb_01,09f8acfc-4d80-4005-9f40-7485309997f5_01,0a312064-878f-4b69-8bb7-e7f14e6cd7fe_01,0be4fa90-0122-4b26-b35f-7b1a4a16e63b_01,1248516e-7552-4a33-a1ab-2884d551ef32_01,154c7698-c0fe-40da-b0fc-47b6385fcee1_01,15a2baae-d15e-4349-9358-74356a2d2ad0_01,173b805f-3088-43f6-a159-95fff3581fd5_01,17e2bf75-4ce6-4cd7-94a1-434c5aa36549_01,18c3debb-08ea-4ca1-ade4-d577bcee4fa2_01,23cc4cd3-87dc-4342-9072-be3695e393fa_01,262b4693-961b-4006-be4e-e6f38a1cce4a_01,29e038ba-b042-473e-a526-96d41b2830e1_01,2a654463-1d68-4c82-9549-4526aad41870_01,2b794eae-814c-4b5c-b276-be9096b94f94_01,2c2e169e-9f93-41a7-bfc4-ade18bb5d7ae_01,2f6f86f3-6d31-4a8c-b70d-2759b44bac6c_01,2fdb7682-1dce-40bf-8180-d3a5a084ecb1_01,335535a1-e3d4-41a1-bbdb-1d5afd5acfd3_01,38668ba7-213e-4f2c-85d1-c0e2a8ed0ea1_01,3afa9201-61ad-4958-925f-b93912d2841a_01,3cc2d49b-a3a6-4f55-a355-68cbe84f4056_01,3eab80e6-21bc-45dd-a7b5-411a5dad4e9a_01,3f19d238-1b55-4530-a9e2-8fda644d45a6_01,3f691bf4-9558-4454-889e-cfa7d0de96cc_01,4165391b-6122-4e87-ba91-ce935e0b3cf4_01,440421ad-5f1f-4345-86a2-fc25cb7cd453_01,49d8939c-7c23-4a6c-b71a-0c39c262c346_01,4a2f3f77-7eea-4bb1-92bd-2d595e23ab88_01,4c0cf497-abea-4ea5-a207-e26f85f3bd18_01,4d6f70aa-ef52-4f98-a929-5d511601abed_01,4db60b44-21b5-433c-9689-f6aa79b819b8_01,4fc4cba2-7212-4755-b53d-111878b2ff90_01,50072717-861c-4b60-b595-d8ea23bb1c67_01,50612721-2e12-4dc3-8e1e-87624cf9333b_01,51abe033-5fb4-49b5-89ef-c44d0bb1ab00_01,51feca45-114e-4817-99d6-1c9842cd679a_01,5324c178-1b4b-42f8-ac9e-17c5f349a289_01,55536b55-0e84-49a2-b5df-b88431965b3e_01,56c4f5e8-4e89-4ba0-984d-e17f11a401f5_01,57000a6a-b132-4c02-807f-5505ad3e1fdd_01,5b7b3e7c-3230-4675-8fdf-3e5119b02ce1_01,5f18924a-bcd6-4462-9c99-e634bddaf18e_01,5f539ac1-c4c8-46cc-98d7-8951a6ed680a_01,628ecfe9-9e29-4b51-a11e-96d4e9181d86_01,66c564ba-b42d-4be9-9e5f-bf93984569eb_01,66c564ba-b42d-4be9-9e5f-bf93984569eb_11,67ff20ba-1b56-45ae-9310-19dd74401e67_01,67ff3aa1-9d52-4dc8-8501-ecd0d37a8735_01,68d2ab61-50fc-41e8-b3ee-75c70f0f4369_01,6e98a600-252d-442f-9372-ddc7c5338ae7_01,71020ee6-3b76-4e31-b3ce-7e54ce706134_01,7459bec0-1b54-4fd7-90db-8375168e6b1a_01,748fc94f-d496-46b1-a5f4-42aa53de0f31_01,756dd9bf-bf40-4ad2-a78e-9430c2c8ea6e_01,7933b320-ae8c-4d3d-9468-8abb135e93d5_01,7a99a808-5ac7-49b3-87f6-106663eb323f_01,7aef4dcf-0a4b-4848-beab-377394456bee_01,7fc85735-1bf2-4414-973c-e18f030e5ac0_01,80606b1c-e8c8-4c3d-8475-3d846a84ca98_01,81186204-5cc8-48e3-994b-4d3cb1f59c65_01,81fdc97f-8bad-4286-9d36-9a887c6b59a1_01,82505b35-d771-4fb4-8ec4-54a2e5a8ad79_01,85d1afdf-6164-49e1-b599-71512c5acd99_01,8889f7a6-3f3d-417b-bf3e-9a2155c4786c_01,88c0af76-b1ba-478f-a42b-8a50c0568d5e_01,8cc1e08d-75b6-48da-90df-e6af23cb4c35_01,8cc1e08d-75b6-48da-90df-e6af23cb4c35_11,9084a558-11ea-448c-9f9d-0f90a94a29af_01,91f67f4e-b8b1-4455-83a6-4d96d04e8ca9_01,9291a2cb-98e6-43b9-8cbf-889e6da9bffa_01,9627ff18-f5ee-4b34-a823-35ebe3c00a3f_01,96e5c81e-8edb-4e6c-84fc-f127142f2835_01,9b116a89-ba1a-4b7f-bcc6-2dcd950269ec_01,9bbd057c-5a3b-4e04-8df7-c2f0c1823084_01,9cabde13-0cbb-4502-9dc1-4c9bd8a68313_01,a4f4c331-97a3-48c4-aa3e-27304c1eb611_01,a653b0bb-aacf-4b11-bb11-42e043e49bf6_01,a6885883-f1a2-48dd-8d72-0038319069a1_01,a8117654-b223-4301-9c4d-530fbc55ea72_01,abdbdba3-807e-4192-88a6-41dd6d9309ab_01,acaaed1a-2667-4c56-919b-daf5574371bb_01,acfba23a-06eb-4ff1-be60-0452a13a4978_01,add338c1-8b31-4378-9a44-19bf646c972b_01,aea15ea1-38c2-4d0e-824d-e3495271b05d_01,afc984dc-588c-4277-88aa-5d82dd8bd40c_01,b1774c5c-7a6f-4bf6-8539-15a35f1457e6_01,b1fa64a6-f86b-43b6-a488-54fe6fe85e9c_01,b2cab6ab-3b4a-408c-a331-9353dbc4fc0d_01,b39f3099-62b0-41c1-85a2-61989cee0b60_01,b7e1a4f5-9173-41c2-8079-c5ce59c8d190_01,b8348adb-17dd-4849-bd4f-c2e7e15db1f4_01,b9d753e0-6caf-4569-88d1-af4b76b255a9_01,bab3ce0b-d318-4791-aa17-d815ea23b62d_01,bb9bb553-f304-4d14-a655-5c3bf4720a9b_01,bd06627d-1e86-4212-b53b-082686abee7e_01,bfe41ba3-2bcf-4760-ae65-cd417e22393f_01,c1f7e0cd-24b0-4c45-8e60-1ff669a692ab_01,c7ff8f16-9b89-4efb-8c06-b866a8b26d7a_01,cd458290-f27b-479c-9b78-0af23e7f63d9_01,ce6eee0d-6f27-4516-95a4-b1b604de9776_01,cffd89d3-0d36-4b30-a676-e9d66e2c764b_01,d04d927b-bb66-435f-bb8f-dd71145c5eec_01,d2385e2f-82e3-4ac3-bde2-0bf2daa46860_01,d3189c8e-ffe0-41ff-9c7b-64da4c83b991_01,d3bf7bb0-086b-4aab-8048-abc0d91948ad_01,d542aa45-86cf-462e-abbe-76a3354e707e_01,d6b1516a-8271-4071-8c56-d4538de63892_01,d8e19e8a-7442-4b6b-8f4a-d02dca5c9894_01,d9816402-1073-4b19-ba16-1c7e7c00fbb3_01,dd240b82-b1d6-4c0f-aa3e-6fcfe1364ec1_01,e0df61c1-c93a-419a-b99c-1e97e0cabed1_01,e464f16e-151c-4754-a8ff-e35b31d4c76f_01,e687f26d-f092-4116-9f9f-a2a2b9fc9b0d_01,eddb3067-a0e5-461f-a8b8-95081ec67de0_01,eeaa0fa3-408c-4e0f-a18a-095514173ff1_01,f4ee567b-ea34-4bd0-96c9-398e2045d5fd_01,f6051ac0-3d70-4cbb-8c1c-99c9efeacb0f_01,faa4ad8d-97c1-41b3-bb5f-534e8f6d6aef_01,fac44b50-aa8c-498e-88af-4eb5c2f5f67a_01,fbc5debd-f117-4ade-81b0-45d49fdd50a1_01,fc9b7bf7-e649-4163-ad5a-b741785d3b79_01,fd15ff57-f121-40ea-a3b9-b66cbf34c1e0_01,ff0e9d4a-2b62-4a15-b71a-2887d8747ae6_01
MIMAT0000062,122402.187698,100562.47311,74410.316455,105709.400521,60221.596455,87284.810661,47534.339943,103111.411605,111867.080812,101863.03535,191949.295637,103883.098955,124205.660879,92884.019585,45681.162181,81999.377366,56700.963739,60716.95417,106495.508478,143865.710895,54748.538932,139934.839148,25079.791895,35143.64341,130162.094303,65933.019085,39696.635076,55144.816308,39848.829405,52467.086918,87922.733897,85236.556122,62378.423746,54662.963521,61041.653939,57348.283994,41774.023368,56778.107423,88741.807326,74576.047381,190361.128391,69868.165769,52461.953593,94366.836603,81610.857373,66435.124789,117246.894844,82114.12768,81455.515799,74084.203379,132735.013891,90671.42122,84291.020005,100946.846634,65081.249056,87283.975848,134766.716581,75533.558981,59845.893697,83351.330827,68156.130103,89793.929383,88714.683198,36328.285905,88485.345283,76762.065874,45493.86285,46493.881792,63660.195125,52941.134848,57237.004719,55564.367867,161581.723412,149104.855385,164982.157044,118891.414203,89329.90329,37977.568006,68720.781929,45192.321831,71060.586028,101772.20008,83826.654981,41427.231461,40894.27925,128723.814699,117972.756253,140391.525113,144359.923398,118385.325828,41032.614267,99061.726313,170134.972549,36068.656048,69741.466413,133523.283407,66864.2756,27991.744319,137562.940923,106971.816312,139012.463997,115257.369661,64684.142887,47792.374076,70368.743449,83368.363317,125236.653606,121173.438998,53167.120664,41517.714407,108581.03986,65528.080125,49153.266454,52111.398197,162542.550471,109533.439889,62781.313995,55077.618656,110025.969835,71462.878253,86612.005837,107713.792511,57897.134001,89639.811778,39122.582204,90652.822793
MIMAT0000063,45969.257751,67468.287314,34590.742472,58560.356669,36829.125731,100869.16839,21479.203918,48762.470461,48487.223102,31839.295477,125840.429546,81414.136394,74955.826351,68999.231514,7846.893924,30199.146055,24771.638107,15085.227016,51076.347185,121138.815819,13918.441392,75318.712557,17565.762969,14989.209004,74747.814838,18162.627361,8595.277517,13663.298187,33782.611669,37377.941189,59838.148716,53818.245012,13742.227973,14839.383605,12020.584426,23233.238705,10253.503019,15515.417075,50404.96146,46883.638105,100064.100005,25169.864188,23373.186978,35636.407839,18776.601778,42377.725936,81771.044677,43989.263368,41342.818048,18429.974775,107078.261764,41646.651097,38604.263544,68433.052929,25309.87179,66094.219007,112333.274758,21400.617558,30659.676972,21155.126296,18461.958885,18034.552473,59726.690145,15867.841163,59066.985476,36071.853075,7256.263057,11593.620628,12928.791173,16937.007227,17166.058361,21148.122779,92363.846424,93945.94112,96190.627035,98625.750426,63121.546499,23489.633844,36224.168692,15830.883908,12982.506723,69226.264396,61848.502259,18919.016449,15337.528861,59151.085023,42301.684661,74349.255285,108694.107401,53289.701895,7214.702071,75397.557896,117036.70313,10688.369838,37266.705774,69992.214148,22556.997316,14119.990337,94462.926452,56724.852594,63671.113721,75509.167132,39579.252308,13348.631601,39391.045335,77600.667179,71013.07528,100953.675864,14618.023759,20967.989771,80905.9946,28835.911262,9087.402581,29995.119394,92776.44519,52017.576363,23157.845123,19360.354192,109192.707314,28124.21073,35429.998296,67038.732118,19169.874451,28523.097836,5617.708681,39328.868581
MIMAT0000064,13058.120653,13166.822337,6356.137255,10236.810852,4608.978374,12900.13829,11116.147417,10094.418233,8052.1676,6584.189181,23386.679202,17090.03694,10608.586318,9305.051866,8724.014799,6096.796507,5067.149193,4494.55614,1562.809318,14430.23426,7711.581404,9537.540893,2970.252536,3616.441313,12775.398038,3821.049621,3785.097635,603.492769,36079.324267,7618.096575,11162.311178,6502.462212,5154.896698,5454.566844,5670.60904,3067.948642,1788.963691,18886.37673,6576.127067,7551.474883,16412.073628,6652.259037,4841.789667,11466.14345,6910.116618,7398.181681,10439.967339,6185.322,14057.734894,7727.87908,15282.221064,9330.211937,17777.413124,8961.49156,11534.504801,10624.803994,15925.664703,7033.562256,3379.263601,11267.438012,6207.025837,10311.712585,8164.035745,338.667874,11033.802372,6422.362243,5957.918113,5093.036887,5765.866725,5063.11203,7789.025207,12021.381854,13711.728316,15473.20823,14450.777486,14125.131656,9210.32702,5845.760873,5825.44403,3197.487636,7430.329062,10681.875058,17387.269677,7200.729786,4134.650069,11106.904058,15924.0049,14812.697147,10275.930861,9338.795747,1242.006588,15128.757892,14880.994979,8732.51824,4914.935277,10977.865936,964.013213,946.953875,13221.86636,2462.570844,13653.763428,11209.134754,14875.845041,17165.466193,8263.821475,10498.654623,13891.121361,19976.967574,4649.866755,2482.963833,9823.627185,7483.611161,713.859542,8886.496221,12581.332741,8991.684304,6376.053429,4596.172757,10754.082207,16247.578904,10254.171925,11973.327604,4843.581749,8030.006471,5467.585702,1535.183408
MIMAT0000065,470.016971,229.14485,449.380588,458.318811,334.033851,371.078378,373.942608,446.796968,263.815095,638.299919,231.881451,253.190842,301.401178,362.280224,89.754298,532.483615,295.893226,572.12053,459.399371,192.157442,392.261983,182.249228,313.175562,361.948838,296.024435,359.303279,480.507302,534.383487,225.421004,418.91966,248.209746,445.861961,581.953469,635.434808,416.218882,215.26603,270.308987,448.452687,192.0303,526.763637,253.071381,559.15746,356.843874,583.92036,449.225738,334.747777,327.180174,356.695262,261.053208,654.450377,244.973644,353.475425,370.549781,316.906716,484.333048,374.332186,441.309975,426.074528,369.456836,460.952756,199.095098,498.572822,448.172043,418.6242,401.586425,317.310095,497.693091,366.677605,332.310712,409.124031,466.066896,771.877542,313.244129,313.156388,315.560728,341.420642,365.727393,272.237532,616.219555,665.315249,394.423252,388.453267,375.458651,650.900892,509.127236,442.620559,768.287985,416.506234,191.948851,344.473626,483.002561,322.694735,220.898584,401.369044,379.868297,183.89441,681.334789,499.617424,362.831184,282.422981,407.026449,365.011747,395.843599,642.437503,347.789333,374.502366,524.081736,301.20984,413.942529,472.073774,445.810003,421.423524,505.355156,301.946306,163.021749,375.010046,591.557097,703.728545,285.853871,501.160602,420.215404,326.811197,486.949613,809.866352,368.262836,230.600878
MIMAT0000066,2550.573178,1868.207779,1096.328755,1387.820854,902.465332,1423.42497,896.743378,1262.320861,2247.998516,1317.706088,3570.242633,1397.896308,1783.265795,2074.769327,767.974157,1374.173982,2000.89536,887.923483,2345.181542,2039.863124,846.069798,2009.635246,401.339087,772.650858,2490.940979,1149.290178,533.664875,505.260511,249.978041,1132.879804,1481.062024,788.591633,1403.739428,1000.814145,1085.234502,901.698305,1371.98719,3155.978793,1698.609485,783.925723,3062.724802,1267.341085,683.646878,1529.449935,1701.166326,503.08083,1713.096185,865.936855,4299.876427,902.696222,2084.715431,1799.101688,2124.71638,1550.735263,1435.2841,1180.047655,2164.241153,1236.875095,323.165554,813.25448,1725.899061,2356.328185,1250.30784,1403.522625,1731.647545,1501.000444,1148.08483,1220.504238,818.406348,849.781338,938.78397,1854.989566,2950.553665,3085.086071,2759.839853,1691.265031,1196.710585,1212.729383,1082.187462,814.760758,1374.637231,1588.215556,1629.203616,693.791431,472.639469,1957.793512,4039.024598,2205.284814,1640.338035,1693.685524,1092.704072,1274.442105,2824.129551,1602.734576,1075.947539,2386.734391,2470.444146,708.741318,2167.522954,1578.927492,1675.627273,933.023376,2584.049994,2359.283457,898.258609,1154.303517,1844.301423,2769.302831,769.032232,938.600268,1239.129522,1469.868611,571.053055,1351.441592,3005.018594,1478.462222,1606.260231,1314.712617,1989.808569,1073.461362,1633.458582,1470.058649,1198.088904,3512.022709,1351.835546,2518.622385
MIMAT0000067,38240.207008,15603.772944,18931.227923,26502.424554,14904.108186,11169.474712,12119.731537,27049.822518,28842.124327,38267.877855,29512.823835,15971.547417,27889.0185,20091.230603,6308.371395,25312.411519,13739.481462,26980.029586,21036.195217,14782.139032,24409.224904,15659.933741,7319.445005,13335.083225,21144.068664,31072.195405,16501.131515,24221.070199,8167.418542,15125.789377,12646.936874,15909.152422,24087.751189,19775.637713,25447.873219,14058.475438,15141.482865,29780.359036,11135.025273,13338.937477,27074.167698,32130.605605,19619.119959,33641.265319,32381.075038,20692.336416,17823.919872,22171.026228,16199.91066,28765.311785,16782.492039,33413.658417,25121.007421,19962.464875,21363.068798,15266.593115,16657.272659,29164.381702,13645.447205,49169.182248,31282.248535,38112.375785,18898.660719,14491.037112,15270.970008,25072.266667,16212.648491,21447.423289,24165.948176,18648.698088,17205.12818,22549.078516,26117.373333,24167.645113,26558.040589,14717.263396,18274.521066,7467.374709,20097.096374,17560.089613,33456.305073,22881.391418,17721.78829,14017.367409,15251.886592,31108.242901,37995.185724,26629.210411,22479.947575,37249.495415,20243.577239,12932.210523,19102.935824,13015.981291,18904.502047,17989.4891,27115.756813,11457.395033,19502.383011,24921.105751,29132.52504,17151.914008,14707.61151,17203.069554,17577.477767,14628.296281,31708.422723,18024.210392,20767.815721,11241.75373,21530.770764,18965.107598,24466.589245,11241.471307,22343.845599,28314.374493,28818.151534,20807.558912,19537.674377,27146.331549,22029.592322,19240.438696,22115.22656,38945.746436,20383.688088,20551.570623
MIMAT0000068,1874.339649,318.373102,259.236069,1631.668734,451.577033,765.921928,625.427375,2336.946764,1131.584238,1213.922994,766.559547,518.62729,1726.220111,323.804974,542.987761,509.38115,409.286226,1153.144922,287.172986,300.246002,1729.956915,491.56667,343.603684,1330.265363,1014.40697,2045.080085,1731.915457,1673.184281,362.373711,955.808233,416.771428,1383.169209,775.937959,739.062758,1821.728938,555.832113,682.421903,508.408249,350.234126,1318.344412,898.065781,1349.367348,1037.71241,1110.0925,322.778172,555.994634,941.342956,1821.715688,238.092005,558.202521,744.293612,1046.347327,289.132764,1391.807207,620.026659,1190.022845,947.588382,1003.965874,1195.712552,1564.486092,439.391334,914.032112,1456.81514,289.019184,807.309355,569.190817,116.469009,619.511658,1310.01973,1283.363871,532.29162,1547.960958,822.971066,1178.683592,618.766381,824.484954,1249.634422,297.108614,1733.528339,1000.396316,1202.177325,1651.319553,1048.34494,761.5289,1562.924195,1712.62058,398.782205,1833.205912,607.077719,1946.459647,2392.409243,999.91579,431.486139,506.92033,1564.967426,469.561028,1136.555335,947.346966,978.946213,1204.294217,944.241957,2024.420621,223.992145,558.812121,401.732165,1120.584813,1725.759126,525.370166,1164.891489,682.500704,1594.048616,1529.135393,1813.089126,276.18297,397.766805,1694.799864,2186.960642,1314.495421,865.107913,921.245259,1275.760232,1215.101957,1001.470941,864.664546,441.138065,447.862878
MIMAT0000069,2382.042395,889.6294,980.272074,3423.08663,1025.977507,2277.107171,1455.612192,3869.18127,1581.942442,1439.396848,1169.397282,1082.097649,3068.705062,1015.337999,1129.222333,1253.308655,1332.680239,2494.786507,756.441512,716.148414,2937.145019,1154.582613,2136.366037,2550.183129,1773.455488,2228.000543,3638.624151,3842.383684,959.613436,1883.95642,1094.047266,3808.487336,1883.878707,2120.307378,3063.816847,1020.339239,1342.425711,1068.927415,834.863443,3262.96821,1576.53674,2541.576619,2214.689434,1859.258612,656.837909,1646.242891,1621.301753,3119.798623,324.457438,1372.364733,1386.129694,1599.180642,544.092434,2634.749908,1285.528028,3044.183442,3015.010722,1686.524429,2729.147667,2629.532688,827.259374,1368.284943,3058.35606,731.769858,2152.53769,1228.253868,392.255547,899.247094,2506.124701,3021.130322,916.893793,3720.59395,1428.73174,1849.361539,1356.222487,2705.808076,2840.509087,442.205936,3695.814801,2247.175762,1456.111646,3176.234525,1950.425462,1687.816627,3121.689163,3182.602312,885.642826,2538.721196,1004.660991,2618.310376,3998.749663,2269.810526,860.30354,1100.063717,2749.720596,968.597066,2077.771899,2974.512237,1959.666947,1997.349065,2032.780917,3771.626344,668.358512,1638.645924,703.622766,2572.736854,3013.305795,1440.825885,2235.421182,2165.104515,2989.76736,2595.412956,3390.876047,1348.968317,711.282217,2745.423246,3613.688322,2723.255708,1468.510116,1867.329959,2834.56474,2804.185476,2022.076351,1868.554738,679.68299,734.042409
MIMAT0000070,3513.218586,791.464362,778.279213,3570.739403,1202.521855,1149.89252,622.080859,3798.905662,1931.562619,1967.130468,707.182137,1149.879665,3010.189125,896.337122,1484.46401,421.056488,3517.325827,2315.00426,703.806028,599.833932,3646.590489,355.385996,705.152154,3121.944764,1145.82388,3688.562372,4632.833226,3960.724662,3579.660352,1819.179902,735.720054,3158.92486,2051.77726,1496.809679,3998.36857,2006.975217,1506.951699,442.47581,311.203577,2693.862535,844.90272,2563.49743,1828.325625,1616.852648,274.048072,1471.035843,1981.279935,4112.377716,477.880013,1754.726446,667.643052,1971.803437,785.351362,2514.557011,1636.906909,2091.290152,1398.405931,1883.392585,2399.285891,2638.858319,518.294573,1488.349856,2398.898034,556.005517,1704.415502,634.471144,279.966879,1309.785652,2825.62,2275.651359,1732.649399,2428.990874,1037.360555,891.203753,562.257115,592.851657,2585.763766,489.739476,3510.066205,2049.099877,2848.395938,3496.27598,1974.919503,1192.504863,3297.889153,2965.515508,970.357563,2372.812878,1059.052345,3453.637708,4859.172334,1724.799998,202.581346,1271.961522,3744.366631,352.587868,1947.688532,2335.544399,1172.487722,2834.192223,1601.374954,3676.068447,536.836281,1279.823814,446.211346,2650.514659,3396.187567,334.538231,2493.354398,2166.768705,3268.367743,2993.759153,3423.552108,345.847031,429.243627,3564.083563,4048.750236,2668.738464,1371.917467,2781.421449,2573.733491,2095.784593,2402.505742,1842.589315,1582.607108,2522.664469
MIMAT0000071,2337.87467,907.363341,510.763578,1748.984526,798.008013,901.523194,417.695257,2867.84817,1723.449727,1361.932606,803.283487,1116.592313,2018.652765,708.216985,1032.946692,265.537462,1991.609634,1234.605792,656.395395,780.63961,1986.336083,768.990497,374.812009,1163.329249,673.380839,1874.300955,1946.634904,1901.776525,2379.828724,840.203427,899.827146,1623.051491,1158.373555,991.818064,2006.449702,768.244237,1113.913163,381.773134,518.846096,1663.778877,970.154505,1471.699614,1096.75227,1175.254342,368.06113,1114.387183,1143.73069,1983.102306,422.042545,996.840301,782.041121,839.480672,533.69877,1598.394693,796.263987,1440.102649,923.660982,1021.739551,1479.865328,1461.904122,486.103452,1145.384637,1296.387982,501.372018,919.684613,417.91334,186.954242,687.447404,1578.787364,1405.049972,848.175247,1826.349584,997.131862,673.278107,1180.618413,701.019186,1412.355464,342.145441,1831.567534,1097.657065,1536.325557,1937.941447,1640.050976,851.746931,1317.340727,1830.033285,1354.065525,1652.0257,1044.840411,2485.211869,1598.905033,1193.6,912.586512,627.276207,1853.674249,638.810618,1365.519158,716.799665,1213.301792,1366.009756,1368.470188,1914.068231,473.309768,820.726074,463.876836,1339.306788,2216.018544,313.573598,1369.396857,887.935083,1565.398228,2037.361149,2184.455151,335.747805,846.898772,1802.317622,1853.845678,1092.951245,952.645001,1724.254764,1816.200757,1444.191027,1365.176502,1302.731516,678.225486,1069.333257
