,108d4b89-d1d5-4528-a040-c7e5696c8417_01,14213209-2217-4812-9a19-d9b2b6718467_01,158fd4c2-68dc-4ca4-8130-d5589c80d825_01,1791e250-70ac-439c-828b-15ba811935cc_01,1d2937e8-6104-4330-b7dc-7bcd79dac927_01,200f77a5-803c-4891-980b-5c3b08c91254_01,245e4254-dbc1-45bd-b5df-504d8c3822de_01,254f6921-82ac-4fe1-b1b4-ace94c420d05_01,276dd6d1-a5ad-4b64-8536-916584805091_01,2aa77a19-efde-478a-a113-c0af75708b31_01,2aad74b4-8d66-4563-8958-88d83f86556d_01,33ad8d6e-10f4-4965-9721-1a9984f9e87d_01,3428aa0a-127d-492a-bf4a-ee82563d3701_01,37c77a51-efce-46bd-ab8c-93e17c04c6ac_01,3af5b391-e72f-463d-a086-a86c6c30a51a_01,485b221f-f40f-46a0-a9cf-023f807e6146_01,4a31c620-5c6e-44ae-b7f0-0553c4b7eb33_01,4daeefc3-0e2e-4537-8e13-af9717b3ce29_01,4f0124a6-4a5b-4e42-b9ff-d7de51d2148c_01,4f4906dc-7ebd-47f1-a8f5-b35d3950e740_01,51f6692d-a05b-474b-ba99-637c8bc49b30_01,605e9e51-270c-48fb-b198-46b5512b29da_01,6385194a-d75b-4bd3-9e70-9aa36250d5b9_01,64d00705-5070-4338-9433-ba74424528b3_01,6717b82e-889d-45a4-9638-4d0e023399cc_01,6db758a1-dd0f-4abb-a0ca-80c4b135e8a5_01,6dfe9121-29a0-4593-984f-1644166e1d39_01,6e22b287-5b45-4f5f-a825-b200aa6943e6_01,75a43851-8fa0-4259-b843-88dc6fbce270_01,76b0106c-a4d2-4b29-bef4-fe03a25b5d21_01,76e4538f-3383-46b0-884d-978d031ee182_01,79823022-7feb-49de-8de7-607721b595d2_01,82c37e7c-0899-497e-9753-84da21f8e0fe_01,83059a0f-4de9-454c-8e51-9265ab5f3558_01,8481dc3d-109a-4f2d-a0ad-8f0fd2a61a53_01,8703c5c3-d519-4d78-a5f6-2ef53fca277a_01,89d0b316-65de-4f4c-988a-3c3861a68090_01,8b7c42cd-fc2a-4023-843e-a411821f94ff_01,8c113bc1-101b-405f-9eb1-8c9e8ebbe185_01,8c8d4495-1a1d-4942-b0f0-1445fd05dfce_01,8def73e4-83a5-4998-8f6e-f71f21c946ac_01,9205fbf2-f4ba-475c-8351-1aae5ff3b8bf_01,98315e03-ffe8-449c-8f92-7fd2c0f20b79_01,9f15bf13-11d2-400f-b6f9-c8be0a57c763_01,a1206473-cf9d-4bca-97c9-67f35817b806_01,ae10b73d-e7f4-4334-8452-167b60d71cb5_01,b0770eff-dff2-4e10-8fc9-c07a81efcc5e_01,cdde118f-4673-4e7e-b965-1f9fe007050d_01,ce2b2c41-7d28-4d8b-a037-af842a8fe20f_01,d9952e44-b573-4854-893e-b3bbc5287f2f_01,ddfdd05e-058c-4877-b389-724a6c101353_01,ebb834c6-374e-4077-a4ce-c74a850be358_01,ee6083aa-9453-44ff-8cc5-79b71fea289d_01,eec002c4-7602-4179-8eb3-2b0508d5ee1c_01,f2cc142b-9fc0-44d9-9ae3-558b4eace375_01,f98c183e-aaa1-40c4-83e7-c248cc3adb55_01,ffedc8be-1056-4205-b9d9-99b5bdb872db_01
MIMAT0000062,11091.732895,19920.98404,13822.146328,13594.194577,15053.518999,12554.06306,17919.952771,11507.777263,12528.304497,4473.979085,26517.427444,14627.942024,6362.813754,10464.085944,16702.597929,14159.387657,9009.544144,13937.654344,7472.641355,5539.053139,13379.79204,18190.261803,9866.36191,12044.785317,15033.540367,8262.121752,15916.9813,18498.584765,7778.576523,7669.312102,28840.487957,12782.902386,25187.047472,10971.413423,7235.479614,7242.310656,12656.880567,5703.278854,14517.588526,17469.996339,40804.41426,10822.856686,8540.066601,21422.872249,8009.232613,2470.113891,23639.602241,7106.406028,6464.827752,15604.122293,19554.393476,6524.084701,18106.787194,15114.855471,7216.620148,4945.706479,6123.212995
MIMAT0000063,6029.243783,7301.769913,9543.352153,4218.04892,3052.661661,9670.184187,4914.536351,3459.959435,6466.061844,1023.118719,20676.224903,6763.573838,1768.478266,3488.495996,7491.544616,7246.008421,2622.59284,5884.666073,4163.879967,2701.047707,9244.162707,9639.0508,6337.928583,4028.824317,8351.89804,1506.704957,11929.392718,10461.890601,2413.52182,3092.836163,11929.55862,6009.191728,21414.951923,3320.506755,1204.401086,638.761658,7863.725616,1363.666645,1528.270204,13776.774711,37179.682522,2247.387926,5645.352378,4670.054286,2097.189327,627.021864,10616.820319,4583.281471,2413.358698,2756.243494,13418.209602,2357.66617,3474.536675,8285.066138,1347.662198,2704.54847,1899.124196
MIMAT0000064,14500.011883,145.65656,3800.571793,15025.354526,2587.942635,788.669433,13215.987759,4614.792391,8231.532083,6359.130904,4425.607038,6026.328269,7945.094441,5798.069822,1165.705751,6400.516924,2082.0866,1760.077112,11148.144609,2012.108873,12278.321924,8859.415535,1756.305379,2970.373585,2748.519454,1147.411695,14380.984019,760.433471,2907.5086,1793.691377,7698.590088,6454.290031,1181.365237,1684.831942,1083.918777,394.984836,1872.989602,1680.781546,4840.873443,6142.276615,239.115519,5063.495577,10333.114845,1476.146165,3307.807755,244.333898,9810.911416,7068.561262,2983.644117,7253.556163,255.278487,1751.419721,3258.992864,3969.464812,459.609456,505.99206,2984.603802
MIMAT0000065,287.366408,203.353106,220.786781,70.969961,53.908705,294.525995,194.002784,153.432995,132.232202,61.106145,385.325258,172.516535,102.468473,229.935893,118.177592,139.30322,89.162007,232.356791,413.043958,35.465636,384.648687,233.539013,166.136996,161.561202,194.715187,83.871168,275.222785,204.318943,40.784403,101.445453,153.620444,88.484862,147.214413,91.683758,39.246426,6.454,206.453463,42.959272,85.820186,444.092476,226.510979,115.462132,240.213864,69.879077,169.167396,14.049199,234.125359,414.189938,163.545539,72.478467,303.698659,120.213602,97.06853,437.368937,35.749439,46.521997,122.584158
MIMAT0000066,1654.646188,1023.07949,1192.427389,1675.296614,1571.796003,950.632939,1896.648332,721.165339,957.831862,1003.886653,1314.516026,1648.253924,4041.125342,1639.595121,1726.307619,963.327162,1240.520232,1739.775748,1936.970374,1978.152414,2424.651101,1383.321061,1000.447978,2058.262013,1443.948354,1164.456481,885.711889,3327.064271,725.924243,1375.228876,1796.289256,764.762021,729.988816,1618.755616,1821.793793,349.253631,975.275593,993.578315,867.706369,1285.92195,2418.959304,1533.996897,1470.020029,577.588081,909.065761,629.057979,694.140513,919.067146,1787.584609,2504.709911,1140.632093,1350.091232,1410.261806,2817.954403,1203.014466,877.383958,1356.281031
MIMAT0000067,2378.513016,3097.977878,3012.175272,2220.345913,1714.686547,2252.186811,1276.984164,2298.468635,2204.902315,575.325259,4041.408462,2049.546251,1339.865,2902.64018,2069.467658,2961.107511,1328.452419,2109.806498,2784.371946,707.803534,2680.208961,3542.929156,2178.240605,1302.003377,1079.502645,1273.488998,3559.883159,4386.031663,1122.714547,4746.504236,2447.227811,1550.915989,2743.784633,1268.711148,628.786828,208.556418,2527.262141,547.440466,1164.303167,3795.132893,6476.508665,1139.157641,2004.525268,3126.397826,1229.921439,350.924561,2236.54426,2509.528473,2011.132247,2390.837832,3082.648634,1027.548888,694.61207,3732.328836,461.25943,725.534071,689.406685
MIMAT0000068,363.895704,281.08015,223.110852,289.962983,152.633083,299.684068,71.696682,248.458557,609.44491,103.253016,363.113524,139.579939,110.243318,178.460696,569.873122,214.203762,163.443184,116.690195,103.628467,221.471575,402.228129,313.561698,170.422274,270.191216,161.677615,228.346019,298.262744,383.797355,177.431208,180.922967,197.077989,171.378648,271.069183,208.289036,190.113066,163.931615,117.002876,215.812291,530.296064,299.718189,439.675976,395.870167,204.554059,313.07406,66.42062,144.767834,1910.651174,167.918627,631.349503,335.589572,441.604205,198.259972,518.9291,237.819359,60.499051,95.396233,183.772877
MIMAT0000069,589.995069,500.1093,377.572213,607.908408,574.809692,896.473169,102.423831,592.547937,1067.457621,196.003414,837.768575,241.772396,157.490454,300.83947,870.138152,370.37435,174.142624,464.031187,347.265604,937.952871,456.540733,443.138185,259.753873,510.803239,255.628209,282.997555,512.464545,455.857265,431.094943,389.886315,529.28385,299.244135,631.926986,431.43953,406.812419,214.457218,264.766188,569.065231,692.152375,613.944578,474.709182,659.78361,781.772692,593.379964,342.590576,288.721224,2410.667641,771.612729,677.545807,604.092955,719.560494,498.239146,1016.820537,562.087421,189.930353,226.337359,404.341673
MIMAT0000070,1135.293543,1084.041878,1491.159949,2155.864634,12214.54366,852.457606,679.310989,807.112026,2372.747409,1010.160943,2380.840098,1732.464784,1303.183678,1849.301461,6639.207272,819.895567,1763.071085,1525.843723,2868.156663,5859.375738,2213.17304,1711.782384,1401.945715,3431.186259,2053.904515,3219.570657,533.130695,3708.847527,788.053753,1527.397057,1208.753803,1549.214357,1104.716409,2744.110864,9878.283326,1387.610125,724.851694,1432.3144,5105.602157,1245.935937,752.750477,4086.878382,1034.134403,3440.261482,837.325408,2630.356209,4601.328044,876.036247,5442.402631,4316.037199,878.305101,1805.423371,2688.392303,8010.002078,1182.114792,2756.820374,4192.667565
MIMAT0000071,384.390728,176.790923,430.489528,439.202671,1665.973864,191.364526,196.412757,176.735442,407.535316,443.155943,528.896738,338.445744,185.400157,460.272366,2015.447149,240.743327,497.093563,354.847376,824.250532,934.557225,333.747018,419.030933,621.03591,837.904128,282.058265,428.825167,110.452168,728.207921,257.47536,334.341357,335.508106,455.308096,337.741492,550.102544,2399.729073,296.515226,188.525602,332.353833,1333.14809,278.840533,245.788509,893.800612,173.988509,1010.680443,160.047859,552.194607,987.09134,358.123616,1070.214401,1130.156576,183.261149,317.363912,375.356256,1104.014874,378.027403,277.563827,569.509869
