,108d4b89-d1d5-4528-a040-c7e5696c8417_01,14213209-2217-4812-9a19-d9b2b6718467_01,158fd4c2-68dc-4ca4-8130-d5589c80d825_01,1791e250-70ac-439c-828b-15ba811935cc_01,1d2937e8-6104-4330-b7dc-7bcd79dac927_01,200f77a5-803c-4891-980b-5c3b08c91254_01,245e4254-dbc1-45bd-b5df-504d8c3822de_01,254f6921-82ac-4fe1-b1b4-ace94c420d05_01,276dd6d1-a5ad-4b64-8536-916584805091_01,2aa77a19-efde-478a-a113-c0af75708b31_01,2aad74b4-8d66-4563-8958-88d83f86556d_01,33ad8d6e-10f4-4965-9721-1a9984f9e87d_01,3428aa0a-127d-492a-bf4a-ee82563d3701_01,37c77a51-efce-46bd-ab8c-93e17c04c6ac_01,3af5b391-e72f-463d-a086-a86c6c30a51a_01,485b221f-f40f-46a0-a9cf-023f807e6146_01,4a31c620-5c6e-44ae-b7f0-0553c4b7eb33_01,4daeefc3-0e2e-4537-8e13-af9717b3ce29_01,4f0124a6-4a5b-4e42-b9ff-d7de51d2148c_01,4f4906dc-7ebd-47f1-a8f5-b35d3950e740_01,51f6692d-a05b-474b-ba99-637c8bc49b30_01,605e9e51-270c-48fb-b198-46b5512b29da_01,6385194a-d75b-4bd3-9e70-9aa36250d5b9_01,64d00705-5070-4338-9433-ba74424528b3_01,6717b82e-889d-45a4-9638-4d0e023399cc_01,6db758a1-dd0f-4abb-a0ca-80c4b135e8a5_01,6dfe9121-29a0-4593-984f-1644166e1d39_01,6e22b287-5b45-4f5f-a825-b200aa6943e6_01,75a43851-8fa0-4259-b843-88dc6fbce270_01,76b0106c-a4d2-4b29-bef4-fe03a25b5d21_01,76e4538f-3383-46b0-884d-978d031ee182_01,79823022-7feb-49de-8de7-607721b595d2_01,82c37e7c-0899-497e-9753-84da21f8e0fe_01,83059a0f-4de9-454c-8e51-9265ab5f3558_01,8481dc3d-109a-4f2d-a0ad-8f0fd2a61a53_01,8703c5c3-d519-4d78-a5f6-2ef53fca277a_01,89d0b316-65de-4f4c-988a-3c3861a68090_01,8b7c42cd-fc2a-4023-843e-a411821f94ff_01,8c113bc1-101b-405f-9eb1-8c9e8ebbe185_01,8c8d4495-1a1d-4942-b0f0-1445fd05dfce_01,8def73e4-83a5-4998-8f6e-f71f21c946ac_01,9205fbf2-f4ba-475c-8351-1aae5ff3b8bf_01,98315e03-ffe8-449c-8f92-7fd2c0f20b79_01,9f15bf13-11d2-400f-b6f9-c8be0a57c763_01,a1206473-cf9d-4bca-97c9-67f35817b806_01,ae10b73d-e7f4-4334-8452-167b60d71cb5_01,b0770eff-dff2-4e10-8fc9-c07a81efcc5e_01,cdde118f-4673-4e7e-b965-1f9fe007050d_01,ce2b2c41-7d28-4d8b-a037-af842a8fe20f_01,d9952e44-b573-4854-893e-b3bbc5287f2f_01,ddfdd05e-058c-4877-b389-724a6c101353_01,ebb834c6-374e-4077-a4ce-c74a850be358_01,ee6083aa-9453-44ff-8cc5-79b71fea289d_01,eec002c4-7602-4179-8eb3-2b0508d5ee1c_01,f2cc142b-9fc0-44d9-9ae3-558b4eace375_01,f98c183e-aaa1-40c4-83e7-c248cc3adb55_01,ffedc8be-1056-4205-b9d9-99b5bdb872db_01
MIMAT0000062,50872.0,91497.0,77316.0,33521.0,46354.0,73016.0,59486.0,38026.0,40456.0,32801.0,164751.0,82163.0,31917.0,52244.0,135116.0,120042.0,73259.0,81698.0,20335.0,14681.0,50994.0,108656.0,29931.0,69632.0,72807.0,30538.0,113989.0,82661.0,40815.0,42941.0,218340.0,52585.0,103510.0,47986.0,34291.0,39275.0,67069.0,39297.0,51933.0,49370.0,220135.0,31495.0,65380.0,54263.0,52695.0,24263.0,20093.0,50700.0,24350.0,98389.0,63808.0,17638.0,49059.0,44235.0,39364.0,18923.0,29621.0
MIMAT0000063,27653.0,33537.0,53382.0,10401.0,9400.0,56243.0,16314.0,11433.0,20880.0,7501.0,128460.0,37990.0,8871.0,17417.0,60603.0,61431.0,21325.0,34494.0,11331.0,7159.0,35232.0,57577.0,19227.0,23291.0,40448.0,5569.0,85432.0,46749.0,12664.0,17317.0,90314.0,24720.0,88008.0,14523.0,5708.0,3464.0,41670.0,9396.0,5467.0,38933.0,200580.0,6540.0,43219.0,11829.0,13798.0,6159.0,9024.0,32699.0,9090.0,17379.0,43785.0,6374.0,9414.0,24247.0,7351.0,10348.0,9187.0
MIMAT0000064,66504.0,669.0,21259.0,37050.0,7969.0,4587.0,43871.0,15249.0,26581.0,46622.0,27496.0,33849.0,39854.0,28948.0,9430.0,54263.0,16930.0,10317.0,30337.0,5333.0,46796.0,52920.0,5328.0,17172.0,13311.0,4241.0,102989.0,3398.0,15256.0,10043.0,58283.0,26551.0,4855.0,7369.0,5137.0,2142.0,9925.0,11581.0,17317.0,17358.0,1290.0,14735.0,79107.0,3739.0,21763.0,2400.0,8339.0,50430.0,11238.0,45736.0,833.0,4735.0,8830.0,11617.0,2507.0,1936.0,14438.0
MIMAT0000065,1318.0,934.0,1235.0,175.0,166.0,1713.0,644.0,507.0,427.0,448.0,2394.0,969.0,514.0,1148.0,956.0,1181.0,725.0,1362.0,1124.0,94.0,1466.0,1395.0,504.0,934.0,943.0,310.0,1971.0,913.0,214.0,568.0,1163.0,364.0,605.0,401.0,186.0,35.0,1094.0,296.0,307.0,1255.0,1222.0,336.0,1839.0,177.0,1113.0,138.0,199.0,2955.0,616.0,457.0,991.0,325.0,263.0,1280.0,195.0,178.0,593.0
MIMAT0000066,7589.0,4699.0,6670.0,4131.0,4840.0,5529.0,6296.0,2383.0,3093.0,7360.0,8167.0,9258.0,20271.0,8186.0,13965.0,8167.0,10087.0,10198.0,5271.0,5243.0,9241.0,8263.0,3035.0,11899.0,6993.0,4304.0,6343.0,14867.0,3809.0,7700.0,13599.0,3146.0,3000.0,7080.0,8634.0,1894.0,5168.0,6846.0,3104.0,3634.0,13050.0,4464.0,11254.0,1463.0,5981.0,6179.0,590.0,6557.0,6733.0,15793.0,3722.0,3650.0,3821.0,8247.0,6562.0,3357.0,6561.0
MIMAT0000067,10909.0,14229.0,16849.0,5475.0,5280.0,13099.0,4239.0,7595.0,7120.0,4218.0,25109.0,11512.0,6721.0,14492.0,16741.0,25104.0,10802.0,12367.0,7577.0,1876.0,10215.0,21163.0,6608.0,7527.0,5228.0,4707.0,25494.0,19599.0,5891.0,26576.0,18527.0,6380.0,11276.0,5549.0,2980.0,1131.0,13392.0,3772.0,4165.0,10725.0,34940.0,3315.0,15346.0,7919.0,8092.0,3447.0,1901.0,17904.0,7575.0,15075.0,10059.0,2778.0,1882.0,10923.0,2516.0,2776.0,3335.0
MIMAT0000068,1669.0,1291.0,1248.0,715.0,470.0,1743.0,238.0,821.0,1968.0,757.0,2256.0,784.0,553.0,891.0,4610.0,1816.0,1329.0,684.0,282.0,587.0,1533.0,1873.0,517.0,1562.0,783.0,844.0,2136.0,1715.0,931.0,1013.0,1492.0,705.0,1114.0,911.0,901.0,889.0,620.0,1487.0,1897.0,847.0,2372.0,1152.0,1566.0,793.0,437.0,1422.0,1624.0,1198.0,2378.0,2116.0,1441.0,536.0,1406.0,696.0,330.0,365.0,889.0
MIMAT0000069,2706.0,2297.0,2112.0,1499.0,1770.0,5214.0,340.0,1958.0,3447.0,1437.0,5205.0,1358.0,790.0,1502.0,7039.0,3140.0,1416.0,2720.0,945.0,2486.0,1740.0,2647.0,788.0,2953.0,1238.0,1046.0,3670.0,2037.0,2262.0,2183.0,4007.0,1231.0,2597.0,1887.0,1928.0,1163.0,1403.0,3921.0,2476.0,1735.0,2561.0,1920.0,5985.0,1503.0,2254.0,2836.0,2049.0,5505.0,2552.0,3809.0,2348.0,1347.0,2755.0,1645.0,1036.0,866.0,1956.0
MIMAT0000070,5207.0,4979.0,8341.0,5316.0,37612.0,4958.0,2255.0,2667.0,7662.0,7406.0,14792.0,9731.0,6537.0,9233.0,53708.0,6951.0,14336.0,8944.0,7805.0,15530.0,8435.0,10225.0,4253.0,19836.0,9947.0,11900.0,3818.0,16573.0,4135.0,8552.0,9151.0,6373.0,4540.0,12002.0,46816.0,7525.0,3841.0,9869.0,18264.0,3521.0,4061.0,11893.0,7917.0,8714.0,5509.0,25837.0,3911.0,6250.0,20499.0,27214.0,2866.0,4881.0,7284.0,23442.0,6448.0,10548.0,20282.0
MIMAT0000071,1763.0,812.0,2408.0,1083.0,5130.0,1113.0,652.0,584.0,1316.0,3249.0,3286.0,1901.0,930.0,2298.0,16304.0,2041.0,4042.0,2080.0,2243.0,2477.0,1272.0,2503.0,1884.0,4844.0,1366.0,1585.0,791.0,3254.0,1351.0,1872.0,2540.0,1873.0,1388.0,2406.0,11373.0,1608.0,999.0,2290.0,4769.0,788.0,1326.0,2601.0,1332.0,2560.0,1053.0,5424.0,839.0,2555.0,4031.0,7126.0,598.0,858.0,1017.0,3231.0,2062.0,1062.0,2755.0
