,014d4b17-d683-438b-9287-33fcec82bf5a_01,01b18f83-da8a-4d3f-b722-f00fe7559c60_01,029cc59c-60df-4411-a044-3a2eeee7b110_01,15d19ccc-52b8-41f6-b1c1-2cc55691aed5_01,1a2ce30c-5891-4bf6-8c97-6d1f34d4fe48_01,1d00217f-28df-4d91-aeb9-0d9a83a907e6_01,1dbd7b0e-9234-47d9-bdca-5b17f5af619b_01,2112a42a-9b85-475a-a31b-4ce7751cdeb9_01,22e7816d-4be9-4f84-b487-baa6ca35452d_01,2bf47a88-df0a-4102-af2e-998c3d252b9c_01,31771082-c094-4749-a9c7-80b67762f4d1_01,339490ef-6cf5-4d05-81b1-5e339e95f678_01,367869f9-bbe7-4e57-a16f-f2b63f2de697_01,39af6e0f-908c-4b2b-97b8-a4d1966e47e1_01,39e494bc-7710-4f9f-98b0-0f509f7aef1a_01,3a161c85-2544-4283-a10d-e332c9dd1692_01,3eb7aded-8887-4c27-a464-1b50ec090133_01,411ddf79-fe92-44ad-8d10-eeb703f11be7_01,418152bd-7d33-4f0a-b890-2356b30d6f44_01,4464418c-ec35-4826-b3d5-152ac2a27a04_01,4480d290-5e8a-4289-8e3c-de087e0de412_01,4498044c-1607-403e-867e-befd7fad275a_01,4b9fd822-17aa-4a22-8e17-175a72931d5d_01,4e531546-56f1-4165-94a2-ee45abd5e0f7_01,5019e7f1-db46-4a07-9e7b-b6e5d1481b84_01,5383fb57-69c2-4b34-af7f-c67208efb2b5_01,56ed4ea2-18ce-48d4-bf72-9ffabe576ca9_01,5e54122f-1c4d-45cc-8842-cd1c1df0eed8_01,60d7b6cf-d605-4837-9061-612f6bbb7393_01,6103e640-8b62-4e39-908b-b62a0debeb0e_01,64422cc5-5e5b-4ef9-a9e2-214cebf8dfbc_01,64bd88bd-1d5a-4569-9f46-f668d448c336_01,6be5176c-4980-4663-adff-d04f05737da0_01,711eb720-4cb7-48de-9350-5c729bf9f0da_01,7289bc25-2551-4c6d-b2fa-c7e13859b9b3_01,73b3e4dd-c53d-4fe3-8607-ee462c9cbbd1_01,743fc661-9ba2-4fa8-966e-508fb4b965e0_01,78039723-94a9-4903-8bb4-c00852e8e889_01,7f1e74d4-8789-4954-8a63-b0ca5f0373c3_01,892e7630-b11e-47bd-987c-327d33258e11_01,8de236f1-c029-44df-a2a9-319145488baa_01,8e6d3005-445a-4b7f-95ec-a988a121c628_01,92fca97d-6123-46a7-9c34-7a6f877fe612_01,94f3d9b0-0ee4-4f6a-a8ff-ce7a4d8fab76_01,9752c320-79eb-49ea-aa1f-d7a79bead901_01,995fcbf5-90aa-4d4a-b57b-46a7129209e0_01,99d1bfcc-1989-4dd2-a5e9-78e08f6ce7cf_01,9b1ecfb2-9dfb-4e71-b51a-d2a0c5a7940e_01,9dc5cc23-c903-4fe2-8354-64f8316ff0d4_01,9e35ef82-55b0-460b-8ab9-8cd708efa3b1_01,9f57834a-4dc4-45ed-97de-ed4da9d0598d_01,a08e4c1d-5d92-43ec-b0b9-87b2286d685e_01,a18d3ba3-e2f4-4144-9c25-2019cad193f4_01,a6ff0b7a-1d04-4a64-af43-5011a4487cb2_01,a83802da-0219-4cf1-9560-16295363491d_01,a9f956a0-660f-4185-a843-d9911d2484de_01,a9fe64a9-6d22-4e9f-96f3-f16af7d298f8_01,af04ca52-8b71-497e-8135-6ddfca9ab221_01,b224e42d-8b6d-4578-963c-bf528b954900_01,b26cb5f2-4ff0-4476-8d02-7256ace7d8a3_01,b533e555-90cf-4657-80c6-15b67da8ad26_01,b5c516ba-4785-41dc-bd07-b129d47808dd_01,bbf07e1f-8c17-4c2e-89ed-38332d82e455_01,bcb87378-9f43-45e4-bdf2-f6dfa6ac5b8c_01,c510a423-6ab1-431e-9248-d2ac91fdedba_01,c9bfc2a7-0914-4080-a0a3-1c6a4e58e1ab_01,cba920f4-c57f-47bc-958d-9b7872df01c8_01,d8e15178-d8c5-4e4e-895c-57ffe5bc80c2_01,d9ccba9b-6bf0-44d9-8097-a97ab747f0bd_01,da6f0ed2-a6d5-4d87-823e-122ebd59aaba_01,df291bbf-fc62-4c40-9582-289ac78225fd_01,df685f8c-645a-47ae-a471-63bf1973a0ae_01,df941bc1-6356-4f2e-a3f5-ae190266b441_01,e00ce846-9a0e-48b5-be9f-84d443a0f78a_01,e21d8018-8fe9-4c92-8b36-28d7d3f7df2b_01,ebdabfcb-1c68-4ca1-8b7f-3ea9cdac3a6a_01,edbf6720-467e-4928-b1cb-0e7336358d18_01,eeab0529-31e6-4edb-bd2c-a21f2a169381_01,f78d8541-b317-4c8a-aa66-f172a8eaf14f_01,fa9089fa-9af9-4932-8ab7-0e7f2fd6b121_01
MIMAT0000062,66637.68539,94465.799451,75292.445468,90180.19748,138937.091793,98909.997597,114722.544909,81917.755101,196143.64656,135233.302169,48640.921987,64391.537687,78805.481486,72875.968037,116477.755359,93945.971523,104878.958404,87810.193984,145542.884058,75020.982618,84935.963177,65832.992283,85588.192874,156186.159998,117657.344891,104423.652518,85538.552151,139300.433671,112883.389127,82399.540586,137933.540635,145241.43386,84115.231631,95134.128637,81856.312786,48811.285102,100594.622218,45293.58441,105390.70139,84437.069753,120864.465363,86286.163305,107236.49868,73961.345224,102727.100937,44554.936292,62463.349719,44401.410517,127507.700934,103578.68007,89372.084562,154874.70151,139273.900484,208388.207719,96089.024254,214156.940583,112445.787196,111789.96742,91000.494459,118165.06171,76069.024571,174249.066801,83880.947877,85449.689345,140491.962997,95855.555057,131202.227412,113631.990347,92473.695455,109574.37043,67523.059706,84679.147546,175377.442964,23083.766392,126754.068947,92727.483547,74022.672441,95662.56585,103344.258609,83675.434331
MIMAT0000063,10716.653872,51552.764908,19636.335815,15309.674276,43866.638992,18575.132369,36955.009553,18135.05062,57242.055516,42607.529252,10741.904066,24047.0902,30296.000756,15992.017205,18722.006595,21043.95168,6684.058549,48431.945463,51359.972574,13073.903339,14523.96639,8431.775613,26703.262659,39228.875745,42561.170122,39104.029063,45061.586255,33510.982856,39096.02593,14414.573736,14369.669662,61655.416544,29621.140008,29009.264625,21834.225894,23146.481842,44114.431257,12953.06375,25432.929647,38552.009492,42659.300809,27347.053298,53620.739804,17397.101169,11486.412567,8650.724888,27812.94266,15137.716137,16033.625717,43163.40867,16927.793046,45383.872482,81537.302773,54234.503242,21462.028119,98527.220007,54429.694057,21564.575506,66798.981222,39761.778553,39317.172444,51158.675685,33232.568398,34493.949765,16599.770504,7869.062656,58012.765219,14220.500845,14156.076331,30468.583091,14376.400806,27246.74006,100723.879439,11980.189902,35095.681535,48904.211729,41832.789447,13125.979143,17327.380409,10616.151571
MIMAT0000064,7621.343063,935.377357,13888.753632,16328.920102,4922.26216,15249.471246,2632.650996,13020.32195,17317.254861,5686.854894,6434.781377,2488.623828,23918.534997,1990.089548,8833.500656,8222.893301,12642.532197,20988.739125,12121.225188,10562.761618,15433.376574,12318.276031,17437.961319,2877.485975,3041.74413,9785.370917,10229.60313,8404.156019,20232.760852,10747.406002,9746.798037,17406.01052,8641.535553,8356.459782,12602.080722,1861.899858,24160.66367,1866.68764,15559.074578,5243.15416,2337.171762,3620.071775,6533.987892,4607.840237,14440.606155,10344.931414,880.292908,576.728688,14402.318288,21862.843177,20379.587959,2547.470953,9796.247981,2857.535126,18467.992876,21297.421791,15050.561725,11516.613642,11123.728834,25121.112434,3512.751212,1391.99263,3178.522754,36468.613231,3204.13592,3492.424195,16376.766408,6464.581775,6901.868442,1974.433691,4032.146058,2287.352232,12738.857277,3348.428631,11765.876228,23026.106051,4051.92877,11684.346956,8205.891228,7752.84438
MIMAT0000065,743.333161,589.326228,580.601332,664.401372,649.594315,523.876464,494.938387,585.400873,966.407037,519.087018,490.590054,706.297774,970.437972,713.55125,540.432428,605.430246,678.135708,536.797442,1785.84326,1303.327461,385.810382,684.692518,744.703486,770.428502,753.023717,860.241261,476.431584,767.602681,724.357557,852.641543,614.262379,510.650328,702.717791,1036.436146,1196.501851,270.52924,662.06606,297.868643,690.408066,759.371619,890.819754,1092.091819,889.594629,834.419764,858.476522,514.551186,541.899687,368.549461,467.988846,667.199113,974.385242,793.046429,1056.8083,622.012412,476.261241,493.619131,1346.975119,589.383033,584.308288,915.377219,805.517837,872.321584,520.78894,489.278068,841.07144,387.454693,419.457115,577.824323,823.885108,597.501196,339.325545,713.888386,792.108515,186.510746,518.886045,836.472027,447.674226,772.071588,1134.771967,428.00907
MIMAT0000066,779.101195,2575.1747,1904.34454,3220.386022,5593.979317,5225.826813,3936.105754,3456.711691,9405.59217,7358.555635,1827.125469,3125.041947,4724.841336,4984.905576,2341.437417,6923.546855,6935.890051,3548.554577,5027.22532,1633.346936,1536.512275,3046.301461,2861.918455,3751.07812,4732.42557,2709.486664,2647.725596,6042.847738,4600.762366,3166.293805,3851.965502,4648.807816,2535.904213,8425.476196,3256.130256,1510.541184,4722.795444,2143.693887,4165.841897,4215.174387,4545.711215,4441.098795,3208.384969,4633.383702,1616.667606,2436.044127,3517.642619,2816.001612,4638.006212,4159.439098,3131.952563,7430.64076,5491.753636,8054.980624,3099.583278,5251.434439,2740.302228,4352.514875,2751.073518,8645.825903,3901.802618,3887.064982,3096.87364,5182.22144,6953.874793,2605.543953,3110.841676,1484.129019,3487.462404,7898.153473,1362.748809,3952.87468,6498.486676,1154.44611,10256.467184,3846.053468,5338.249649,1955.711443,2436.781932,3174.165031
MIMAT0000067,17635.476025,16263.633222,14549.349958,21925.521328,36991.225684,39389.995698,22108.223017,23681.713545,59866.16662,28004.738591,16534.008316,16709.331418,13465.916703,19903.79093,37848.928344,29608.917638,44534.480973,12221.866446,14876.852701,18076.585193,17934.414802,22842.425564,15923.008717,42529.812492,30415.756691,18966.204197,11572.071565,30614.084989,27317.433091,20477.845285,47988.906336,34396.650101,15108.652676,22047.412378,24392.989473,9334.152729,19461.749791,13499.459819,40217.619505,15582.401927,21480.892948,23184.572196,19198.50811,19693.75893,35860.913209,13689.87837,14950.667323,12084.771103,52808.640463,21640.10638,31456.768496,32687.372411,22684.106723,49734.741966,35993.014393,47268.519269,8381.409116,24884.420567,12506.984895,26759.2124,10587.439404,31718.233146,11427.289953,17661.73735,32966.947847,51173.218397,34613.653625,46720.778097,21757.514845,27655.99382,18460.289925,14459.062361,15855.194514,4014.81465,30837.144216,15659.403916,11158.914632,26698.586077,26435.033352,40619.700594
MIMAT0000068,320.995195,427.27114,112.920468,87.261361,352.274573,371.379632,383.391989,140.265185,88.833529,423.581674,224.80176,234.511389,130.519021,281.04111,166.941573,295.044513,456.029185,540.277824,27.381634,78.049965,169.513033,241.383126,121.745923,251.611331,123.650874,157.106898,75.376692,87.466381,282.727117,178.195534,427.008117,365.565788,130.108464,35.698145,108.547985,449.313783,125.737884,547.720661,102.571485,178.590726,255.858804,248.126394,305.16516,288.240441,260.907906,167.308054,320.159979,694.675025,368.956187,520.561945,68.42593,754.131043,125.792024,846.686204,199.764231,259.15004,25.597371,163.589354,407.836464,191.365812,158.039535,305.661482,440.794878,367.343443,427.142186,492.062383,268.558078,136.790314,84.29581,459.849815,117.647379,590.781718,129.354045,32.094801,324.766307,88.536532,342.01087,249.036913,53.740748,182.11588
MIMAT0000069,671.338522,2055.135684,426.871826,224.22856,637.47607,653.46696,492.403242,415.845017,168.079299,457.163356,717.160273,681.820152,494.069975,515.573806,440.922158,351.843551,500.708967,641.618303,308.744116,425.532674,551.478131,616.610101,589.327876,601.288105,246.290979,562.021592,440.810531,381.387498,873.968292,771.923783,376.560622,947.478808,534.743582,236.321722,357.497067,1078.823563,383.543703,920.760157,260.327629,440.940983,522.026937,806.480717,915.827546,374.387018,634.864854,432.718363,970.478816,1059.021501,641.401057,1048.70857,232.648161,1198.102585,421.63623,733.424977,394.995723,453.232109,242.137284,526.330968,894.581347,615.334518,445.090937,512.382314,829.455691,501.594697,668.6199,461.340224,508.097108,286.984244,340.589132,561.70137,274.510553,842.423033,231.475657,75.532342,386.816312,387.842876,595.998944,609.34969,435.139627,438.299379
MIMAT0000070,2203.861297,2234.127646,1384.26116,504.514256,811.076978,1370.350543,1915.204845,936.063829,710.081218,1545.590822,2140.245925,801.839452,701.209469,1432.169563,1559.103373,840.388314,1658.136889,1708.047703,248.159556,857.836805,2584.032324,1072.684947,1609.697767,1364.219247,650.599015,1479.35583,1629.663175,529.909953,1369.495766,861.310513,1895.115725,2306.785095,1051.214742,438.611209,1179.492906,993.101081,745.219946,1886.556589,587.536666,1556.531305,775.777012,1263.570376,1309.321249,1237.104933,1336.697178,987.336067,724.428126,2106.747477,1228.032993,1461.0624,956.007992,2229.812806,1023.807306,2734.414381,746.121027,1368.671225,255.281879,1398.102671,2198.071288,942.868605,1602.569271,1590.649333,1828.829808,2091.671433,1396.242378,1688.576308,2269.289357,821.292724,376.35099,1116.493996,838.237578,1539.593231,642.626152,104.533668,1132.839525,759.828464,1674.0532,1396.474002,509.534471,1663.468283
MIMAT0000071,1411.920294,1049.701257,615.149894,868.471451,296.333372,1071.719746,1747.300216,1675.756402,1180.85978,1099.264109,2125.890234,573.052667,1026.185972,355.056442,1073.990796,480.50889,1254.172574,1343.017253,1656.265596,873.87447,1848.300898,1247.53298,1790.295637,1543.256156,1833.87387,1870.300965,1500.854904,1229.924977,1080.728464,1548.471016,1807.730401,1040.002191,958.751876,1795.378709,1146.093527,1042.219779,1226.879479,1100.408556,1331.629807,1286.238334,878.167396,1000.897675,671.761828,462.537007,577.677288,586.913743,932.836003,1069.528969,1313.058205,901.818578,638.902682,795.11502,2237.079141,1187.455833,835.966367,1086.803484,2121.814425,1079.76663,1398.265816,583.33283,1178.0396,1134.095598,984.754511,1556.20601,569.295105,1682.228753,2021.044614,864.992181,645.246107,855.636785,1039.763182,558.865177,1472.327262,140.688653,1011.158898,2634.952967,717.862813,1995.153403,1145.600327,3401.399968
