Case ID,Read Counts,Sample,TCGA Project,miRNA
0,00ad0ffe-2105-4829-a495-1c2aceb5bb31,96.424812,00ad0ffe-2105-4829-a495-1c2aceb5bb31_01,CESC,miR-151a-5p
1,00bca18c-b3d4-45a3-8f19-034cc40449a4,101.08535,00bca18c-b3d4-45a3-8f19-034cc40449a4_01,CESC,miR-151a-5p
2,010a807f-9dc0-4e14-9533-dcf478f3d947,80.728776,010a807f-9dc0-4e14-9533-dcf478f3d947_01,CESC,miR-151a-5p
3,03804f9b-df7c-462c-8984-8eb3a5ed4999,50.833104,03804f9b-df7c-462c-8984-8eb3a5ed4999_01,CESC,miR-151a-5p
4,03c3fe57-ae85-4e45-9657-c3182ab5e124,73.690499,03c3fe57-ae85-4e45-9657-c3182ab5e124_01,CESC,miR-151a-5p
5,05026179-b1da-411e-a286-89727b1ae380,70.112943,05026179-b1da-411e-a286-89727b1ae380_01,CESC,miR-151a-5p
6,0809ba8b-4ab6-4f43-934c-c1ccbc014a7e,106.623053,0809ba8b-4ab6-4f43-934c-c1ccbc014a7e_01,CESC,miR-151a-5p
7,085df27c-9bc2-425a-9a49-547d692ea028,66.855011,085df27c-9bc2-425a-9a49-547d692ea028_01,CESC,miR-151a-5p
8,085fb6d8-6265-484e-9307-8292386714b7,114.085912,085fb6d8-6265-484e-9307-8292386714b7_01,CESC,miR-151a-5p
9,08a52bcf-d2e9-497b-938a-4660c332e914,30.575703,08a52bcf-d2e9-497b-938a-4660c332e914_01,CESC,miR-151a-5p
10,09329a53-d58d-4480-95d8-32043e40de6e,64.304759,09329a53-d58d-4480-95d8-32043e40de6e_01,CESC,miR-151a-5p
11,0acd1e47-1099-469b-a6d4-e00db47f57a9,34.993531,0acd1e47-1099-469b-a6d4-e00db47f57a9_01,CESC,miR-151a-5p
12,0bd52d75-5113-4ef1-bc75-509f59eaef2b,158.947986,0bd52d75-5113-4ef1-bc75-509f59eaef2b_01,CESC,miR-151a-5p
